,A2 NumberofProtons,X4 NumberofNeutrons,Ion Specific Heat,Ion Density,X3 AtomicRadius,X4 Firstlonization,Ion Firstlonization,X2 AtomicMass,A1 Melting Point,X1 Melting Point,Ion Melting Point,Without ion Final Energy(ev),With ion Final Energy(ev),Adsorption energy(ev)
0,3,18,0.897,2.7,0.97,12.9676,5.9858,35.453,453.85,172.31,933.4,-7533.576049,-7633.089286,0
1,11,18,0.897,2.7,0.57,12.9676,5.9858,18.998,371.15,53.63,933.4,-7561.567175,-7662.467049,0
2,3,18,0.388,7.13,0.97,12.9676,9.3942,35.453,453.85,172.31,692.88,-7533.576049,-9563.617171,0
3,3,10,0.897,2.7,0.57,17.4228,5.9858,18.998,453.85,53.63,933.4,-8480.280947,-8581.90183,0
4,11,10,0.897,2.7,0.57,17.4228,5.9858,18.998,371.15,53.63,933.4,-10686.34741,-10787.99943,0
5,11,18,0.388,7.13,0.57,12.9676,9.3942,18.998,371.15,53.63,692.88,-7561.567175,-9591.695853,0
6,19,18,0.897,2.7,0.97,12.9676,5.9858,18.998,336.5,53.63,933.4,-6296.270377,-6398.537995,0
7,11,18,0.897,2.7,0.97,12.9676,5.9858,35.453,371.15,172.31,933.4,-9736.743457,-9839.222002,0
8,19,10,0.897,2.7,0.57,17.4228,5.9858,18.998,336.5,53.63,933.4,-9661.038478,-9763.657454,0
9,37,45,0.388,7.13,0.57,11.8138,9.3942,18.998,312.79,53.63,692.88,-6373.053415,-8404.400609,0
10,37,45,0.897,2.7,0.57,11.8138,5.9858,18.998,312.79,53.63,933.4,-6373.053415,-6475.964807,0
11,3,18,0.388,7.13,0.97,12.9676,9.3942,35.453,453.85,172.31,692.88,-4149.964295,-6181.446063,0
12,3,10,0.897,2.7,0.57,17.4228,5.9858,18.998,453.85,53.63,933.4,-5099.530655,-5202.641223,0
13,3,10,0.388,7.13,0.57,17.4228,9.3942,18.998,453.85,53.63,692.88,-5099.530655,-7131.15481,0
14,19,18,0.897,2.7,0.97,12.9676,5.9858,35.453,336.5,172.31,933.4,-8711.538467,-8814.744079,0
15,37,10,0.897,2.7,0.57,17.4228,5.9858,18.998,312.79,53.63,933.4,-9459.697537,-9562.956122,0
16,3,45,0.388,7.13,1.1,11.8138,9.3942,79.904,453.85,266.05,692.88,-4802.114496,-6833.828832,0
17,3,45,0.388,7.13,0.97,11.8138,9.3942,35.453,453.85,172.31,692.88,-4190.742257,-6222.538261,0
18,3,18,0.388,7.13,0.97,12.9676,9.3942,35.453,453.85,172.31,692.88,-4638.725673,-6670.532148,0
19,37,74,0.897,2.7,0.57,10.4513,5.9858,18.998,312.79,53.63,933.4,-9596.362342,-9699.717413,0
20,3,18,0.897,2.7,0.97,12.9676,5.9858,35.453,453.85,172.31,933.4,-4149.964295,-4253.353473,0
21,19,18,0.388,7.13,0.97,12.9676,9.3942,18.998,336.5,53.63,692.88,-6296.270377,-8328.118483,0
22,3,18,1.023,1.74,0.97,12.9676,7.6462,35.453,453.85,172.31,923.15,-7533.576049,-9218.203307,0
23,3,18,0.388,7.13,0.57,12.9676,9.3942,18.998,453.85,53.63,692.88,-5350.647037,-7382.659513,0
24,11,10,0.897,2.7,0.57,17.4228,5.9858,18.998,371.15,53.63,933.4,-7305.485436,-7409.050987,0
