,battery_A1,battery_A2,battery_B,battery_X1,battery_X2,battery_X3,battery_X4,stable_A1,stable_A2,stable_B,stable_X1,stable_X2,stable_X3,stable_X4,unstable_A1,unstable_A2,unstable_B,unstable_X1,unstable_X2,unstable_X3,unstable_X4,solar_A1,solar_A2,solar_B,solar_X1,solar_X2,solar_X3,solar_X4,photo_A1,photo_A2,photo_B,photo_X1,photo_X2,photo_X3,photo_X4,rechargeable_A1,rechargeable_A2,rechargeable_B,rechargeable_X1,rechargeable_X2,rechargeable_X3,rechargeable_X4,adsorption_A1,adsorption_A2,adsorption_B,adsorption_X1,adsorption_X2,adsorption_X3,adsorption_X4,diffusion_A1,diffusion_A2,diffusion_B,diffusion_X1,diffusion_X2,diffusion_X3,diffusion_X4,intercalation_A1,intercalation_A2,intercalation_B,intercalation_X1,intercalation_X2,intercalation_X3,intercalation_X4
0,0.5669834,0.5669834,0.22410308,0.30713043,0.30713043,0.30713043,0.30713043,0.3668327,0.3668327,0.24944292,0.2955075,0.2955075,0.2955075,0.2955075,0.42468417,0.42468417,0.15648787,0.17255755,0.17255755,0.17255755,0.17255755,0.24562924,0.24562924,0.34884757,0.14519602,0.14519602,0.14519602,0.14519602,0.21369803,0.21369803,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989,0.57163334,0.57163334,0.26438892,0.22771172,0.22771172,0.22771172,0.22771172,0.36133814,0.36133814,0.29320365,0.24484506,0.24484506,0.24484506,0.24484506,0.5222907,0.5222907,0.25366628,0.14186914,0.14186914,0.14186914,0.14186914,0.68533975,0.68533975,0.3941247,0.24211639,0.24211639,0.24211639,0.24211639
1,0.5669834,0.5669834,0.22410308,0.30713043,0.30713043,0.30713043,0.30713043,0.3668327,0.3668327,0.24944292,0.2955075,0.2955075,0.2955075,0.2955075,0.42468417,0.42468417,0.15648787,0.17255755,0.17255755,0.17255755,0.17255755,0.24562924,0.24562924,0.34884757,0.14519602,0.14519602,0.14519602,0.14519602,0.21369803,0.21369803,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989,0.57163334,0.57163334,0.26438892,0.22771172,0.22771172,0.22771172,0.22771172,0.36133814,0.36133814,0.29320365,0.24484506,0.24484506,0.24484506,0.24484506,0.5222907,0.5222907,0.25366628,0.14186914,0.14186914,0.14186914,0.14186914,0.68533975,0.68533975,0.3941247,0.24211639,0.24211639,0.24211639,0.24211639
2,0.5669834,0.5669834,0.22410308,0.30713043,0.30713043,0.30713043,0.30713043,0.3668327,0.3668327,0.24944292,0.2955075,0.2955075,0.2955075,0.2955075,0.42468417,0.42468417,0.15648787,0.17255755,0.17255755,0.17255755,0.17255755,0.24562924,0.24562924,0.34884757,0.14519602,0.14519602,0.14519602,0.14519602,0.21369803,0.21369803,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989,0.57163334,0.57163334,0.26438892,0.22771172,0.22771172,0.22771172,0.22771172,0.36133814,0.36133814,0.29320365,0.24484506,0.24484506,0.24484506,0.24484506,0.5222907,0.5222907,0.25366628,0.14186914,0.14186914,0.14186914,0.14186914,0.68533975,0.68533975,0.3941247,0.24211639,0.24211639,0.24211639,0.24211639
3,0.5669834,0.5669834,0.22410308,0.30713043,0.30713043,0.30713043,0.30713043,0.3668327,0.3668327,0.24944292,0.2955075,0.2955075,0.2955075,0.2955075,0.42468417,0.42468417,0.15648787,0.17255755,0.17255755,0.17255755,0.17255755,0.24562924,0.24562924,0.34884757,0.14519602,0.14519602,0.14519602,0.14519602,0.21369803,0.21369803,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989,0.57163334,0.57163334,0.26438892,0.22771172,0.22771172,0.22771172,0.22771172,0.36133814,0.36133814,0.29320365,0.24484506,0.24484506,0.24484506,0.24484506,0.5222907,0.5222907,0.25366628,0.14186914,0.14186914,0.14186914,0.14186914,0.68533975,0.68533975,0.3941247,0.24211639,0.24211639,0.24211639,0.24211639
4,0.5669834,0.5669834,0.22410308,0.30713043,0.30713043,0.30713043,0.30713043,0.3668327,0.3668327,0.24944292,0.2955075,0.2955075,0.2955075,0.2955075,0.42468417,0.42468417,0.15648787,0.17255755,0.17255755,0.17255755,0.17255755,0.24562924,0.24562924,0.34884757,0.14519602,0.14519602,0.14519602,0.14519602,0.21369803,0.21369803,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989,0.57163334,0.57163334,0.26438892,0.22771172,0.22771172,0.22771172,0.22771172,0.36133814,0.36133814,0.29320365,0.24484506,0.24484506,0.24484506,0.24484506,0.5222907,0.5222907,0.25366628,0.14186914,0.14186914,0.14186914,0.14186914,0.68533975,0.68533975,0.3941247,0.24211639,0.24211639,0.24211639,0.24211639
5,0.5669834,0.5669834,0.22410308,0.30713043,0.30713043,0.30713043,0.30713043,0.3668327,0.3668327,0.24944292,0.2955075,0.2955075,0.2955075,0.2955075,0.42468417,0.42468417,0.15648787,0.17255755,0.17255755,0.17255755,0.17255755,0.24562924,0.24562924,0.34884757,0.14519602,0.14519602,0.14519602,0.14519602,0.21369803,0.21369803,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989,0.57163334,0.57163334,0.26438892,0.22771172,0.22771172,0.22771172,0.22771172,0.36133814,0.36133814,0.29320365,0.24484506,0.24484506,0.24484506,0.24484506,0.5222907,0.5222907,0.25366628,0.14186914,0.14186914,0.14186914,0.14186914,0.68533975,0.68533975,0.3941247,0.24211639,0.24211639,0.24211639,0.24211639
6,0.5669834,0.5669834,0.22410308,0.30713043,0.30713043,0.30713043,0.30713043,0.3668327,0.3668327,0.24944292,0.2955075,0.2955075,0.2955075,0.2955075,0.42468417,0.42468417,0.15648787,0.17255755,0.17255755,0.17255755,0.17255755,0.24562924,0.24562924,0.34884757,0.14519602,0.14519602,0.14519602,0.14519602,0.21369803,0.21369803,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989,0.57163334,0.57163334,0.26438892,0.22771172,0.22771172,0.22771172,0.22771172,0.36133814,0.36133814,0.29320365,0.24484506,0.24484506,0.24484506,0.24484506,0.5222907,0.5222907,0.25366628,0.14186914,0.14186914,0.14186914,0.14186914,0.68533975,0.68533975,0.3941247,0.24211639,0.24211639,0.24211639,0.24211639
7,0.5669834,0.5669834,0.22410308,0.30713043,0.30713043,0.30713043,0.30713043,0.3668327,0.3668327,0.24944292,0.2955075,0.2955075,0.2955075,0.2955075,0.42468417,0.42468417,0.15648787,0.17255755,0.17255755,0.17255755,0.17255755,0.24562924,0.24562924,0.34884757,0.14519602,0.14519602,0.14519602,0.14519602,0.21369803,0.21369803,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989,0.57163334,0.57163334,0.26438892,0.22771172,0.22771172,0.22771172,0.22771172,0.36133814,0.36133814,0.29320365,0.24484506,0.24484506,0.24484506,0.24484506,0.5222907,0.5222907,0.25366628,0.14186914,0.14186914,0.14186914,0.14186914,0.68533975,0.68533975,0.3941247,0.24211639,0.24211639,0.24211639,0.24211639
8,0.44671488,0.44671488,0.22410308,0.30713043,0.30713043,0.30713043,0.30713043,0.38132802,0.38132802,0.24944292,0.2955075,0.2955075,0.2955075,0.2955075,0.3616813,0.3616813,0.15648787,0.17255755,0.17255755,0.17255755,0.17255755,0.26328102,0.26328102,0.34884757,0.14519602,0.14519602,0.14519602,0.14519602,0.24808288,0.24808288,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989,0.51970124,0.51970124,0.26438892,0.22771172,0.22771172,0.22771172,0.22771172,0.4164021,0.4164021,0.29320365,0.24484506,0.24484506,0.24484506,0.24484506,0.4540708,0.4540708,0.25366628,0.14186914,0.14186914,0.14186914,0.14186914,0.5926203,0.5926203,0.3941247,0.24211639,0.24211639,0.24211639,0.24211639
9,0.44671488,0.44671488,0.22410308,0.30713043,0.30713043,0.30713043,0.30713043,0.38132802,0.38132802,0.24944292,0.2955075,0.2955075,0.2955075,0.2955075,0.3616813,0.3616813,0.15648787,0.17255755,0.17255755,0.17255755,0.17255755,0.26328102,0.26328102,0.34884757,0.14519602,0.14519602,0.14519602,0.14519602,0.24808288,0.24808288,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989,0.51970124,0.51970124,0.26438892,0.22771172,0.22771172,0.22771172,0.22771172,0.4164021,0.4164021,0.29320365,0.24484506,0.24484506,0.24484506,0.24484506,0.4540708,0.4540708,0.25366628,0.14186914,0.14186914,0.14186914,0.14186914,0.5926203,0.5926203,0.3941247,0.24211639,0.24211639,0.24211639,0.24211639
