,Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7
0,76.0,76.0,73,133.0,133.0,133.0,133.0
1,76.0,76.0,73,133.0,133.0,133.0,133.0
2,76.0,76.0,73,133.0,133.0,133.0,133.0
3,76.0,76.0,73,133.0,133.0,133.0,133.0
4,76.0,76.0,73,133.0,133.0,133.0,133.0
5,76.0,76.0,73,133.0,133.0,133.0,133.0
6,76.0,76.0,73,133.0,133.0,133.0,133.0
7,76.0,76.0,73,133.0,133.0,133.0,133.0
8,102.0,102.0,73,133.0,133.0,133.0,133.0
9,102.0,102.0,73,133.0,133.0,133.0,133.0
10,102.0,102.0,73,133.0,133.0,133.0,133.0
11,102.0,102.0,73,133.0,133.0,133.0,133.0
12,102.0,102.0,73,133.0,133.0,133.0,133.0
13,102.0,102.0,73,133.0,133.0,133.0,133.0
14,102.0,102.0,73,133.0,133.0,133.0,133.0
15,102.0,102.0,73,133.0,133.0,133.0,133.0
16,138.0,138.0,73,133.0,133.0,133.0,133.0
17,138.0,138.0,73,133.0,133.0,133.0,133.0
18,138.0,138.0,73,133.0,133.0,133.0,133.0
19,138.0,138.0,73,133.0,133.0,133.0,133.0
20,138.0,138.0,73,133.0,133.0,133.0,133.0
21,138.0,138.0,73,133.0,133.0,133.0,133.0
22,138.0,138.0,73,133.0,133.0,133.0,133.0
23,138.0,138.0,73,133.0,133.0,133.0,133.0
24,196.0,196.0,73,133.0,133.0,133.0,133.0
25,196.0,196.0,73,133.0,133.0,133.0,133.0
26,196.0,196.0,73,133.0,133.0,133.0,133.0
27,196.0,196.0,73,133.0,133.0,133.0,133.0
28,196.0,196.0,73,133.0,133.0,133.0,133.0
29,196.0,196.0,73,133.0,133.0,133.0,133.0
30,196.0,196.0,73,133.0,133.0,133.0,133.0
31,196.0,196.0,73,133.0,133.0,133.0,133.0
32,167.0,167.0,73,133.0,133.0,133.0,133.0
33,167.0,167.0,73,133.0,133.0,133.0,133.0
34,167.0,167.0,73,133.0,133.0,133.0,133.0
35,167.0,167.0,73,133.0,133.0,133.0,133.0
36,167.0,167.0,73,133.0,133.0,133.0,133.0
37,167.0,167.0,73,133.0,133.0,133.0,133.0
38,167.0,167.0,73,133.0,133.0,133.0,133.0
39,167.0,167.0,73,133.0,133.0,133.0,133.0
40,76.0,76.0,112,133.0,133.0,133.0,133.0
41,76.0,76.0,112,133.0,133.0,133.0,133.0
42,76.0,76.0,112,133.0,133.0,133.0,133.0
43,76.0,76.0,112,133.0,133.0,133.0,133.0
44,76.0,76.0,112,133.0,133.0,133.0,133.0
45,76.0,76.0,112,133.0,133.0,133.0,133.0
46,76.0,76.0,112,133.0,133.0,133.0,133.0
47,76.0,76.0,112,133.0,133.0,133.0,133.0
48,102.0,102.0,112,133.0,133.0,133.0,133.0
49,102.0,102.0,112,133.0,133.0,133.0,133.0
50,102.0,102.0,112,133.0,133.0,133.0,133.0
51,102.0,102.0,112,133.0,133.0,133.0,133.0
52,102.0,102.0,112,133.0,133.0,133.0,133.0
53,102.0,102.0,112,133.0,133.0,133.0,133.0
54,102.0,102.0,112,133.0,133.0,133.0,133.0
55,102.0,102.0,112,133.0,133.0,133.0,133.0
56,138.0,138.0,112,133.0,133.0,133.0,133.0
57,138.0,138.0,112,133.0,133.0,133.0,133.0
58,138.0,138.0,112,133.0,133.0,133.0,133.0
59,138.0,138.0,112,133.0,133.0,133.0,133.0
60,138.0,138.0,112,133.0,133.0,133.0,133.0
61,138.0,138.0,112,133.0,133.0,133.0,133.0
62,138.0,138.0,112,133.0,133.0,133.0,133.0
63,138.0,138.0,112,133.0,133.0,133.0,133.0
64,196.0,196.0,112,133.0,133.0,133.0,133.0
65,196.0,196.0,112,133.0,133.0,133.0,133.0
66,196.0,196.0,112,133.0,133.0,133.0,133.0
67,196.0,196.0,112,133.0,133.0,133.0,133.0
68,196.0,196.0,112,133.0,133.0,133.0,133.0
69,196.0,196.0,112,133.0,133.0,133.0,133.0
70,196.0,196.0,112,133.0,133.0,133.0,133.0
71,196.0,196.0,112,133.0,133.0,133.0,133.0
72,167.0,167.0,112,133.0,133.0,133.0,133.0
73,167.0,167.0,112,133.0,133.0,133.0,133.0
74,167.0,167.0,112,133.0,133.0,133.0,133.0
75,167.0,167.0,112,133.0,133.0,133.0,133.0
76,167.0,167.0,112,133.0,133.0,133.0,133.0
77,167.0,167.0,112,133.0,133.0,133.0,133.0
78,167.0,167.0,112,133.0,133.0,133.0,133.0
79,167.0,167.0,112,133.0,133.0,133.0,133.0
80,76.0,76.0,119,133.0,133.0,133.0,133.0
81,76.0,76.0,119,133.0,133.0,133.0,133.0
82,76.0,76.0,119,133.0,133.0,133.0,133.0
83,76.0,76.0,119,133.0,133.0,133.0,133.0
84,76.0,76.0,119,133.0,133.0,133.0,133.0
85,76.0,76.0,119,133.0,133.0,133.0,133.0
86,76.0,76.0,119,133.0,133.0,133.0,133.0
87,76.0,76.0,119,133.0,133.0,133.0,133.0
88,102.0,102.0,119,133.0,133.0,133.0,133.0
89,102.0,102.0,119,133.0,133.0,133.0,133.0
90,102.0,102.0,119,133.0,133.0,133.0,133.0
91,102.0,102.0,119,133.0,133.0,133.0,133.0
92,102.0,102.0,119,133.0,133.0,133.0,133.0
93,102.0,102.0,119,133.0,133.0,133.0,133.0
94,102.0,102.0,119,133.0,133.0,133.0,133.0
95,102.0,102.0,119,133.0,133.0,133.0,133.0
96,138.0,138.0,119,133.0,133.0,133.0,133.0
97,138.0,138.0,119,133.0,133.0,133.0,133.0
98,138.0,138.0,119,133.0,133.0,133.0,133.0
99,138.0,138.0,119,133.0,133.0,133.0,133.0
100,138.0,138.0,119,133.0,133.0,133.0,133.0
101,138.0,138.0,119,133.0,133.0,133.0,133.0
102,138.0,138.0,119,133.0,133.0,133.0,133.0
103,138.0,138.0,119,133.0,133.0,133.0,133.0
104,196.0,196.0,119,133.0,133.0,133.0,133.0
105,196.0,196.0,119,133.0,133.0,133.0,133.0
106,196.0,196.0,119,133.0,133.0,133.0,133.0
