Name,Ion,Adsorption energy(ev)
LiLiGeFFFF,Li+,-7.004905301
LiLiGeFFFF,Zn2+,0.395232218
LiLiGeFFFF,K+,-6.580689236
LiLiGeFFFF,Na+,-5.557394705
LiLiGeFFFF,Al3+,2.60843733
LiLiGeFFFF,Ca2+,-4.458869904
LiLiGeFFFF,Mg2+,-2.617333558
LiLiGeFFFF,F-,-13.35827855
NaNaGeFFFF,Li+,-6.304996168
NaNaGeFFFF,Zn2+,0.779810172
NaNaGeFFFF,K+,-4.859987159
NaNaGeFFFF,Na+,-4.392485732
NaNaGeFFFF,Al3+,2.445059067
NaNaGeFFFF,Ca2+,-4.034477
NaNaGeFFFF,Mg2+,-1.905821399
NaNaGeFFFF,F-,-11.40650088
KKGeFFFF,Li+,-5.17872263
KKGeFFFF,Zn2+,1.015365728
KKGeFFFF,K+,-4.279829728
KKGeFFFF,Na+,-3.49526924
KKGeFFFF,Al3+,3.473451874
KKGeFFFF,Ca2+,-5.440871128
KKGeFFFF,Mg2+,-3.421779538
KKGeFFFF,F-,-8.81777966
RbRbGeFFFF,Li+,-5.704848985
RbRbGeFFFF,Zn2+,0.635692636
RbRbGeFFFF,K+,-3.757852566
RbRbGeFFFF,Na+,-3.568199095
RbRbGeFFFF,Al3+,2.687744372
RbRbGeFFFF,Ca2+,-5.57150012
RbRbGeFFFF,Mg2+,-2.414699298
RbRbGeFFFF,F-,-8.249667964
CsCsGeFFFF,Li+,-5.009409295
CsCsGeFFFF,Zn2+,-0.791493568
CsCsGeFFFF,K+,-4.085265312
CsCsGeFFFF,Na+,-3.565520716
CsCsGeFFFF,Al3+,1.699125694
CsCsGeFFFF,Ca2+,-5.540833414
CsCsGeFFFF,Mg2+,-3.383696489
CsCsGeFFFF,F-,-7.281970438
LiLiSnFFFF,Li+,-5.823138684
LiLiSnFFFF,Zn2+,3.960145741
LiLiSnFFFF,K+,-6.456937371
LiLiSnFFFF,Na+,-5.465505127
LiLiSnFFFF,Al3+,4.019632806
LiLiSnFFFF,Ca2+,-3.93656148
LiLiSnFFFF,Mg2+,-1.165239062
LiLiSnFFFF,F-,-12.05045103
NaNaSnFFFF,Li+,-4.837620745
NaNaSnFFFF,Zn2+,2.712325345
NaNaSnFFFF,K+,-4.7944616
NaNaSnFFFF,Na+,-3.706057036
NaNaSnFFFF,Al3+,3.564649558
NaNaSnFFFF,Ca2+,-2.902772482
NaNaSnFFFF,Mg2+,0.979513292
NaNaSnFFFF,F-,-10.73726054
KKSnFFFF,Li+,-4.835109209
KKSnFFFF,Zn2+,1.993860755
KKSnFFFF,K+,-4.0592526
KKSnFFFF,Na+,-3.130610528
KKSnFFFF,Al3+,1.743814447
KKSnFFFF,Ca2+,-5.048862204
KKSnFFFF,Mg2+,0.819711006
KKSnFFFF,F-,-7.969858795
RbRbSnFFFF,Li+,-4.946536375
RbRbSnFFFF,Zn2+,1.486081694
RbRbSnFFFF,K+,-3.832383375
RbRbSnFFFF,Na+,-3.136727376
RbRbSnFFFF,Al3+,1.686716454
RbRbSnFFFF,Ca2+,-4.83766668
RbRbSnFFFF,Mg2+,-2.535528963
RbRbSnFFFF,F-,-7.371474181
CsCsSnFFFF,Li+,-5.45288103
CsCsSnFFFF,Zn2+,1.685016226
CsCsSnFFFF,K+,-3.932141448
CsCsSnFFFF,Na+,-3.026246548
CsCsSnFFFF,Al3+,0.728120344
CsCsSnFFFF,Ca2+,-4.830825656
CsCsSnFFFF,Mg2+,-0.377144758
CsCsSnFFFF,F-,-6.990481547
LiLiPbFFFF,Li+,-6.554787557
LiLiPbFFFF,Zn2+,1.915913626
LiLiPbFFFF,K+,-6.311196207
LiLiPbFFFF,Na+,-4.949128579
LiLiPbFFFF,Al3+,5.509316862
LiLiPbFFFF,Ca2+,-4.518664855
LiLiPbFFFF,Mg2+,-1.565420384
LiLiPbFFFF,F-,-10.28486764
NaNaPbFFFF,Li+,-5.3735389
NaNaPbFFFF,Zn2+,3.55720975
NaNaPbFFFF,K+,-4.80816415
NaNaPbFFFF,Na+,-3.86949971
NaNaPbFFFF,Al3+,5.47817885
NaNaPbFFFF,Ca2+,-4.94571979
NaNaPbFFFF,Mg2+,1.23410665
NaNaPbFFFF,F-,-9.54072205
KKPbFFFF,Li+,-4.206627874
KKPbFFFF,Zn2+,3.358963631
KKPbFFFF,K+,-3.582942889
KKPbFFFF,Na+,-1.539424059
KKPbFFFF,Al3+,4.511224494
KKPbFFFF,Ca2+,-5.108576069
KKPbFFFF,Mg2+,1.051586031
KKPbFFFF,F-,-7.901793629
RbRbPbFFFF,Li+,-4.177363034
RbRbPbFFFF,Zn2+,2.711606316
RbRbPbFFFF,K+,-3.432426714
RbRbPbFFFF,Na+,-2.158653524
RbRbPbFFFF,Al3+,3.871614902
RbRbPbFFFF,Ca2+,-5.440170134
RbRbPbFFFF,Mg2+,0.157720926
RbRbPbFFFF,F-,-7.102517924
CsCsPbFFFF,Li+,-4.156004827
CsCsPbFFFF,Zn2+,2.023505357
CsCsPbFFFF,K+,-3.406367253
CsCsPbFFFF,Na+,-2.342525463
CsCsPbFFFF,Al3+,1.990576679
CsCsPbFFFF,Ca2+,-4.928682183
CsCsPbFFFF,Mg2+,0.133223657
CsCsPbFFFF,F-,-6.119350423
