,adsorption_Element_1,adsorption_Element_2,adsorption_Element_3,adsorption_Element_4,adsorption_Element_5,adsorption_Element_6,adsorption_Element_7,adsorption_ion
0,0.36133814,0.36133814,0.29320365,0.24484506,0.24484506,0.24484506,0.24484506,0.36133814
1,0.36133814,0.36133814,0.29320365,0.24484506,0.24484506,0.24484506,0.24484506,0.26591527
2,0.36133814,0.36133814,0.29320365,0.24484506,0.24484506,0.24484506,0.24484506,0.36498734
3,0.36133814,0.36133814,0.29320365,0.24484506,0.24484506,0.24484506,0.24484506,0.4164021
4,0.36133814,0.36133814,0.29320365,0.24484506,0.24484506,0.24484506,0.24484506,0.20813037
5,0.36133814,0.36133814,0.29320365,0.24484506,0.24484506,0.24484506,0.24484506,0.3851021
6,0.36133814,0.36133814,0.29320365,0.24484506,0.24484506,0.24484506,0.24484506,0.29842925
7,0.36133814,0.36133814,0.29320365,0.24484506,0.24484506,0.24484506,0.24484506,0.24484506
8,0.4164021,0.4164021,0.29320365,0.24484506,0.24484506,0.24484506,0.24484506,0.36133814
9,0.4164021,0.4164021,0.29320365,0.24484506,0.24484506,0.24484506,0.24484506,0.26591527
10,0.4164021,0.4164021,0.29320365,0.24484506,0.24484506,0.24484506,0.24484506,0.36498734
11,0.4164021,0.4164021,0.29320365,0.24484506,0.24484506,0.24484506,0.24484506,0.4164021
12,0.4164021,0.4164021,0.29320365,0.24484506,0.24484506,0.24484506,0.24484506,0.20813037
13,0.4164021,0.4164021,0.29320365,0.24484506,0.24484506,0.24484506,0.24484506,0.3851021
14,0.4164021,0.4164021,0.29320365,0.24484506,0.24484506,0.24484506,0.24484506,0.29842925
15,0.4164021,0.4164021,0.29320365,0.24484506,0.24484506,0.24484506,0.24484506,0.24484506
16,0.36498734,0.36498734,0.29320365,0.24484506,0.24484506,0.24484506,0.24484506,0.36133814
17,0.36498734,0.36498734,0.29320365,0.24484506,0.24484506,0.24484506,0.24484506,0.26591527
18,0.36498734,0.36498734,0.29320365,0.24484506,0.24484506,0.24484506,0.24484506,0.36498734
19,0.36498734,0.36498734,0.29320365,0.24484506,0.24484506,0.24484506,0.24484506,0.4164021
20,0.36498734,0.36498734,0.29320365,0.24484506,0.24484506,0.24484506,0.24484506,0.20813037
21,0.36498734,0.36498734,0.29320365,0.24484506,0.24484506,0.24484506,0.24484506,0.3851021
22,0.36498734,0.36498734,0.29320365,0.24484506,0.24484506,0.24484506,0.24484506,0.29842925
23,0.36498734,0.36498734,0.29320365,0.24484506,0.24484506,0.24484506,0.24484506,0.24484506
24,0.3955777,0.3955777,0.29320365,0.24484506,0.24484506,0.24484506,0.24484506,0.36133814
25,0.3955777,0.3955777,0.29320365,0.24484506,0.24484506,0.24484506,0.24484506,0.26591527
26,0.3955777,0.3955777,0.29320365,0.24484506,0.24484506,0.24484506,0.24484506,0.36498734
27,0.3955777,0.3955777,0.29320365,0.24484506,0.24484506,0.24484506,0.24484506,0.4164021
28,0.3955777,0.3955777,0.29320365,0.24484506,0.24484506,0.24484506,0.24484506,0.20813037
29,0.3955777,0.3955777,0.29320365,0.24484506,0.24484506,0.24484506,0.24484506,0.3851021
30,0.3955777,0.3955777,0.29320365,0.24484506,0.24484506,0.24484506,0.24484506,0.29842925
31,0.3955777,0.3955777,0.29320365,0.24484506,0.24484506,0.24484506,0.24484506,0.24484506
32,0.4197603,0.4197603,0.29320365,0.24484506,0.24484506,0.24484506,0.24484506,0.36133814
33,0.4197603,0.4197603,0.29320365,0.24484506,0.24484506,0.24484506,0.24484506,0.26591527
34,0.4197603,0.4197603,0.29320365,0.24484506,0.24484506,0.24484506,0.24484506,0.36498734
35,0.4197603,0.4197603,0.29320365,0.24484506,0.24484506,0.24484506,0.24484506,0.4164021
36,0.4197603,0.4197603,0.29320365,0.24484506,0.24484506,0.24484506,0.24484506,0.20813037
37,0.4197603,0.4197603,0.29320365,0.24484506,0.24484506,0.24484506,0.24484506,0.3851021
38,0.4197603,0.4197603,0.29320365,0.24484506,0.24484506,0.24484506,0.24484506,0.29842925
39,0.4197603,0.4197603,0.29320365,0.24484506,0.24484506,0.24484506,0.24484506,0.24484506
40,0.36133814,0.36133814,0.33599147,0.24484506,0.24484506,0.24484506,0.24484506,0.36133814
41,0.36133814,0.36133814,0.33599147,0.24484506,0.24484506,0.24484506,0.24484506,0.26591527
42,0.36133814,0.36133814,0.33599147,0.24484506,0.24484506,0.24484506,0.24484506,0.36498734
43,0.36133814,0.36133814,0.33599147,0.24484506,0.24484506,0.24484506,0.24484506,0.4164021
44,0.36133814,0.36133814,0.33599147,0.24484506,0.24484506,0.24484506,0.24484506,0.20813037
45,0.36133814,0.36133814,0.33599147,0.24484506,0.24484506,0.24484506,0.24484506,0.3851021
46,0.36133814,0.36133814,0.33599147,0.24484506,0.24484506,0.24484506,0.24484506,0.29842925
47,0.36133814,0.36133814,0.33599147,0.24484506,0.24484506,0.24484506,0.24484506,0.24484506
48,0.4164021,0.4164021,0.33599147,0.24484506,0.24484506,0.24484506,0.24484506,0.36133814
49,0.4164021,0.4164021,0.33599147,0.24484506,0.24484506,0.24484506,0.24484506,0.26591527
50,0.4164021,0.4164021,0.33599147,0.24484506,0.24484506,0.24484506,0.24484506,0.36498734
51,0.4164021,0.4164021,0.33599147,0.24484506,0.24484506,0.24484506,0.24484506,0.4164021
52,0.4164021,0.4164021,0.33599147,0.24484506,0.24484506,0.24484506,0.24484506,0.20813037
53,0.4164021,0.4164021,0.33599147,0.24484506,0.24484506,0.24484506,0.24484506,0.3851021
54,0.4164021,0.4164021,0.33599147,0.24484506,0.24484506,0.24484506,0.24484506,0.29842925
55,0.4164021,0.4164021,0.33599147,0.24484506,0.24484506,0.24484506,0.24484506,0.24484506
56,0.36498734,0.36498734,0.33599147,0.24484506,0.24484506,0.24484506,0.24484506,0.36133814
57,0.36498734,0.36498734,0.33599147,0.24484506,0.24484506,0.24484506,0.24484506,0.26591527
58,0.36498734,0.36498734,0.33599147,0.24484506,0.24484506,0.24484506,0.24484506,0.36498734
59,0.36498734,0.36498734,0.33599147,0.24484506,0.24484506,0.24484506,0.24484506,0.4164021
60,0.36498734,0.36498734,0.33599147,0.24484506,0.24484506,0.24484506,0.24484506,0.20813037
61,0.36498734,0.36498734,0.33599147,0.24484506,0.24484506,0.24484506,0.24484506,0.3851021
62,0.36498734,0.36498734,0.33599147,0.24484506,0.24484506,0.24484506,0.24484506,0.29842925
63,0.36498734,0.36498734,0.33599147,0.24484506,0.24484506,0.24484506,0.24484506,0.24484506
64,0.3955777,0.3955777,0.33599147,0.24484506,0.24484506,0.24484506,0.24484506,0.36133814
65,0.3955777,0.3955777,0.33599147,0.24484506,0.24484506,0.24484506,0.24484506,0.26591527
66,0.3955777,0.3955777,0.33599147,0.24484506,0.24484506,0.24484506,0.24484506,0.36498734
67,0.3955777,0.3955777,0.33599147,0.24484506,0.24484506,0.24484506,0.24484506,0.4164021
68,0.3955777,0.3955777,0.33599147,0.24484506,0.24484506,0.24484506,0.24484506,0.20813037
69,0.3955777,0.3955777,0.33599147,0.24484506,0.24484506,0.24484506,0.24484506,0.3851021
70,0.3955777,0.3955777,0.33599147,0.24484506,0.24484506,0.24484506,0.24484506,0.29842925
71,0.3955777,0.3955777,0.33599147,0.24484506,0.24484506,0.24484506,0.24484506,0.24484506
72,0.4197603,0.4197603,0.33599147,0.24484506,0.24484506,0.24484506,0.24484506,0.36133814
73,0.4197603,0.4197603,0.33599147,0.24484506,0.24484506,0.24484506,0.24484506,0.26591527
74,0.4197603,0.4197603,0.33599147,0.24484506,0.24484506,0.24484506,0.24484506,0.36498734
75,0.4197603,0.4197603,0.33599147,0.24484506,0.24484506,0.24484506,0.24484506,0.4164021
76,0.4197603,0.4197603,0.33599147,0.24484506,0.24484506,0.24484506,0.24484506,0.20813037
77,0.4197603,0.4197603,0.33599147,0.24484506,0.24484506,0.24484506,0.24484506,0.3851021
78,0.4197603,0.4197603,0.33599147,0.24484506,0.24484506,0.24484506,0.24484506,0.29842925
79,0.4197603,0.4197603,0.33599147,0.24484506,0.24484506,0.24484506,0.24484506,0.24484506
80,0.36133814,0.36133814,0.20839706,0.24484506,0.24484506,0.24484506,0.24484506,0.36133814
81,0.36133814,0.36133814,0.20839706,0.24484506,0.24484506,0.24484506,0.24484506,0.26591527
82,0.36133814,0.36133814,0.20839706,0.24484506,0.24484506,0.24484506,0.24484506,0.36498734
83,0.36133814,0.36133814,0.20839706,0.24484506,0.24484506,0.24484506,0.24484506,0.4164021
84,0.36133814,0.36133814,0.20839706,0.24484506,0.24484506,0.24484506,0.24484506,0.20813037
85,0.36133814,0.36133814,0.20839706,0.24484506,0.24484506,0.24484506,0.24484506,0.3851021
86,0.36133814,0.36133814,0.20839706,0.24484506,0.24484506,0.24484506,0.24484506,0.29842925
