,Tolerance Factor,HOMO_energy,LUMO_energy,stable_ion,solar_ion,photo_ion,MagpieData mean AtomicWeight,MagpieData mean Row,MagpieData mean CovalentRadius,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mean GSvolume_pa,F,Adsorption energy(ev)
0,0.717404453,-0.149882,-0.149882,0.3668327,0.24562924,0.21369803,23.21651611,2.285714286,86.28571429,2.841428571,1.30122449,13.57452381,0.5,-7.004905301
1,0.717404453,-0.222725,-0.149882,0.31597647,0.21135272,0.285988,23.21651611,2.285714286,86.28571429,2.841428571,1.30122449,13.57452381,0.5,0.395232218
2,0.717404453,-0.149882,-0.149882,0.287042,0.2121902,0.24078286,23.21651611,2.285714286,86.28571429,2.841428571,1.30122449,13.57452381,0.5,-6.580689236
3,0.717404453,-0.149882,-0.149882,0.38132802,0.26328102,0.24808288,23.21651611,2.285714286,86.28571429,2.841428571,1.30122449,13.57452381,0.5,-5.557394705
4,0.717404453,-0.149882,-0.149882,0.2410393,0.2466504,0.3135546,23.21651611,2.285714286,86.28571429,2.841428571,1.30122449,13.57452381,0.5,2.60843733
5,0.717404453,-0.149882,-0.149882,0.33606577,0.17888987,0.17932105,23.21651611,2.285714286,86.28571429,2.841428571,1.30122449,13.57452381,0.5,-4.458869904
6,0.717404453,-0.175427,-0.149882,0.41539073,0.09761983,0.16434124,23.21651611,2.285714286,86.28571429,2.841428571,1.30122449,13.57452381,0.5,-2.617333558
8,0.80665094,-0.149882,-0.149882,0.3668327,0.24562924,0.21369803,27.80187877,2.571428571,97.14285714,2.827142857,1.31755102,17.18880952,0.5,-6.304996168
9,0.80665094,-0.222725,-0.149882,0.31597647,0.21135272,0.285988,27.80187877,2.571428571,97.14285714,2.827142857,1.31755102,17.18880952,0.5,0.779810172
10,0.80665094,-0.149882,-0.149882,0.287042,0.2121902,0.24078286,27.80187877,2.571428571,97.14285714,2.827142857,1.31755102,17.18880952,0.5,-4.859987159
11,0.80665094,-0.149882,-0.149882,0.38132802,0.26328102,0.24808288,27.80187877,2.571428571,97.14285714,2.827142857,1.31755102,17.18880952,0.5,-4.392485732
12,0.80665094,-0.149882,-0.149882,0.2410393,0.2466504,0.3135546,27.80187877,2.571428571,97.14285714,2.827142857,1.31755102,17.18880952,0.5,2.445059067
13,0.80665094,-0.149882,-0.149882,0.33606577,0.17888987,0.17932105,27.80187877,2.571428571,97.14285714,2.827142857,1.31755102,17.18880952,0.5,-4.034477
14,0.80665094,-0.175427,-0.149882,0.41539073,0.09761983,0.16434124,27.80187877,2.571428571,97.14285714,2.827142857,1.31755102,17.18880952,0.5,-1.905821399
16,0.930222999,-0.149882,-0.149882,0.3668327,0.24562924,0.21369803,32.40431611,2.857142857,107.7142857,2.795714286,1.353469388,29.72119048,0.5,-5.17872263
17,0.930222999,-0.222725,-0.149882,0.31597647,0.21135272,0.285988,32.40431611,2.857142857,107.7142857,2.795714286,1.353469388,29.72119048,0.5,1.015365728
18,0.930222999,-0.149882,-0.149882,0.287042,0.2121902,0.24078286,32.40431611,2.857142857,107.7142857,2.795714286,1.353469388,29.72119048,0.5,-4.279829728
19,0.930222999,-0.149882,-0.149882,0.38132802,0.26328102,0.24808288,32.40431611,2.857142857,107.7142857,2.795714286,1.353469388,29.72119048,0.5,-3.49526924
20,0.930222999,-0.149882,-0.149882,0.2410393,0.2466504,0.3135546,32.40431611,2.857142857,107.7142857,2.795714286,1.353469388,29.72119048,0.5,3.473451874
21,0.930222999,-0.149882,-0.149882,0.33606577,0.17888987,0.17932105,32.40431611,2.857142857,107.7142857,2.795714286,1.353469388,29.72119048,0.5,-5.440871128
22,0.930222999,-0.175427,-0.149882,0.41539073,0.09761983,0.16434124,32.40431611,2.857142857,107.7142857,2.795714286,1.353469388,29.72119048,0.5,-3.421779538
