atomic_number,charge,I,II,III,IIIPY,IV,IVPY,IVSQ,IX,V,VI,VII,VIII,X,XI,XII,XIV
1,1,-38.0,-18.0,,,,,,,,,,,,,,
3,1,,,,,59.0,,,,,76.0,,92.0,,,,
4,2,,,16.0,,27.0,,,,,45.0,,,,,,
5,3,,,1.0,,11.0,,,,,27.0,,,,,,
6,4,,,-8.0,,15.0,,,,,16.0,,,,,,
7,-3,,,,,146.0,,,,,,,,,,,
7,3,,,,,,,,,,16.0,,,,,,
7,5,,,-10.4,,,,,,,13.0,,,,,,
8,-2,,135.0,136.0,,138.0,,,,,140.0,,142.0,,,,
9,-1,,128.5,130.0,,131.0,,,,,133.0,,,,,,
9,7,,,,,,,,,,8.0,,,,,,
11,1,,,,,99.0,,,124.0,100.0,102.0,112.00000000000001,118.0,,,139.0,
12,2,,,,,56.99999999999999,,,,66.0,72.0,,89.0,,,,
13,3,,,,,39.0,,,,48.0,53.5,,,,,,
14,4,,,,,26.0,,,,,40.0,,,,,,
15,3,,,,,,,,,,44.0,,,,,,
15,5,,,,,17.0,,,,28.999999999999996,38.0,,,,,,
16,-2,,,,,,,,,,184.0,,,,,,
16,4,,,,,,,,,,37.0,,,,,,
16,6,,,,,12.0,,,,,28.999999999999996,,,,,,
17,-1,,,,,,,,,,181.0,,,,,,
17,5,,,,12.0,,,,,,,,,,,,
17,7,,,,,8.0,,,,,27.0,,,,,,
19,1,,,,,137.0,,,155.0,,138.0,146.0,151.0,159.0,,164.0,
20,2,,,,,,,,118.0,,100.0,106.0,112.00000000000001,123.0,,134.0,
21,3,,,,,,,,,,74.5,,87.0,,,,
22,2,,,,,,,,,,86.0,,,,,,
22,3,,,,,,,,,,67.0,,,,,,
22,4,,,,,42.0,,,,51.0,60.5,,74.0,,,,
23,2,,,,,,,,,,79.0,,,,,,
23,3,,,,,,,,,,64.0,,,,,,
23,4,,,,,,,,,53.0,57.99999999999999,,72.0,,,,
23,5,,,,,35.5,,,,46.0,54.0,,,,,,
24,2,,,,,,,,,,76.5,,,,,,
24,3,,,,,,,,,,61.5,,,,,,
24,4,,,,,41.0,,,,,55.00000000000001,,,,,,
24,5,,,,,34.5,,,,,49.0,,56.99999999999999,,,,
24,6,,,,,26.0,,,,,44.0,,,,,,
25,2,,,,,66.0,,,,75.0,75.0,90.0,96.0,,,,
25,3,,,,,,,,,57.99999999999999,61.25,,,,,,
25,4,,,,,39.0,,,,,53.0,,,,,,
25,5,,,,,33.0,,,,,,,,,,,
25,6,,,,,25.5,,,,,,,,,,,
25,7,,,,,25.0,,,,,46.0,,,,,,
26,2,,,,,63.0,,64.0,,,69.5,,92.0,,,,
26,3,,,,,49.0,,,,57.99999999999999,59.75,,78.0,,,,
26,4,,,,,,,,,,58.5,,,,,,
26,6,,,,,25.0,,,,,,,,,,,
27,2,,,,,57.99999999999999,,,,67.0,69.75,,90.0,,,,
27,3,,,,,,,,,,57.75,,,,,,
27,4,,,,,40.0,,,,,53.0,,,,,,
28,2,,,,,55.00000000000001,,49.0,,63.0,69.0,,,,,,
28,3,,,,,,,,,,58.0,,,,,,
28,4,,,,,,,,,,48.0,,,,,,
29,1,,46.0,,,60.0,,,,,77.0,,,,,,
29,2,,,,,56.99999999999999,,56.99999999999999,,65.0,73.0,,,,,,
29,3,,,,,,,,,,54.0,,,,,,
30,2,,,,,60.0,,,,68.0,74.0,,90.0,,,,
31,3,,,,,47.0,,,,55.00000000000001,62.0,,,,,,
32,2,,,,,,,,,,73.0,,,,,,
32,4,,,,,39.0,,,,,53.0,,,,,,
33,3,,,,,,,,,,57.99999999999999,,,,,,
33,5,,,,,33.5,,,,,46.0,,,,,,
34,-2,,,,,,,,,,198.0,,,,,,
34,4,,,,,,,,,,50.0,,,,,,
34,6,,,,,28.000000000000004,,,,,42.0,,,,,,
35,-1,,,,,,,,,,196.0,,,,,,
35,3,,,,,,,59.0,,,,,,,,,
35,5,,,,31.0,,,,,,,,,,,,
35,7,,,,,25.0,,,,,39.0,,,,,,
37,1,,,,,,,,163.0,,152.0,156.0,161.0,166.0,169.0,172.0,183.0
38,2,,,,,,,,131.0,,118.0,121.0,126.0,136.0,,144.0,
39,3,,,,,,,,107.5,,90.0,96.0,101.89999999999999,,,,
40,4,,,,,59.0,,,89.0,66.0,72.0,78.0,84.0,,,,
41,3,,,,,,,,,,72.0,,,,,,
41,4,,,,,,,,,,68.0,,79.0,,,,
41,5,,,,,48.0,,,,,64.0,69.0,74.0,,,,
42,3,,,,,,,,,,69.0,,,,,,
42,4,,,,,,,,,,65.0,,,,,,
42,5,,,,,46.0,,,,,61.0,,,,,,
42,6,,,,,41.0,,,,50.0,59.0,73.0,,,,,
43,4,,,,,,,,,,64.5,,,,,,
43,5,,,,,,,,,,60.0,,,,,,
43,7,,,,,37.0,,,,,56.00000000000001,,,,,,
44,3,,,,,,,,,,68.0,,,,,,
44,4,,,,,,,,,,62.0,,,,,,
44,5,,,,,,,,,,56.49999999999999,,,,,,
44,7,,,,,38.0,,,,,,,,,,,
44,8,,,,,36.0,,,,,,,,,,,
45,3,,,,,,,,,,66.5,,,,,,
45,4,,,,,,,,,,60.0,,,,,,
45,5,,,,,,,,,,55.00000000000001,,,,,,
46,1,,59.0,,,,,,,,,,,,,,
46,2,,,,,,,64.0,,,86.0,,,,,,
46,3,,,,,,,,,,76.0,,,,,,
46,4,,,,,,,,,,61.5,,,,,,
47,1,,67.0,,,100.0,,102.0,,109.00000000000001,114.99999999999999,122.0,128.0,,,,
47,2,,,,,,,79.0,,,94.0,,,,,,
47,3,,,,,,,67.0,,,75.0,,,,,,
48,2,,,,,78.0,,,,87.0,95.0,103.0,110.00000000000001,,,131.0,
49,3,,,,,62.0,,,,,80.0,,92.0,,,,
50,4,,,,,55.00000000000001,,,,62.0,69.0,75.0,81.0,,,,
51,3,,,,,,76.0,,,80.0,76.0,,,,,,
51,5,,,,,,,,,,60.0,,,,,,
52,-2,,,,,,,,,,221.0,,,,,,
52,4,,,52.0,,66.0,,,,,97.0,,,,,,
52,6,,,,,43.0,,,,,56.00000000000001,,,,,,
53,-1,,,,,,,,,,220.00000000000003,,,,,,
53,5,,,,44.0,,,,,,95.0,,,,,,
53,7,,,,,42.0,,,,,53.0,,,,,,
54,8,,,,,40.0,,,,,48.0,,,,,,
55,1,,,,,,,,178.0,,167.0,,174.0,181.0,185.0,188.0,
56,2,,,,,,,,147.0,,135.0,138.0,142.0,152.0,157.0,161.0,
57,3,,,,,,,,121.6,,103.2,110.00000000000001,115.99999999999999,127.0,,136.0,
58,3,,,,,,,,119.6,,101.0,107.0,114.3,125.0,,134.0,
58,4,,,,,,,,,,87.0,,97.0,97.0,,113.99999999999999,
59,3,,,,,,,,117.9,,99.0,,112.6,,,,
59,4,,,,,,,,,,85.0,,96.0,,,,
60,2,,,,,,,,135.0,,,,129.0,,,,
60,3,,,,,,,,116.3,,98.3,,110.9,,,127.0,
61,3,,,,,,,,114.39999999999999,,97.0,,109.3,,,,
