atomic_number,IE1,IE2,IE3,IE4,IE5,IE6,IE7,IE8,IE9,IE10
1,13.598434005136,,,,,,,,,
2,24.587387936,54.41776311,,,,,,,,
3,5.391714761,75.6400937,122.4543538,,,,,,,
4,9.322699,18.211153,153.896198,217.7185766,,,,,,
5,8.298019,25.15483,37.93058,259.3715,340.226008,,,,,
6,11.260296,24.3845,47.88778,64.49358,392.0905,489.993177,,,,
7,14.53413,29.60125,47.4453,77.4735,97.89013,552.06731,667.04609,,,
8,13.618054,35.12111,54.93554,77.4135,113.8989,138.1189,739.32679,871.40985,,
9,17.42282,34.97081,62.708,87.175,114.249,157.1631,185.1868,953.898,1103.11743,
10,21.56454,40.96296,63.42331,97.19,126.247,157.934,207.271,239.0969,1195.80779,1362.1991
11,5.1390767,47.28636,71.62,98.936,138.4,172.228,208.5,264.192,299.86,1465.13444
12,7.646235,15.035267,80.1436,109.2654,141.335,186.76,225.015,265.924,327.985,367.5
13,5.9857684,18.82855,28.44764,119.9924,153.8252,190.49,241.76,284.638,330.212,398.65
14,8.151683,16.345845,33.493,45.14179,166.767,205.267,246.32,303.66,351.1,401.38
15,10.486686,19.76949,30.20264,51.44387,65.02511,220.4304,263.57,309.6,372.31,424.4
16,10.36001,23.33788,34.856,47.222,72.59449,88.05292,280.954,328.79,379.84,447.74
17,12.96763,23.81364,39.8,53.24,67.68,96.94,114.2013,348.306,400.851,456.68
18,15.7596112,27.62967,40.735,59.58,74.84,91.29,124.412,143.4567,422.598,479.76
19,4.34066354,31.625,45.8031,60.917,82.66,99.4,117.56,154.87,175.8174,503.67
20,6.1131552,11.871718,50.91315,67.2732,84.338,108.78,127.2,147.24,188.535,211.2751
21,6.56149,12.79977,24.756838,73.4894,91.949,110.68,138.0,158.1,180.0,225.18
22,6.82812,13.5755,27.49171,43.26717,99.3,119.53,140.68,170.47,192.1,215.92
23,6.746187,14.62,29.311,46.709,65.28165,128.13,150.72,173.55,205.96,230.5
24,6.76651,16.486305,30.96,49.16,69.46,90.635,160.29,184.76,209.54,244.52
25,7.434018,15.63999,33.668,51.2,72.4,95.6,119.203,195.47,221.89,248.64
26,7.9024678,16.1992,30.651,54.91,75.0,98.985,125.0,151.06,233.6,262.1
27,7.88101,17.0844,33.5,51.27,79.5,102.0,129.0,157.8,186.14,275.4
28,7.639877,18.168837,35.19,54.9,76.06,108.0,132.0,162.0,193.2,224.7
29,7.72638,20.29239,36.841,57.38,79.8,103.0,139.0,166.0,198.0,232.2
30,9.394199,17.96439,39.723,59.573,82.6,108.0,134.0,173.9,203.0,238.0
31,5.9993018,20.51514,30.726,63.241,86.01,112.7,140.8,170.0,211.0,244.0
32,7.899435,15.93461,34.0576,45.715,90.5,115.9,144.9,176.4,212.5,252.1
