,id,atomic_number,charge,econf,coordination,spin,crystal_radius,ionic_radius,origin,most_reliable
0,1,89,3,6p6,VI,,126.0,112.00000000000001,"from r^3 vs V plots, ",False
1,2,47,1,4d10,II,,81.0,67.0,,False
2,3,47,1,4d10,IV,,113.99999999999999,100.0,"calculated, ",False
3,4,47,1,4d10,IVSQ,,115.99999999999999,102.0,,False
4,5,47,1,4d10,V,,123.0,109.00000000000001,"calculated, ",False
5,6,47,1,4d10,VI,,129.0,114.99999999999999,"calculated, ",False
6,7,47,1,4d10,VII,,136.0,122.0,,False
7,8,47,1,4d10,VIII,,142.0,128.0,,False
8,9,47,2,4d9,IVSQ,,93.0,79.0,,False
9,10,47,2,4d9,VI,,108.0,94.0,,False
10,11,47,3,4d8,IVSQ,,81.0,67.0,,False
11,12,47,3,4d8,VI,,89.0,75.0,"from r^3 vs V plots, ",False
12,13,13,3,2p6,IV,,53.0,39.0,,True
13,14,13,3,2p6,V,,62.0,48.0,,False
14,15,13,3,2p6,VI,,67.5,53.5,"from r^3 vs V plots, ",True
15,16,95,2,5f7,VII,,135.0,121.0,,False
16,17,95,2,5f7,VIII,,140.0,126.0,,False
17,18,95,2,5f7,IX,,145.0,131.0,,False
18,19,95,3,5f6,VI,,111.5,97.5,"from r^3 vs V plots, ",False
19,20,95,3,5f6,VIII,,123.0,109.00000000000001,,False
20,21,95,4,5f5,VI,,99.0,85.0,"from r^3 vs V plots, ",False
21,22,95,4,5f5,VIII,,109.00000000000001,95.0,,False
22,23,33,3,4s2,VI,,72.0,57.99999999999999,"Ahrens (1952) ionic radius, ",False
23,24,33,5,3d10,IV,,47.5,33.5,"from r^3 vs V plots, ",True
24,25,33,5,3d10,VI,,60.0,46.0,"calculated, ",True
25,26,85,7,5d10,VI,,76.0,62.0,"Ahrens (1952) ionic radius, ",False
26,27,79,1,5d10,VI,,151.0,137.0,"Ahrens (1952) ionic radius, ",False
27,28,79,3,5d8,IVSQ,,82.0,68.0,,False
28,29,79,3,5d8,VI,,99.0,85.0,"Ahrens (1952) ionic radius, ",False
29,30,79,5,5d6,VI,,71.0,56.99999999999999,,False
30,31,5,3,1s2,III,,15.0,1.0,,True
31,32,5,3,1s2,IV,,25.0,11.0,,True
32,33,5,3,1s2,VI,,41.0,27.0,"calculated, ",False
33,34,56,2,5p6,VI,,149.0,135.0,,False
34,35,56,2,5p6,VII,,152.0,138.0,"calculated, ",False
35,36,56,2,5p6,VIII,,156.0,142.0,,False
36,37,56,2,5p6,IX,,161.0,147.0,,False
37,38,56,2,5p6,X,,166.0,152.0,,False
38,39,56,2,5p6,XI,,171.0,157.0,,False
39,40,56,2,5p6,XII,,175.0,161.0,"calculated, ",False
40,41,4,2,1s2,III,,30.0,16.0,,False
41,42,4,2,1s2,IV,,41.0,27.0,,True
42,43,4,2,1s2,VI,,59.0,45.0,"calculated, ",False
43,44,83,3,6s2,V,,110.00000000000001,96.0,"calculated, ",False
44,45,83,3,6s2,VI,,117.0,103.0,"from r^3 vs V plots, ",True
45,46,83,3,6s2,VIII,,131.0,117.0,"from r^3 vs V plots, ",False
46,47,83,5,5d10,VI,,90.0,76.0,"estimated, ",False
47,48,97,3,5f8,VI,,110.00000000000001,96.0,"from r^3 vs V plots, ",False
48,49,97,4,5f7,VI,,97.0,83.0,"from r^3 vs V plots, ",False
49,50,97,4,5f7,VIII,,107.0,93.0,"from r^3 vs V plots, ",False
50,51,35,-1,4p6,VI,,182.0,196.0,"Pauling's (1960) crystal radius, ",False
51,52,35,3,4p2,IVSQ,,73.0,59.0,,False
52,53,35,5,4s2,IIIPY,,45.0,31.0,,False
53,54,35,7,3d10,IV,,39.0,25.0,,False
54,55,35,7,3d10,VI,,53.0,39.0,"Ahrens (1952) ionic radius, ",False
55,56,6,4,1s2,III,,6.0,-8.0,,False
56,57,6,4,1s2,IV,,28.999999999999996,15.0,"Pauling's (1960) crystal radius, ",False
57,58,6,4,1s2,VI,,30.0,16.0,"Ahrens (1952) ionic radius, ",False
58,59,20,2,3p6,VI,,113.99999999999999,100.0,,False
59,60,20,2,3p6,VII,,120.0,106.0,,True
60,61,20,2,3p6,VIII,,126.0,112.00000000000001,,True
61,62,20,2,3p6,IX,,132.0,118.0,,False
62,63,20,2,3p6,X,,137.0,123.0,"calculated, ",False
63,64,20,2,3p6,XII,,148.0,134.0,"calculated, ",False
64,65,48,2,4d10,IV,,92.0,78.0,,False
65,66,48,2,4d10,V,,101.0,87.0,,False
66,67,48,2,4d10,VI,,109.00000000000001,95.0,,False
67,68,48,2,4d10,VII,,117.0,103.0,"calculated, ",False
68,69,48,2,4d10,VIII,,124.0,110.00000000000001,"calculated, ",False
69,70,48,2,4d10,XII,,145.0,131.0,,False
70,71,58,3,6s1,VI,,114.99999999999999,101.0,"from r^3 vs V plots, ",False
71,72,58,3,6s1,VII,,121.0,107.0,"estimated, ",False
72,73,58,3,6s1,VIII,,128.29999999999998,114.3,"from r^3 vs V plots, ",False
73,74,58,3,6s1,IX,,133.6,119.6,"from r^3 vs V plots, ",False
74,75,58,3,6s1,X,,139.0,125.0,,False
75,76,58,3,6s1,XII,,148.0,134.0,"calculated, ",False
76,77,58,4,5p6,VI,,101.0,87.0,"from r^3 vs V plots, ",False
77,78,58,4,5p6,VIII,,111.00000000000001,97.0,"from r^3 vs V plots, ",False
78,79,58,4,5p6,X,,121.0,97.0,"from r^3 vs V plots, ",False
79,80,58,4,5p6,XII,,128.0,113.99999999999999,,False
80,81,98,3,6d1,VI,,109.00000000000001,95.0,"from r^3 vs V plots, ",False
81,82,98,4,5f8,VI,,96.1,82.1,"from r^3 vs V plots, ",False
82,83,98,4,5f8,VIII,,106.0,92.0,,False
83,84,17,-1,3p6,VI,,167.0,181.0,"Pauling's (1960) crystal radius, ",False
84,85,17,5,3s2,IIIPY,,26.0,12.0,,False
85,86,17,7,2p6,IV,,22.0,8.0,,True
86,87,17,7,2p6,VI,,41.0,27.0,"Ahrens (1952) ionic radius, ",False
87,88,96,3,5f7,VI,,111.00000000000001,97.0,"from r^3 vs V plots, ",False
