,id,atomic_number,degree,energy
0,1,1,1,13.598434005136
1,2,2,1,24.587387936
2,3,2,2,54.41776311
3,4,3,1,5.391714761
4,5,3,2,75.6400937
5,6,3,3,122.4543538
6,7,4,1,9.322699
7,8,4,2,18.211153
8,9,4,3,153.896198
9,10,4,4,217.7185766
10,11,5,1,8.298019
11,12,5,2,25.15483
12,13,5,3,37.93058
13,14,5,4,259.3715
14,15,5,5,340.226008
15,16,6,1,11.260296
16,17,6,2,24.3845
17,18,6,3,47.88778
18,19,6,4,64.49358
19,20,6,5,392.0905
20,21,6,6,489.993177
21,22,7,1,14.53413
22,23,7,2,29.60125
23,24,7,3,47.4453
24,25,7,4,77.4735
25,26,7,5,97.89013
26,27,7,6,552.06731
27,28,7,7,667.04609
28,29,8,1,13.618054
29,30,8,2,35.12111
30,31,8,3,54.93554
31,32,8,4,77.4135
32,33,8,5,113.8989
33,34,8,6,138.1189
34,35,8,7,739.32679
35,36,8,8,871.40985
36,37,9,1,17.42282
37,38,9,2,34.97081
38,39,9,3,62.708
39,40,9,4,87.175
40,41,9,5,114.249
41,42,9,6,157.1631
42,43,9,7,185.1868
43,44,9,8,953.898
44,45,9,9,1103.11743
45,46,10,1,21.56454
46,47,10,2,40.96296
47,48,10,3,63.42331
48,49,10,4,97.19
49,50,10,5,126.247
50,51,10,6,157.934
51,52,10,7,207.271
52,53,10,8,239.0969
53,54,10,9,1195.80779
54,55,10,10,1362.1991
55,56,11,1,5.1390767
56,57,11,2,47.28636
57,58,11,3,71.62
58,59,11,4,98.936
59,60,11,5,138.4
60,61,11,6,172.228
61,62,11,7,208.5
62,63,11,8,264.192
63,64,11,9,299.86
64,65,11,10,1465.13444
65,66,11,11,1648.702
66,67,12,1,7.646235
67,68,12,2,15.035267
68,69,12,3,80.1436
69,70,12,4,109.2654
70,71,12,5,141.335
71,72,12,6,186.76
72,73,12,7,225.015
73,74,12,8,265.924
74,75,12,9,327.985
75,76,12,10,367.5
76,77,12,11,1761.80481
77,78,12,12,1962.664
78,79,13,1,5.9857684
79,80,13,2,18.82855
80,81,13,3,28.44764
81,82,13,4,119.9924
82,83,13,5,153.8252
83,84,13,6,190.49
84,85,13,7,241.76
85,86,13,8,284.638
86,87,13,9,330.212
87,88,13,10,398.65
88,89,13,11,442.005
89,90,13,12,2085.97693
90,91,13,13,2304.14
91,92,14,1,8.151683
92,93,14,2,16.345845
93,94,14,3,33.493
94,95,14,4,45.14179
95,96,14,5,166.767
96,97,14,6,205.267
97,98,14,7,246.32
98,99,14,8,303.66
99,100,14,9,351.1
100,101,14,10,401.38
101,102,14,11,476.18
102,103,14,12,523.415
103,104,14,13,2437.65804
104,105,14,14,2673.1774
105,106,15,1,10.486686
106,107,15,2,19.76949
107,108,15,3,30.20264
108,109,15,4,51.44387
109,110,15,5,65.02511
110,111,15,6,220.4304
111,112,15,7,263.57
112,113,15,8,309.6
113,114,15,9,372.31
114,115,15,10,424.4
115,116,15,11,479.441
116,117,15,12,560.62
117,118,15,13,611.74
118,119,15,14,2816.90867
119,120,15,15,3069.8414
120,121,16,1,10.36001
121,122,16,2,23.33788
122,123,16,3,34.856
123,124,16,4,47.222
124,125,16,5,72.59449
125,126,16,6,88.05292
126,127,16,7,280.954
127,128,16,8,328.79
128,129,16,9,379.84
129,130,16,10,447.74
