,id,atomic_number,mass,abundance,mass_number,mass_uncertainty,is_radioactive,half_life,half_life_unit,spin,g_factor,quadrupole_moment,parity,discovery_year,g_factor_uncertainty,abundance_uncertainty,half_life_uncertainty,quadrupole_moment_uncertainty
0,1,1,1.007825031898,99.9855,1,1.4e-11,False,,,1/2,5.585694702,0.0,+,1920.0,1.8000000000000002e-08,0.0078000000000000005,,0.0
1,2,1,2.014101777844,0.0145,2,1.5e-11,False,,,1,0.857438231,,+,1932.0,5e-09,0.0078000000000000005,,
2,3,1,3.01604928132,,3,8e-11,True,12.32,y,1/2,5.95792492,0.0,+,1934.0,2.8000000000000003e-08,,0.02,0.0
3,4,2,3.01602932197,0.0002,3,6e-11,False,,,1/2,-4.25525062,0.0,+,1934.0,6.000000000000001e-08,0.0002,,0.0
4,5,3,3.030775,,3,0.002147,True,,,3/2,,,-,,,,,
5,6,1,4.026431867,,4,0.000107354,True,139.0,ys,2,,,-,1981.0,,,10.0,
6,7,2,4.00260325413,99.9998,4,1.6e-10,False,,,0,0.0,0.0,+,1908.0,0.0,0.0002,,0.0
7,8,3,4.027185561,,4,0.000227733,True,91.0,ys,2,,,-,1965.0,,,9.0,
8,9,1,5.035311492,,5,9.602e-05,True,86.0,ys,1/2,,0.0,+,1987.0,,,6.0,0.0
9,10,2,5.012057224,,5,2.147e-05,True,602.0,ys,3/2,,,-,1937.0,,,22.0,
10,11,3,5.0125378,,5,5.3677e-05,True,370.0,ys,3/2,,,-,1941.0,,,30.0,
11,12,4,5.03987,,5,0.00215,True,,,1/2,,0.0,+,,,,,0.0
12,13,1,6.044955437,,6,0.000272816,True,294.0,ys,2,,,-,1984.0,,,67.0,
13,14,2,6.018885889,,6,5.7e-08,True,806.92,ms,0,0.0,0.0,+,1936.0,0.0,,0.24,0.0
14,15,3,6.01512288742,4.85,6,1.55e-09,False,,,1,0.822043,-0.000806,+,1921.0,3e-06,1.71,,6e-06
15,16,4,6.019726409,,6,5.848e-06,True,5.0,zs,0,0.0,0.0,+,1958.0,0.0,,0.3,0.0
16,17,5,6.0508,,6,0.00215,True,,,2,,,-,,,,,
17,18,1,7.052749,,7,0.001078,True,652.0,ys,1/2,,0.0,+,2003.0,,,558.0,0.0
18,19,2,7.027990652,,7,8.115e-06,True,2.51,zs,3/2,,,,1967.0,,,0.07,
19,20,3,7.01600343426,95.15,7,4.5e-09,False,,,3/2,2.170938,-0.04,-,1921.0,8e-06,1.71,,0.00030000000000000003
20,21,4,7.016928714,,7,7.6e-08,True,53.22,d,3/2,,,-,1938.0,,,0.06,
21,22,5,7.029712,,7,2.7e-05,True,570.0,ys,3/2,,,-,1967.0,,,14.0,
22,23,2,8.033934388,,8,9.5e-08,True,119.5,ms,0,0.0,0.0,+,1965.0,0.0,,1.5,0.0
23,24,3,8.022486244,,8,5e-08,True,838.7,ms,2,0.82675,0.0314,+,1935.0,1e-05,,0.3,0.0002
24,25,4,8.005305102,,8,3.7e-08,True,81.9,as,0,0.0,0.0,+,1932.0,0.0,,3.7,0.0
25,26,5,8.024607315,,8,1.073e-06,True,771.9,ms,2,0.51775,0.0643,+,1950.0,0.00015000000000000001,,0.9,0.0014
26,27,6,8.037643039,,8,1.9584e-05,True,3.5,zs,0,0.0,0.0,+,1974.0,0.0,,1.4,0.0
27,28,2,9.043946414,,9,5.0259e-05,True,2.5,zs,1/2,,0.0,,1987.0,,,2.3,0.0
28,29,3,9.026790191,,9,2e-07,True,178.2,ms,3/2,2.2911066666666664,-0.0304,-,1951.0,4e-05,,0.4,0.0002
29,30,4,9.012183062,100.0,9,8.2e-08,False,,,3/2,-0.7849533333333333,0.0529,-,1921.0,3.333333333333333e-06,0.0,,0.0004
30,31,5,9.013329645,,9,9.69e-07,True,800.0,zs,3/2,,,-,1940.0,,,300.0,
31,32,6,9.031037202,,9,2.293e-06,True,126.5,ms,3/2,0.9276,,-,1964.0,0.0003333333333333333,,0.9,
32,33,2,10.052815306,,10,9.9676e-05,True,260.0,ys,0,0.0,0.0,+,1994.0,0.0,,40.0,0.0
33,34,3,10.035483453,,10,1.3656e-05,True,2.0,zs,1,,,-,1975.0,,,0.5,
34,35,4,10.013534692,,10,8.6e-08,True,1.387,My,0,0.0,0.0,+,1935.0,0.0,,0.012,0.0
35,36,5,10.012936862,19.65,10,1.6e-08,False,,,3,0.6001545333333334,0.0846,+,1920.0,2.6666666666666667e-07,0.44,,0.0002
36,37,6,10.016853217,,10,7.5e-08,True,19.3011,s,0,0.0,0.0,+,1949.0,0.0,,0.0015,0.0
37,38,7,10.04165354,,10,0.000429417,True,143.0,ys,1,,,-,2002.0,,,36.0,
38,39,3,11.043723581,,11,6.6e-07,True,8.75,ms,3/2,2.4474,-0.0333,-,1966.0,0.00013333333333333334,,0.06,0.0005
39,40,4,11.02166108,,11,2.55e-07,True,13.76,s,1/2,-3.3632,0.0,+,1958.0,0.0016,,0.07,0.0
40,41,5,11.009305166,80.35,11,1.3e-08,False,,,3/2,1.7922520000000002,0.04059,-,1920.0,6.666666666666666e-07,0.44,,0.0001
41,42,6,11.011432597,,11,6.4e-08,True,20.3402,m,3/2,-0.6426666666666666,0.0333,-,1934.0,0.0006666666666666666,,0.0053,0.0002
42,43,7,11.026157593,,11,5.368e-06,True,585.0,ys,1/2,,0.0,+,1974.0,,,7.0,0.0
43,44,8,11.051249828,,11,6.4453e-05,True,198.0,ys,3/2,,,-,2019.0,,,12.0,
44,45,3,12.052613942,,12,3.2213e-05,False,,,1,,,-,2008.0,,,,
45,46,4,12.026922082,,12,2.048e-06,True,21.46,ms,0,0.0,0.0,+,1966.0,0.0,,0.05,0.0
46,47,5,12.014352638,,12,1.418e-06,True,20.2,ms,1,1.003,0.0132,+,1935.0,0.001,,0.02,0.00030000000000000003
47,48,6,12.0,98.94,12,0.0,False,,,0,0.0,0.0,+,1919.0,0.0,0.06,,0.0
48,49,7,12.01861318,,12,1.073e-06,True,11.0,ms,1,0.4571,0.01,+,1949.0,0.0001,,0.016,0.0009000000000000001
49,50,8,12.034367726,,12,1.2882e-05,True,8.9,zs,0,0.0,0.0,+,1978.0,0.0,,3.3,0.0
50,51,3,13.061171503,,13,7.515e-05,True,3.3,zs,3/2,,,-,2008.0,,,1.2,
51,52,4,13.036134506,,13,1.0929e-05,True,1.0,zs,1/2,,0.0,-,1983.0,,,0.7,0.0
52,53,5,13.017779981,,13,1.073e-06,True,17.16,ms,3/2,2.118533333333333,0.0365,-,1956.0,0.0003333333333333333,,0.18,0.0008
53,54,6,13.00335483534,1.06,13,2.5e-10,False,,,1/2,1.404738,0.0,-,1929.0,8e-06,0.06,,0.0
54,55,7,13.005738609,,13,2.89e-07,True,9.965,m,1/2,0.6438,0.0,-,1934.0,0.0008,,0.004,0.0
55,56,8,13.024815435,,13,1.0226e-05,True,8.58,ms,3/2,0.9261333333333334,0.0111,-,1963.0,0.0002,,0.05,0.0008
56,57,9,13.045121,,13,0.000537,False,,,1/2,,0.0,+,,,,,0.0
57,58,4,14.04289292,,14,0.00014197,True,4.53,ms,0,0.0,0.0,+,1973.0,0.0,,0.27,0.0
58,59,5,14.02540401,,14,2.2773e-05,True,12.36,ms,2,0.5925,0.0297,-,1966.0,0.0025,,0.29,0.0008
59,60,6,14.00324198862,,14,4.03e-09,True,5.7,ky,0,0.0,0.0,+,1936.0,0.0,,0.03,0.0
60,61,7,14.00307400425,99.6205,14,2.4e-10,False,,,1,0.403573,,+,1920.0,2e-06,0.0247,,
61,62,8,14.008596706,,14,2.7e-08,True,70.621,s,0,0.0,0.0,+,1949.0,0.0,,0.011,0.0
62,63,9,14.034315196,,14,4.4142e-05,True,500.0,ys,2,,,-,2010.0,,,60.0,
63,64,4,15.053490215,,15,0.00017799,True,790.0,ys,5/2,,,+,2013.0,,,270.0,
64,65,5,15.031087023,,15,2.2575e-05,True,10.18,ms,3/2,1.7726666666666666,0.0379,-,1966.0,0.01,,0.35,0.0011
65,66,6,15.010599256,,15,8.58e-07,True,2.449,s,1/2,3.44,0.0,+,1950.0,0.018000000000000002,,0.005,0.0
66,67,7,15.00010889827,0.3795,15,6.2e-10,False,,,1/2,-0.5661138,0.0,-,1929.0,2.8e-06,0.0247,,0.0
