,intercalation_Element_1,intercalation_Element_2,intercalation_Element_3,intercalation_Element_4,intercalation_Element_5,intercalation_Element_6,intercalation_Element_7,intercalation_ion
0,0.68533975,0.68533975,0.3941247,0.24211639,0.24211639,0.24211639,0.24211639,0.68533975
1,0.68533975,0.68533975,0.3941247,0.24211639,0.24211639,0.24211639,0.24211639,0.4386638
2,0.68533975,0.68533975,0.3941247,0.24211639,0.24211639,0.24211639,0.24211639,0.37432775
3,0.68533975,0.68533975,0.3941247,0.24211639,0.24211639,0.24211639,0.24211639,0.5926203
4,0.68533975,0.68533975,0.3941247,0.24211639,0.24211639,0.24211639,0.24211639,0.31498703
5,0.68533975,0.68533975,0.3941247,0.24211639,0.24211639,0.24211639,0.24211639,0.41992307
6,0.68533975,0.68533975,0.3941247,0.24211639,0.24211639,0.24211639,0.24211639,0.5016584
7,0.68533975,0.68533975,0.3941247,0.24211639,0.24211639,0.24211639,0.24211639,0.24211639
8,0.5926203,0.5926203,0.3941247,0.24211639,0.24211639,0.24211639,0.24211639,0.68533975
9,0.5926203,0.5926203,0.3941247,0.24211639,0.24211639,0.24211639,0.24211639,0.4386638
10,0.5926203,0.5926203,0.3941247,0.24211639,0.24211639,0.24211639,0.24211639,0.37432775
11,0.5926203,0.5926203,0.3941247,0.24211639,0.24211639,0.24211639,0.24211639,0.5926203
12,0.5926203,0.5926203,0.3941247,0.24211639,0.24211639,0.24211639,0.24211639,0.31498703
13,0.5926203,0.5926203,0.3941247,0.24211639,0.24211639,0.24211639,0.24211639,0.41992307
14,0.5926203,0.5926203,0.3941247,0.24211639,0.24211639,0.24211639,0.24211639,0.5016584
15,0.5926203,0.5926203,0.3941247,0.24211639,0.24211639,0.24211639,0.24211639,0.24211639
16,0.37432775,0.37432775,0.3941247,0.24211639,0.24211639,0.24211639,0.24211639,0.68533975
17,0.37432775,0.37432775,0.3941247,0.24211639,0.24211639,0.24211639,0.24211639,0.4386638
18,0.37432775,0.37432775,0.3941247,0.24211639,0.24211639,0.24211639,0.24211639,0.37432775
19,0.37432775,0.37432775,0.3941247,0.24211639,0.24211639,0.24211639,0.24211639,0.5926203
20,0.37432775,0.37432775,0.3941247,0.24211639,0.24211639,0.24211639,0.24211639,0.31498703
21,0.37432775,0.37432775,0.3941247,0.24211639,0.24211639,0.24211639,0.24211639,0.41992307
22,0.37432775,0.37432775,0.3941247,0.24211639,0.24211639,0.24211639,0.24211639,0.5016584
23,0.37432775,0.37432775,0.3941247,0.24211639,0.24211639,0.24211639,0.24211639,0.24211639
24,0.5304877,0.5304877,0.3941247,0.24211639,0.24211639,0.24211639,0.24211639,0.68533975
25,0.5304877,0.5304877,0.3941247,0.24211639,0.24211639,0.24211639,0.24211639,0.4386638
26,0.5304877,0.5304877,0.3941247,0.24211639,0.24211639,0.24211639,0.24211639,0.37432775
27,0.5304877,0.5304877,0.3941247,0.24211639,0.24211639,0.24211639,0.24211639,0.5926203
28,0.5304877,0.5304877,0.3941247,0.24211639,0.24211639,0.24211639,0.24211639,0.31498703
29,0.5304877,0.5304877,0.3941247,0.24211639,0.24211639,0.24211639,0.24211639,0.41992307
30,0.5304877,0.5304877,0.3941247,0.24211639,0.24211639,0.24211639,0.24211639,0.5016584
31,0.5304877,0.5304877,0.3941247,0.24211639,0.24211639,0.24211639,0.24211639,0.24211639
32,0.54667395,0.54667395,0.3941247,0.24211639,0.24211639,0.24211639,0.24211639,0.68533975
33,0.54667395,0.54667395,0.3941247,0.24211639,0.24211639,0.24211639,0.24211639,0.4386638
34,0.54667395,0.54667395,0.3941247,0.24211639,0.24211639,0.24211639,0.24211639,0.37432775
35,0.54667395,0.54667395,0.3941247,0.24211639,0.24211639,0.24211639,0.24211639,0.5926203
36,0.54667395,0.54667395,0.3941247,0.24211639,0.24211639,0.24211639,0.24211639,0.31498703
37,0.54667395,0.54667395,0.3941247,0.24211639,0.24211639,0.24211639,0.24211639,0.41992307
38,0.54667395,0.54667395,0.3941247,0.24211639,0.24211639,0.24211639,0.24211639,0.5016584
39,0.54667395,0.54667395,0.3941247,0.24211639,0.24211639,0.24211639,0.24211639,0.24211639
40,0.68533975,0.68533975,0.5977446,0.24211639,0.24211639,0.24211639,0.24211639,0.68533975
41,0.68533975,0.68533975,0.5977446,0.24211639,0.24211639,0.24211639,0.24211639,0.4386638
42,0.68533975,0.68533975,0.5977446,0.24211639,0.24211639,0.24211639,0.24211639,0.37432775
43,0.68533975,0.68533975,0.5977446,0.24211639,0.24211639,0.24211639,0.24211639,0.5926203
44,0.68533975,0.68533975,0.5977446,0.24211639,0.24211639,0.24211639,0.24211639,0.31498703
45,0.68533975,0.68533975,0.5977446,0.24211639,0.24211639,0.24211639,0.24211639,0.41992307
46,0.68533975,0.68533975,0.5977446,0.24211639,0.24211639,0.24211639,0.24211639,0.5016584
47,0.68533975,0.68533975,0.5977446,0.24211639,0.24211639,0.24211639,0.24211639,0.24211639
48,0.5926203,0.5926203,0.5977446,0.24211639,0.24211639,0.24211639,0.24211639,0.68533975
49,0.5926203,0.5926203,0.5977446,0.24211639,0.24211639,0.24211639,0.24211639,0.4386638
50,0.5926203,0.5926203,0.5977446,0.24211639,0.24211639,0.24211639,0.24211639,0.37432775
51,0.5926203,0.5926203,0.5977446,0.24211639,0.24211639,0.24211639,0.24211639,0.5926203
52,0.5926203,0.5926203,0.5977446,0.24211639,0.24211639,0.24211639,0.24211639,0.31498703
53,0.5926203,0.5926203,0.5977446,0.24211639,0.24211639,0.24211639,0.24211639,0.41992307
54,0.5926203,0.5926203,0.5977446,0.24211639,0.24211639,0.24211639,0.24211639,0.5016584
55,0.5926203,0.5926203,0.5977446,0.24211639,0.24211639,0.24211639,0.24211639,0.24211639
56,0.37432775,0.37432775,0.5977446,0.24211639,0.24211639,0.24211639,0.24211639,0.68533975
57,0.37432775,0.37432775,0.5977446,0.24211639,0.24211639,0.24211639,0.24211639,0.4386638
58,0.37432775,0.37432775,0.5977446,0.24211639,0.24211639,0.24211639,0.24211639,0.37432775
59,0.37432775,0.37432775,0.5977446,0.24211639,0.24211639,0.24211639,0.24211639,0.5926203
60,0.37432775,0.37432775,0.5977446,0.24211639,0.24211639,0.24211639,0.24211639,0.31498703
61,0.37432775,0.37432775,0.5977446,0.24211639,0.24211639,0.24211639,0.24211639,0.41992307
62,0.37432775,0.37432775,0.5977446,0.24211639,0.24211639,0.24211639,0.24211639,0.5016584
63,0.37432775,0.37432775,0.5977446,0.24211639,0.24211639,0.24211639,0.24211639,0.24211639
64,0.5304877,0.5304877,0.5977446,0.24211639,0.24211639,0.24211639,0.24211639,0.68533975
65,0.5304877,0.5304877,0.5977446,0.24211639,0.24211639,0.24211639,0.24211639,0.4386638
66,0.5304877,0.5304877,0.5977446,0.24211639,0.24211639,0.24211639,0.24211639,0.37432775
67,0.5304877,0.5304877,0.5977446,0.24211639,0.24211639,0.24211639,0.24211639,0.5926203
68,0.5304877,0.5304877,0.5977446,0.24211639,0.24211639,0.24211639,0.24211639,0.31498703
69,0.5304877,0.5304877,0.5977446,0.24211639,0.24211639,0.24211639,0.24211639,0.41992307
70,0.5304877,0.5304877,0.5977446,0.24211639,0.24211639,0.24211639,0.24211639,0.5016584
71,0.5304877,0.5304877,0.5977446,0.24211639,0.24211639,0.24211639,0.24211639,0.24211639
72,0.54667395,0.54667395,0.5977446,0.24211639,0.24211639,0.24211639,0.24211639,0.68533975
73,0.54667395,0.54667395,0.5977446,0.24211639,0.24211639,0.24211639,0.24211639,0.4386638
74,0.54667395,0.54667395,0.5977446,0.24211639,0.24211639,0.24211639,0.24211639,0.37432775
75,0.54667395,0.54667395,0.5977446,0.24211639,0.24211639,0.24211639,0.24211639,0.5926203
76,0.54667395,0.54667395,0.5977446,0.24211639,0.24211639,0.24211639,0.24211639,0.31498703
