Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7,Octahedral Factor
76.0,76.0,73,133.0,133.0,133.0,133.0,0.5488721804511278
76.0,76.0,73,133.0,133.0,133.0,133.0,0.5488721804511278
76.0,76.0,73,133.0,133.0,133.0,133.0,0.5488721804511278
76.0,76.0,73,133.0,133.0,133.0,133.0,0.5488721804511278
76.0,76.0,73,133.0,133.0,133.0,133.0,0.5488721804511278
76.0,76.0,73,133.0,133.0,133.0,133.0,0.5488721804511278
76.0,76.0,73,133.0,133.0,133.0,133.0,0.5488721804511278
76.0,76.0,73,133.0,133.0,133.0,133.0,0.5488721804511278
102.0,102.0,73,133.0,133.0,133.0,133.0,0.5488721804511278
102.0,102.0,73,133.0,133.0,133.0,133.0,0.5488721804511278
102.0,102.0,73,133.0,133.0,133.0,133.0,0.5488721804511278
102.0,102.0,73,133.0,133.0,133.0,133.0,0.5488721804511278
102.0,102.0,73,133.0,133.0,133.0,133.0,0.5488721804511278
102.0,102.0,73,133.0,133.0,133.0,133.0,0.5488721804511278
102.0,102.0,73,133.0,133.0,133.0,133.0,0.5488721804511278
102.0,102.0,73,133.0,133.0,133.0,133.0,0.5488721804511278
138.0,138.0,73,133.0,133.0,133.0,133.0,0.5488721804511278
138.0,138.0,73,133.0,133.0,133.0,133.0,0.5488721804511278
138.0,138.0,73,133.0,133.0,133.0,133.0,0.5488721804511278
138.0,138.0,73,133.0,133.0,133.0,133.0,0.5488721804511278
138.0,138.0,73,133.0,133.0,133.0,133.0,0.5488721804511278
138.0,138.0,73,133.0,133.0,133.0,133.0,0.5488721804511278
138.0,138.0,73,133.0,133.0,133.0,133.0,0.5488721804511278
138.0,138.0,73,133.0,133.0,133.0,133.0,0.5488721804511278
152.0,152.0,73,133.0,133.0,133.0,133.0,0.5488721804511278
152.0,152.0,73,133.0,133.0,133.0,133.0,0.5488721804511278
152.0,152.0,73,133.0,133.0,133.0,133.0,0.5488721804511278
152.0,152.0,73,133.0,133.0,133.0,133.0,0.5488721804511278
152.0,152.0,73,133.0,133.0,133.0,133.0,0.5488721804511278
152.0,152.0,73,133.0,133.0,133.0,133.0,0.5488721804511278
152.0,152.0,73,133.0,133.0,133.0,133.0,0.5488721804511278
152.0,152.0,73,133.0,133.0,133.0,133.0,0.5488721804511278
167.0,167.0,73,133.0,133.0,133.0,133.0,0.5488721804511278
167.0,167.0,73,133.0,133.0,133.0,133.0,0.5488721804511278
167.0,167.0,73,133.0,133.0,133.0,133.0,0.5488721804511278
167.0,167.0,73,133.0,133.0,133.0,133.0,0.5488721804511278
167.0,167.0,73,133.0,133.0,133.0,133.0,0.5488721804511278
167.0,167.0,73,133.0,133.0,133.0,133.0,0.5488721804511278
167.0,167.0,73,133.0,133.0,133.0,133.0,0.5488721804511278
167.0,167.0,73,133.0,133.0,133.0,133.0,0.5488721804511278
76.0,76.0,112,133.0,133.0,133.0,133.0,0.8421052631578947
76.0,76.0,112,133.0,133.0,133.0,133.0,0.8421052631578947
76.0,76.0,112,133.0,133.0,133.0,133.0,0.8421052631578947
76.0,76.0,112,133.0,133.0,133.0,133.0,0.8421052631578947
76.0,76.0,112,133.0,133.0,133.0,133.0,0.8421052631578947
76.0,76.0,112,133.0,133.0,133.0,133.0,0.8421052631578947
76.0,76.0,112,133.0,133.0,133.0,133.0,0.8421052631578947
76.0,76.0,112,133.0,133.0,133.0,133.0,0.8421052631578947
102.0,102.0,112,133.0,133.0,133.0,133.0,0.8421052631578947
102.0,102.0,112,133.0,133.0,133.0,133.0,0.8421052631578947
102.0,102.0,112,133.0,133.0,133.0,133.0,0.8421052631578947
102.0,102.0,112,133.0,133.0,133.0,133.0,0.8421052631578947
102.0,102.0,112,133.0,133.0,133.0,133.0,0.8421052631578947
102.0,102.0,112,133.0,133.0,133.0,133.0,0.8421052631578947
102.0,102.0,112,133.0,133.0,133.0,133.0,0.8421052631578947
102.0,102.0,112,133.0,133.0,133.0,133.0,0.8421052631578947
138.0,138.0,112,133.0,133.0,133.0,133.0,0.8421052631578947
138.0,138.0,112,133.0,133.0,133.0,133.0,0.8421052631578947
138.0,138.0,112,133.0,133.0,133.0,133.0,0.8421052631578947
138.0,138.0,112,133.0,133.0,133.0,133.0,0.8421052631578947
138.0,138.0,112,133.0,133.0,133.0,133.0,0.8421052631578947
138.0,138.0,112,133.0,133.0,133.0,133.0,0.8421052631578947
138.0,138.0,112,133.0,133.0,133.0,133.0,0.8421052631578947
138.0,138.0,112,133.0,133.0,133.0,133.0,0.8421052631578947
152.0,152.0,112,133.0,133.0,133.0,133.0,0.8421052631578947
152.0,152.0,112,133.0,133.0,133.0,133.0,0.8421052631578947
152.0,152.0,112,133.0,133.0,133.0,133.0,0.8421052631578947
152.0,152.0,112,133.0,133.0,133.0,133.0,0.8421052631578947
152.0,152.0,112,133.0,133.0,133.0,133.0,0.8421052631578947
152.0,152.0,112,133.0,133.0,133.0,133.0,0.8421052631578947
152.0,152.0,112,133.0,133.0,133.0,133.0,0.8421052631578947
152.0,152.0,112,133.0,133.0,133.0,133.0,0.8421052631578947
167.0,167.0,112,133.0,133.0,133.0,133.0,0.8421052631578947
