,photo_Element_1,photo_Element_2,photo_Element_3,photo_Element_4,photo_Element_5,photo_Element_6,photo_Element_7,photo_ion
0,0.21369803,0.21369803,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989,0.21369803
1,0.21369803,0.21369803,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989,0.285988
2,0.21369803,0.21369803,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989,0.24078286
3,0.21369803,0.21369803,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989,0.24808288
4,0.21369803,0.21369803,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989,0.3135546
5,0.21369803,0.21369803,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989,0.17932105
6,0.21369803,0.21369803,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989,0.16434124
7,0.21369803,0.21369803,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989,0.2255989
8,0.24808288,0.24808288,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989,0.21369803
9,0.24808288,0.24808288,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989,0.285988
10,0.24808288,0.24808288,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989,0.24078286
11,0.24808288,0.24808288,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989,0.24808288
12,0.24808288,0.24808288,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989,0.3135546
13,0.24808288,0.24808288,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989,0.17932105
14,0.24808288,0.24808288,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989,0.16434124
15,0.24808288,0.24808288,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989,0.2255989
16,0.24078286,0.24078286,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989,0.21369803
17,0.24078286,0.24078286,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989,0.285988
18,0.24078286,0.24078286,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989,0.24078286
19,0.24078286,0.24078286,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989,0.24808288
20,0.24078286,0.24078286,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989,0.3135546
21,0.24078286,0.24078286,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989,0.17932105
22,0.24078286,0.24078286,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989,0.16434124
23,0.24078286,0.24078286,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989,0.2255989
24,0.30728492,0.30728492,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989,0.21369803
25,0.30728492,0.30728492,0.2188383,0.2255989,0.2255989,0.2255989,0.2255989,0.285988
