,stable_Element_1,stable_Element_2,stable_Element_3,stable_Element_4,stable_Element_5,stable_Element_6,stable_Element_7,stable_ion
0,0.3668327,0.3668327,0.24944292,0.2955075,0.2955075,0.2955075,0.2955075,0.3668327
1,0.3668327,0.3668327,0.24944292,0.2955075,0.2955075,0.2955075,0.2955075,0.31597647
2,0.3668327,0.3668327,0.24944292,0.2955075,0.2955075,0.2955075,0.2955075,0.287042
3,0.3668327,0.3668327,0.24944292,0.2955075,0.2955075,0.2955075,0.2955075,0.38132802
4,0.3668327,0.3668327,0.24944292,0.2955075,0.2955075,0.2955075,0.2955075,0.2410393
5,0.3668327,0.3668327,0.24944292,0.2955075,0.2955075,0.2955075,0.2955075,0.33606577
6,0.3668327,0.3668327,0.24944292,0.2955075,0.2955075,0.2955075,0.2955075,0.41539073
7,0.3668327,0.3668327,0.24944292,0.2955075,0.2955075,0.2955075,0.2955075,0.2955075
8,0.38132802,0.38132802,0.24944292,0.2955075,0.2955075,0.2955075,0.2955075,0.3668327
9,0.38132802,0.38132802,0.24944292,0.2955075,0.2955075,0.2955075,0.2955075,0.31597647
10,0.38132802,0.38132802,0.24944292,0.2955075,0.2955075,0.2955075,0.2955075,0.287042
11,0.38132802,0.38132802,0.24944292,0.2955075,0.2955075,0.2955075,0.2955075,0.38132802
12,0.38132802,0.38132802,0.24944292,0.2955075,0.2955075,0.2955075,0.2955075,0.2410393
13,0.38132802,0.38132802,0.24944292,0.2955075,0.2955075,0.2955075,0.2955075,0.33606577
14,0.38132802,0.38132802,0.24944292,0.2955075,0.2955075,0.2955075,0.2955075,0.41539073
15,0.38132802,0.38132802,0.24944292,0.2955075,0.2955075,0.2955075,0.2955075,0.2955075
16,0.287042,0.287042,0.24944292,0.2955075,0.2955075,0.2955075,0.2955075,0.3668327
17,0.287042,0.287042,0.24944292,0.2955075,0.2955075,0.2955075,0.2955075,0.31597647
18,0.287042,0.287042,0.24944292,0.2955075,0.2955075,0.2955075,0.2955075,0.287042
19,0.287042,0.287042,0.24944292,0.2955075,0.2955075,0.2955075,0.2955075,0.38132802
20,0.287042,0.287042,0.24944292,0.2955075,0.2955075,0.2955075,0.2955075,0.2410393
21,0.287042,0.287042,0.24944292,0.2955075,0.2955075,0.2955075,0.2955075,0.33606577
22,0.287042,0.287042,0.24944292,0.2955075,0.2955075,0.2955075,0.2955075,0.41539073
23,0.287042,0.287042,0.24944292,0.2955075,0.2955075,0.2955075,0.2955075,0.2955075
24,0.38388637,0.38388637,0.24944292,0.2955075,0.2955075,0.2955075,0.2955075,0.3668327
25,0.38388637,0.38388637,0.24944292,0.2955075,0.2955075,0.2955075,0.2955075,0.31597647
26,0.38388637,0.38388637,0.24944292,0.2955075,0.2955075,0.2955075,0.2955075,0.287042
27,0.38388637,0.38388637,0.24944292,0.2955075,0.2955075,0.2955075,0.2955075,0.38132802
28,0.38388637,0.38388637,0.24944292,0.2955075,0.2955075,0.2955075,0.2955075,0.2410393
29,0.38388637,0.38388637,0.24944292,0.2955075,0.2955075,0.2955075,0.2955075,0.33606577
30,0.38388637,0.38388637,0.24944292,0.2955075,0.2955075,0.2955075,0.2955075,0.41539073
31,0.38388637,0.38388637,0.24944292,0.2955075,0.2955075,0.2955075,0.2955075,0.2955075
32,0.4965323,0.4965323,0.24944292,0.2955075,0.2955075,0.2955075,0.2955075,0.3668327
33,0.4965323,0.4965323,0.24944292,0.2955075,0.2955075,0.2955075,0.2955075,0.31597647
34,0.4965323,0.4965323,0.24944292,0.2955075,0.2955075,0.2955075,0.2955075,0.287042
35,0.4965323,0.4965323,0.24944292,0.2955075,0.2955075,0.2955075,0.2955075,0.38132802
36,0.4965323,0.4965323,0.24944292,0.2955075,0.2955075,0.2955075,0.2955075,0.2410393
37,0.4965323,0.4965323,0.24944292,0.2955075,0.2955075,0.2955075,0.2955075,0.33606577
38,0.4965323,0.4965323,0.24944292,0.2955075,0.2955075,0.2955075,0.2955075,0.41539073
39,0.4965323,0.4965323,0.24944292,0.2955075,0.2955075,0.2955075,0.2955075,0.2955075
40,0.3668327,0.3668327,0.33698854,0.2955075,0.2955075,0.2955075,0.2955075,0.3668327
41,0.3668327,0.3668327,0.33698854,0.2955075,0.2955075,0.2955075,0.2955075,0.31597647
42,0.3668327,0.3668327,0.33698854,0.2955075,0.2955075,0.2955075,0.2955075,0.287042
43,0.3668327,0.3668327,0.33698854,0.2955075,0.2955075,0.2955075,0.2955075,0.38132802
44,0.3668327,0.3668327,0.33698854,0.2955075,0.2955075,0.2955075,0.2955075,0.2410393
45,0.3668327,0.3668327,0.33698854,0.2955075,0.2955075,0.2955075,0.2955075,0.33606577
46,0.3668327,0.3668327,0.33698854,0.2955075,0.2955075,0.2955075,0.2955075,0.41539073
47,0.3668327,0.3668327,0.33698854,0.2955075,0.2955075,0.2955075,0.2955075,0.2955075
48,0.38132802,0.38132802,0.33698854,0.2955075,0.2955075,0.2955075,0.2955075,0.3668327
49,0.38132802,0.38132802,0.33698854,0.2955075,0.2955075,0.2955075,0.2955075,0.31597647
50,0.38132802,0.38132802,0.33698854,0.2955075,0.2955075,0.2955075,0.2955075,0.287042
51,0.38132802,0.38132802,0.33698854,0.2955075,0.2955075,0.2955075,0.2955075,0.38132802
52,0.38132802,0.38132802,0.33698854,0.2955075,0.2955075,0.2955075,0.2955075,0.2410393
53,0.38132802,0.38132802,0.33698854,0.2955075,0.2955075,0.2955075,0.2955075,0.33606577
54,0.38132802,0.38132802,0.33698854,0.2955075,0.2955075,0.2955075,0.2955075,0.41539073
55,0.38132802,0.38132802,0.33698854,0.2955075,0.2955075,0.2955075,0.2955075,0.2955075
56,0.287042,0.287042,0.33698854,0.2955075,0.2955075,0.2955075,0.2955075,0.3668327
57,0.287042,0.287042,0.33698854,0.2955075,0.2955075,0.2955075,0.2955075,0.31597647
58,0.287042,0.287042,0.33698854,0.2955075,0.2955075,0.2955075,0.2955075,0.287042
59,0.287042,0.287042,0.33698854,0.2955075,0.2955075,0.2955075,0.2955075,0.38132802
60,0.287042,0.287042,0.33698854,0.2955075,0.2955075,0.2955075,0.2955075,0.2410393
61,0.287042,0.287042,0.33698854,0.2955075,0.2955075,0.2955075,0.2955075,0.33606577
62,0.287042,0.287042,0.33698854,0.2955075,0.2955075,0.2955075,0.2955075,0.41539073
63,0.287042,0.287042,0.33698854,0.2955075,0.2955075,0.2955075,0.2955075,0.2955075
64,0.38388637,0.38388637,0.33698854,0.2955075,0.2955075,0.2955075,0.2955075,0.3668327
65,0.38388637,0.38388637,0.33698854,0.2955075,0.2955075,0.2955075,0.2955075,0.31597647
66,0.38388637,0.38388637,0.33698854,0.2955075,0.2955075,0.2955075,0.2955075,0.287042
67,0.38388637,0.38388637,0.33698854,0.2955075,0.2955075,0.2955075,0.2955075,0.38132802
68,0.38388637,0.38388637,0.33698854,0.2955075,0.2955075,0.2955075,0.2955075,0.2410393
69,0.38388637,0.38388637,0.33698854,0.2955075,0.2955075,0.2955075,0.2955075,0.33606577
70,0.38388637,0.38388637,0.33698854,0.2955075,0.2955075,0.2955075,0.2955075,0.41539073
71,0.38388637,0.38388637,0.33698854,0.2955075,0.2955075,0.2955075,0.2955075,0.2955075
72,0.4965323,0.4965323,0.33698854,0.2955075,0.2955075,0.2955075,0.2955075,0.3668327
73,0.4965323,0.4965323,0.33698854,0.2955075,0.2955075,0.2955075,0.2955075,0.31597647
74,0.4965323,0.4965323,0.33698854,0.2955075,0.2955075,0.2955075,0.2955075,0.287042
75,0.4965323,0.4965323,0.33698854,0.2955075,0.2955075,0.2955075,0.2955075,0.38132802
76,0.4965323,0.4965323,0.33698854,0.2955075,0.2955075,0.2955075,0.2955075,0.2410393
77,0.4965323,0.4965323,0.33698854,0.2955075,0.2955075,0.2955075,0.2955075,0.33606577
78,0.4965323,0.4965323,0.33698854,0.2955075,0.2955075,0.2955075,0.2955075,0.41539073
79,0.4965323,0.4965323,0.33698854,0.2955075,0.2955075,0.2955075,0.2955075,0.2955075
80,0.3668327,0.3668327,0.23683436,0.2955075,0.2955075,0.2955075,0.2955075,0.3668327
81,0.3668327,0.3668327,0.23683436,0.2955075,0.2955075,0.2955075,0.2955075,0.31597647
82,0.3668327,0.3668327,0.23683436,0.2955075,0.2955075,0.2955075,0.2955075,0.287042
83,0.3668327,0.3668327,0.23683436,0.2955075,0.2955075,0.2955075,0.2955075,0.38132802
84,0.3668327,0.3668327,0.23683436,0.2955075,0.2955075,0.2955075,0.2955075,0.2410393
85,0.3668327,0.3668327,0.23683436,0.2955075,0.2955075,0.2955075,0.2955075,0.33606577
86,0.3668327,0.3668327,0.23683436,0.2955075,0.2955075,0.2955075,0.2955075,0.41539073
87,0.3668327,0.3668327,0.23683436,0.2955075,0.2955075,0.2955075,0.2955075,0.2955075
88,0.38132802,0.38132802,0.23683436,0.2955075,0.2955075,0.2955075,0.2955075,0.3668327
89,0.38132802,0.38132802,0.23683436,0.2955075,0.2955075,0.2955075,0.2955075,0.31597647
90,0.38132802,0.38132802,0.23683436,0.2955075,0.2955075,0.2955075,0.2955075,0.287042
91,0.38132802,0.38132802,0.23683436,0.2955075,0.2955075,0.2955075,0.2955075,0.38132802
92,0.38132802,0.38132802,0.23683436,0.2955075,0.2955075,0.2955075,0.2955075,0.2410393
93,0.38132802,0.38132802,0.23683436,0.2955075,0.2955075,0.2955075,0.2955075,0.33606577
94,0.38132802,0.38132802,0.23683436,0.2955075,0.2955075,0.2955075,0.2955075,0.41539073
95,0.38132802,0.38132802,0.23683436,0.2955075,0.2955075,0.2955075,0.2955075,0.2955075
96,0.287042,0.287042,0.23683436,0.2955075,0.2955075,0.2955075,0.2955075,0.3668327
97,0.287042,0.287042,0.23683436,0.2955075,0.2955075,0.2955075,0.2955075,0.31597647
98,0.287042,0.287042,0.23683436,0.2955075,0.2955075,0.2955075,0.2955075,0.287042
99,0.287042,0.287042,0.23683436,0.2955075,0.2955075,0.2955075,0.2955075,0.38132802
100,0.287042,0.287042,0.23683436,0.2955075,0.2955075,0.2955075,0.2955075,0.2410393
101,0.287042,0.287042,0.23683436,0.2955075,0.2955075,0.2955075,0.2955075,0.33606577
102,0.287042,0.287042,0.23683436,0.2955075,0.2955075,0.2955075,0.2955075,0.41539073
103,0.287042,0.287042,0.23683436,0.2955075,0.2955075,0.2955075,0.2955075,0.2955075
104,0.38388637,0.38388637,0.23683436,0.2955075,0.2955075,0.2955075,0.2955075,0.3668327
105,0.38388637,0.38388637,0.23683436,0.2955075,0.2955075,0.2955075,0.2955075,0.31597647
106,0.38388637,0.38388637,0.23683436,0.2955075,0.2955075,0.2955075,0.2955075,0.287042
107,0.38388637,0.38388637,0.23683436,0.2955075,0.2955075,0.2955075,0.2955075,0.38132802
108,0.38388637,0.38388637,0.23683436,0.2955075,0.2955075,0.2955075,0.2955075,0.2410393
109,0.38388637,0.38388637,0.23683436,0.2955075,0.2955075,0.2955075,0.2955075,0.33606577
110,0.38388637,0.38388637,0.23683436,0.2955075,0.2955075,0.2955075,0.2955075,0.41539073
111,0.38388637,0.38388637,0.23683436,0.2955075,0.2955075,0.2955075,0.2955075,0.2955075
112,0.4965323,0.4965323,0.23683436,0.2955075,0.2955075,0.2955075,0.2955075,0.3668327
113,0.4965323,0.4965323,0.23683436,0.2955075,0.2955075,0.2955075,0.2955075,0.31597647
114,0.4965323,0.4965323,0.23683436,0.2955075,0.2955075,0.2955075,0.2955075,0.287042
115,0.4965323,0.4965323,0.23683436,0.2955075,0.2955075,0.2955075,0.2955075,0.38132802
116,0.4965323,0.4965323,0.23683436,0.2955075,0.2955075,0.2955075,0.2955075,0.2410393
117,0.4965323,0.4965323,0.23683436,0.2955075,0.2955075,0.2955075,0.2955075,0.33606577
118,0.4965323,0.4965323,0.23683436,0.2955075,0.2955075,0.2955075,0.2955075,0.41539073
119,0.4965323,0.4965323,0.23683436,0.2955075,0.2955075,0.2955075,0.2955075,0.2955075
120,0.3668327,0.3668327,0.24944292,0.35160717,0.35160717,0.35160717,0.35160717,0.3668327
121,0.3668327,0.3668327,0.24944292,0.35160717,0.35160717,0.35160717,0.35160717,0.31597647
122,0.3668327,0.3668327,0.24944292,0.35160717,0.35160717,0.35160717,0.35160717,0.287042
123,0.3668327,0.3668327,0.24944292,0.35160717,0.35160717,0.35160717,0.35160717,0.38132802
124,0.3668327,0.3668327,0.24944292,0.35160717,0.35160717,0.35160717,0.35160717,0.2410393
125,0.3668327,0.3668327,0.24944292,0.35160717,0.35160717,0.35160717,0.35160717,0.33606577
126,0.3668327,0.3668327,0.24944292,0.35160717,0.35160717,0.35160717,0.35160717,0.41539073
127,0.3668327,0.3668327,0.24944292,0.35160717,0.35160717,0.35160717,0.35160717,0.2955075
128,0.38132802,0.38132802,0.24944292,0.35160717,0.35160717,0.35160717,0.35160717,0.3668327
129,0.38132802,0.38132802,0.24944292,0.35160717,0.35160717,0.35160717,0.35160717,0.31597647
130,0.38132802,0.38132802,0.24944292,0.35160717,0.35160717,0.35160717,0.35160717,0.287042
131,0.38132802,0.38132802,0.24944292,0.35160717,0.35160717,0.35160717,0.35160717,0.38132802
132,0.38132802,0.38132802,0.24944292,0.35160717,0.35160717,0.35160717,0.35160717,0.2410393
133,0.38132802,0.38132802,0.24944292,0.35160717,0.35160717,0.35160717,0.35160717,0.33606577
134,0.38132802,0.38132802,0.24944292,0.35160717,0.35160717,0.35160717,0.35160717,0.41539073
135,0.38132802,0.38132802,0.24944292,0.35160717,0.35160717,0.35160717,0.35160717,0.2955075
136,0.287042,0.287042,0.24944292,0.35160717,0.35160717,0.35160717,0.35160717,0.3668327
137,0.287042,0.287042,0.24944292,0.35160717,0.35160717,0.35160717,0.35160717,0.31597647
138,0.287042,0.287042,0.24944292,0.35160717,0.35160717,0.35160717,0.35160717,0.287042
139,0.287042,0.287042,0.24944292,0.35160717,0.35160717,0.35160717,0.35160717,0.38132802
140,0.287042,0.287042,0.24944292,0.35160717,0.35160717,0.35160717,0.35160717,0.2410393
