Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7,ion
Li,Li,Ge,F,F,F,F,Li
Li,Li,Ge,F,F,F,F,Zn
Li,Li,Ge,F,F,F,F,K
Li,Li,Ge,F,F,F,F,Na
Li,Li,Ge,F,F,F,F,Al
Li,Li,Ge,F,F,F,F,Ca
Li,Li,Ge,F,F,F,F,Mg
Li,Li,Ge,F,F,F,F,F
Na,Na,Ge,F,F,F,F,Li
Na,Na,Ge,F,F,F,F,Zn
Na,Na,Ge,F,F,F,F,K
Na,Na,Ge,F,F,F,F,Na
Na,Na,Ge,F,F,F,F,Al
Na,Na,Ge,F,F,F,F,Ca
Na,Na,Ge,F,F,F,F,Mg
Na,Na,Ge,F,F,F,F,F
K,K,Ge,F,F,F,F,Li
K,K,Ge,F,F,F,F,Zn
K,K,Ge,F,F,F,F,K
K,K,Ge,F,F,F,F,Na
K,K,Ge,F,F,F,F,Al
K,K,Ge,F,F,F,F,Ca
K,K,Ge,F,F,F,F,Mg
K,K,Ge,F,F,F,F,F
Rb,Rb,Ge,F,F,F,F,Li
Rb,Rb,Ge,F,F,F,F,Zn
Rb,Rb,Ge,F,F,F,F,K
Rb,Rb,Ge,F,F,F,F,Na
Rb,Rb,Ge,F,F,F,F,Al
Rb,Rb,Ge,F,F,F,F,Ca
Rb,Rb,Ge,F,F,F,F,Mg
Rb,Rb,Ge,F,F,F,F,F
Cs,Cs,Ge,F,F,F,F,Li
Cs,Cs,Ge,F,F,F,F,Zn
Cs,Cs,Ge,F,F,F,F,K
Cs,Cs,Ge,F,F,F,F,Na
Cs,Cs,Ge,F,F,F,F,Al
Cs,Cs,Ge,F,F,F,F,Ca
Cs,Cs,Ge,F,F,F,F,Mg
Cs,Cs,Ge,F,F,F,F,F
Li,Li,Sn,F,F,F,F,Li
Li,Li,Sn,F,F,F,F,Zn
Li,Li,Sn,F,F,F,F,K
Li,Li,Sn,F,F,F,F,Na
Li,Li,Sn,F,F,F,F,Al
Li,Li,Sn,F,F,F,F,Ca
Li,Li,Sn,F,F,F,F,Mg
Li,Li,Sn,F,F,F,F,F
Na,Na,Sn,F,F,F,F,Li
Na,Na,Sn,F,F,F,F,Zn
Na,Na,Sn,F,F,F,F,K
Na,Na,Sn,F,F,F,F,Na
Na,Na,Sn,F,F,F,F,Al
Na,Na,Sn,F,F,F,F,Ca
Na,Na,Sn,F,F,F,F,Mg
Na,Na,Sn,F,F,F,F,F
K,K,Sn,F,F,F,F,Li
K,K,Sn,F,F,F,F,Zn
K,K,Sn,F,F,F,F,K
K,K,Sn,F,F,F,F,Na
K,K,Sn,F,F,F,F,Al
K,K,Sn,F,F,F,F,Ca
K,K,Sn,F,F,F,F,Mg
K,K,Sn,F,F,F,F,F
Rb,Rb,Sn,F,F,F,F,Li
Rb,Rb,Sn,F,F,F,F,Zn
Rb,Rb,Sn,F,F,F,F,K
Rb,Rb,Sn,F,F,F,F,Na
Rb,Rb,Sn,F,F,F,F,Al
Rb,Rb,Sn,F,F,F,F,Ca
Rb,Rb,Sn,F,F,F,F,Mg
Rb,Rb,Sn,F,F,F,F,F
Cs,Cs,Sn,F,F,F,F,Li
Cs,Cs,Sn,F,F,F,F,Zn
Cs,Cs,Sn,F,F,F,F,K
Cs,Cs,Sn,F,F,F,F,Na
Cs,Cs,Sn,F,F,F,F,Al
Cs,Cs,Sn,F,F,F,F,Ca
Cs,Cs,Sn,F,F,F,F,Mg
Cs,Cs,Sn,F,F,F,F,F
Li,Li,Pb,F,F,F,F,Li
Li,Li,Pb,F,F,F,F,Zn
Li,Li,Pb,F,F,F,F,K
Li,Li,Pb,F,F,F,F,Na
Li,Li,Pb,F,F,F,F,Al
Li,Li,Pb,F,F,F,F,Ca
Li,Li,Pb,F,F,F,F,Mg
Li,Li,Pb,F,F,F,F,F
Na,Na,Pb,F,F,F,F,Li
Na,Na,Pb,F,F,F,F,Zn
Na,Na,Pb,F,F,F,F,K
Na,Na,Pb,F,F,F,F,Na
Na,Na,Pb,F,F,F,F,Al
Na,Na,Pb,F,F,F,F,Ca
Na,Na,Pb,F,F,F,F,Mg
Na,Na,Pb,F,F,F,F,F
K,K,Pb,F,F,F,F,Li
K,K,Pb,F,F,F,F,Zn
K,K,Pb,F,F,F,F,K
K,K,Pb,F,F,F,F,Na
K,K,Pb,F,F,F,F,Al
K,K,Pb,F,F,F,F,Ca
K,K,Pb,F,F,F,F,Mg
K,K,Pb,F,F,F,F,F
Rb,Rb,Pb,F,F,F,F,Li
