,Ion
0,Li+
1,Zn2+
2,K+
3,Na+
4,Al3+
5,Ca2+
6,Mg2+
7,F-
8,Li+
9,Zn2+
10,K+
11,Na+
12,Al3+
13,Ca2+
14,Mg2+
15,F-
16,Li+
17,Zn2+
18,K+
19,Na+
20,Al3+
21,Ca2+
22,Mg2+
23,F-
24,Li+
25,Zn2+
26,K+
27,Na+
28,Al3+
29,Ca2+
30,Mg2+
31,F-
32,Li+
33,Zn2+
34,K+
35,Na+
36,Al3+
37,Ca2+
38,Mg2+
39,F-
40,Li+
41,Zn2+
42,K+
43,Na+
44,Al3+
45,Ca2+
46,Mg2+
47,F-
48,Li+
49,Zn2+
50,K+
51,Na+
52,Al3+
53,Ca2+
54,Mg2+
55,F-
56,Li+
57,Zn2+
58,K+
59,Na+
60,Al3+
61,Ca2+
62,Mg2+
63,F-
64,Li+
65,Zn2+
66,K+
67,Na+
68,Al3+
69,Ca2+
70,Mg2+
71,F-
72,Li+
73,Zn2+
74,K+
75,Na+
76,Al3+
77,Ca2+
78,Mg2+
79,F-
80,Li+
81,Zn2+
82,K+
83,Na+
84,Al3+
85,Ca2+
86,Mg2+
87,F-
88,Li+
89,Zn2+
90,K+
91,Na+
92,Al3+
93,Ca2+
94,Mg2+
95,F-
96,Li+
97,Zn2+
98,K+
99,Na+
100,Al3+
101,Ca2+
102,Mg2+
103,F-
104,Li+
105,Zn2+
106,K+
107,Na+
108,Al3+
109,Ca2+
110,Mg2+
111,F-
112,Li+
113,Zn2+
114,K+
115,Na+
116,Al3+
117,Ca2+
118,Mg2+
119,F-
120,Li+
121,Zn2+
122,K+
123,Na+
124,Al3+
125,Ca2+
126,Mg2+
127,F-
128,Li+
129,Zn2+
130,K+
131,Na+
132,Al3+
133,Ca2+
134,Mg2+
135,F-
136,Li+
137,Zn2+
138,K+
139,Na+
140,Al3+
141,Ca2+
142,Mg2+
143,F-
144,Li+
145,Zn2+
146,K+
147,Na+
148,Al3+
149,Ca2+
150,Mg2+
151,F-
152,Li+
153,Zn2+
154,K+
155,Na+
156,Al3+
157,Ca2+
158,Mg2+
159,F-
160,Li+
161,Zn2+
162,K+
163,Na+
164,Al3+
165,Ca2+
166,Mg2+
167,F-
168,Li+
169,Zn2+
170,K+
171,Na+
172,Al3+
173,Ca2+
174,Mg2+
175,F-
176,Li+
177,Zn2+
178,K+
179,Na+
180,Al3+
181,Ca2+
182,Mg2+
183,F-
184,Li+
185,Zn2+
186,K+
187,Na+
188,Al3+
189,Ca2+
190,Mg2+
191,F-
192,Li+
193,Zn2+
194,K+
195,Na+
196,Al3+
197,Ca2+
198,Mg2+
199,F-
200,Li+
201,Zn2+
202,K+
203,Na+
204,Al3+
205,Ca2+
206,Mg2+
207,F-
208,Li+
209,Zn2+
210,K+
211,Na+
212,Al3+
213,Ca2+
214,Mg2+
215,F-
216,Li+
217,Zn2+
218,K+
219,Na+
220,Al3+
221,Ca2+
222,Mg2+
223,F-
224,Li+
225,Zn2+
226,K+
227,Na+
228,Al3+
229,Ca2+
230,Mg2+
231,F-
232,Li+
233,Zn2+
234,K+
235,Na+
236,Al3+
237,Ca2+
238,Mg2+
239,F-
240,Li+
241,Zn2+
242,K+
243,Na+
244,Al3+
245,Ca2+
246,Mg2+
247,F-
248,Li+
249,Zn2+
250,K+
251,Na+
252,Al3+
253,Ca2+
254,Mg2+
255,F-
256,Li+
257,Zn2+
258,K+
259,Na+
260,Al3+
261,Ca2+
262,Mg2+
263,F-
264,Li+
265,Zn2+
266,K+
267,Na+
268,Al3+
269,Ca2+
270,Mg2+
271,F-
272,Li+
273,Zn2+
274,K+
275,Na+
276,Al3+
277,Ca2+
278,Mg2+
279,F-
280,Li+
281,Zn2+
282,K+
283,Na+
284,Al3+
285,Ca2+
286,Mg2+
287,F-
288,Li+
289,Zn2+
290,K+
291,Na+
292,Al3+
293,Ca2+
294,Mg2+
295,F-
296,Li+
297,Zn2+
298,K+
299,Na+
300,Al3+
301,Ca2+
302,Mg2+
303,F-
304,Li+
305,Zn2+
306,K+
307,Na+
308,Al3+
309,Ca2+
310,Mg2+
311,F-
312,Li+
313,Zn2+
314,K+
315,Na+
316,Al3+
317,Ca2+
318,Mg2+
319,F-
320,Li+
321,Zn2+
322,K+
323,Na+
324,Al3+
325,Ca2+
326,Mg2+
327,F-
328,Li+
329,Zn2+
330,K+
331,Na+
332,Al3+
333,Ca2+
334,Mg2+
335,F-
336,Li+
337,Zn2+
338,K+
339,Na+
340,Al3+
341,Ca2+
342,Mg2+
343,F-
344,Li+
345,Zn2+
346,K+
347,Na+
348,Al3+
349,Ca2+
350,Mg2+
351,F-
352,Li+
353,Zn2+
354,K+
355,Na+
356,Al3+
357,Ca2+
358,Mg2+
359,F-
360,Li+
361,Zn2+
362,K+
363,Na+
364,Al3+
365,Ca2+
366,Mg2+
367,F-
368,Li+
369,Zn2+
370,K+
371,Na+
372,Al3+
373,Ca2+
374,Mg2+
375,F-
376,Li+
377,Zn2+
378,K+
379,Na+
380,Al3+
381,Ca2+
382,Mg2+
383,F-
384,Li+
385,Zn2+
386,K+
387,Na+
388,Al3+
389,Ca2+
390,Mg2+
391,F-
392,Li+
393,Zn2+
394,K+
395,Na+
396,Al3+
397,Ca2+
398,Mg2+
399,F-
400,Li+
401,Zn2+
402,K+
403,Na+
404,Al3+
405,Ca2+
406,Mg2+
407,F-
408,Li+
409,Zn2+
410,K+
411,Na+
412,Al3+
413,Ca2+
414,Mg2+
415,F-
416,Li+
417,Zn2+
418,K+
419,Na+
420,Al3+
421,Ca2+
422,Mg2+
423,F-
424,Li+
425,Zn2+
426,K+
427,Na+
428,Al3+
429,Ca2+
430,Mg2+
431,F-
432,Li+
433,Zn2+
434,K+
435,Na+
436,Al3+
437,Ca2+
438,Mg2+
439,F-
440,Li+
441,Zn2+
442,K+
443,Na+
444,Al3+
445,Ca2+
446,Mg2+
447,F-
448,Li+
449,Zn2+
450,K+
451,Na+
452,Al3+
453,Ca2+
454,Mg2+
455,F-
456,Li+
457,Zn2+
458,K+
459,Na+
460,Al3+
461,Ca2+
462,Mg2+
463,F-
464,Li+
465,Zn2+
466,K+
467,Na+
468,Al3+
469,Ca2+
470,Mg2+
471,F-
472,Li+
473,Zn2+
474,K+
475,Na+
476,Al3+
477,Ca2+
478,Mg2+
479,F-
480,Li+
481,Zn2+
482,K+
483,Na+
484,Al3+
485,Ca2+
486,Mg2+
487,F-
488,Li+
489,Zn2+
490,K+
491,Na+
492,Al3+
493,Ca2+
494,Mg2+
495,F-
496,Li+
497,Zn2+
498,K+
499,Na+
500,Al3+
501,Ca2+
502,Mg2+
503,F-
504,Li+
505,Zn2+
506,K+
507,Na+
508,Al3+
509,Ca2+
510,Mg2+
511,F-
512,Li+
513,Zn2+
514,K+
515,Na+
516,Al3+
517,Ca2+
518,Mg2+
519,F-
520,Li+
521,Zn2+
522,K+
523,Na+
524,Al3+
525,Ca2+
526,Mg2+
527,F-
528,Li+
529,Zn2+
530,K+
531,Na+
532,Al3+
533,Ca2+
534,Mg2+
535,F-
536,Li+
537,Zn2+
538,K+
539,Na+
540,Al3+
541,Ca2+
542,Mg2+
543,F-
544,Li+
545,Zn2+
546,K+
547,Na+
548,Al3+
549,Ca2+
550,Mg2+
551,F-
552,Li+
553,Zn2+
554,K+
555,Na+
556,Al3+
557,Ca2+
558,Mg2+
559,F-
560,Li+
561,Zn2+
562,K+
563,Na+
564,Al3+
565,Ca2+
566,Mg2+
567,F-
568,Li+
569,Zn2+
570,K+
571,Na+
572,Al3+
573,Ca2+
574,Mg2+
575,F-
576,Li+
577,Zn2+
578,K+
579,Na+
580,Al3+
581,Ca2+
582,Mg2+
583,F-
584,Li+
585,Zn2+
586,K+
587,Na+
588,Al3+
589,Ca2+
590,Mg2+
591,F-
592,Li+
593,Zn2+
594,K+
595,Na+
596,Al3+
597,Ca2+
598,Mg2+
599,F-
600,Li+
601,Zn2+
602,K+
603,Na+
604,Al3+
605,Ca2+
606,Mg2+
607,F-
608,Li+
609,Zn2+
610,K+
611,Na+
612,Al3+
613,Ca2+
614,Mg2+
615,F-
616,Li+
617,Zn2+
618,K+
619,Na+
620,Al3+
621,Ca2+
622,Mg2+
623,F-
624,Li+
625,Zn2+
626,K+
627,Na+
628,Al3+
629,Ca2+
630,Mg2+
631,F-
632,Li+
633,Zn2+
634,K+
635,Na+
636,Al3+
637,Ca2+
638,Mg2+
639,F-
