,id,atomic_number,oxidation_state,category
0,1,1,-1,main
1,2,1,1,main
2,3,3,0,extended
3,4,3,1,main
4,5,4,0,extended
5,6,4,1,extended
6,7,4,2,main
7,8,5,-5,extended
8,9,5,-1,extended
9,10,5,0,extended
10,11,5,1,extended
11,12,5,2,extended
12,13,5,3,main
13,14,6,-4,main
14,15,6,-3,main
15,16,6,-2,main
16,17,6,-1,main
17,18,6,0,main
18,19,6,1,main
19,20,6,2,main
20,21,6,3,main
21,22,6,4,main
22,23,7,-3,main
23,24,7,-2,extended
24,25,7,-1,extended
25,26,7,0,extended
26,27,7,1,extended
27,28,7,2,extended
28,29,7,3,main
29,30,7,4,extended
30,31,7,5,main
31,32,8,-2,main
32,33,8,-1,extended
33,34,8,0,extended
34,35,8,1,extended
35,36,8,2,extended
36,37,9,-1,main
37,38,9,0,extended
38,39,11,-1,extended
39,40,11,0,extended
40,41,11,1,main
41,42,12,0,extended
42,43,12,1,extended
43,44,12,2,main
44,45,13,-2,extended
45,46,13,-1,extended
46,47,13,0,extended
47,48,13,1,extended
48,49,13,2,extended
49,50,13,3,main
50,51,14,-4,main
51,52,14,-3,extended
52,53,14,-2,extended
53,54,14,-1,extended
54,55,14,0,extended
55,56,14,1,extended
56,57,14,2,extended
57,58,14,3,extended
58,59,14,4,main
59,60,15,-3,main
60,61,15,-2,extended
61,62,15,-1,extended
62,63,15,0,extended
63,64,15,1,extended
64,65,15,2,extended
65,66,15,3,main
66,67,15,4,extended
67,68,15,5,main
68,69,16,-2,main
69,70,16,-1,extended
70,71,16,0,extended
71,72,16,1,extended
72,73,16,2,main
73,74,16,3,extended
74,75,16,4,main
75,76,16,5,extended
76,77,16,6,main
77,78,17,-1,main
78,79,17,1,main
79,80,17,2,extended
80,81,17,3,main
81,82,17,4,extended
82,83,17,5,main
83,84,17,6,extended
84,85,17,7,main
85,86,18,0,main
86,87,19,-1,extended
87,88,19,1,main
88,89,20,1,extended
89,90,20,2,main
90,91,21,0,extended
91,92,21,1,extended
92,93,21,2,extended
93,94,21,3,main
94,95,22,-2,extended
95,96,22,-1,extended
96,97,22,0,extended
97,98,22,1,extended
98,99,22,2,main
99,100,22,3,main
100,101,22,4,main
101,102,23,-3,extended
102,103,23,-1,extended
103,104,23,0,extended
104,105,23,1,extended
105,106,23,2,main
106,107,23,3,main
107,108,23,4,main
108,109,23,5,main
109,110,24,-4,extended
110,111,24,-2,extended
111,112,24,-1,extended
112,113,24,0,extended
113,114,24,1,extended
114,115,24,2,main
115,116,24,3,main
116,117,24,4,extended
117,118,24,5,extended
118,119,24,6,main
119,120,25,-3,extended
120,121,25,-2,extended
121,122,25,-1,extended
122,123,25,0,extended
123,124,25,1,extended
124,125,25,2,main
125,126,25,3,main
126,127,25,4,main
127,128,25,5,extended
128,129,25,6,main
129,130,25,7,main
130,131,26,-4,extended
131,132,26,-2,extended
132,133,26,-1,extended
133,134,26,0,extended
134,135,26,1,extended
135,136,26,2,main
136,137,26,3,main
137,138,26,4,extended
138,139,26,5,extended
139,140,26,6,extended
140,141,26,7,extended
141,142,27,-3,extended
142,143,27,-1,extended
143,144,27,0,extended
144,145,27,1,extended
145,146,27,2,main
146,147,27,3,main
147,148,27,4,extended
148,149,27,5,extended
149,150,28,-2,extended
150,151,28,-1,extended
151,152,28,0,extended
152,153,28,1,extended
153,154,28,2,main
154,155,28,3,extended
155,156,28,4,extended
156,157,29,-2,extended
157,158,29,0,extended
158,159,29,1,main
159,160,29,2,main
160,161,29,3,extended
161,162,29,4,extended
162,163,30,-2,extended
163,164,30,0,extended
164,165,30,1,extended
165,166,30,2,main
166,167,31,-5,extended
167,168,31,-4,extended
168,169,31,-3,extended
169,170,31,-2,extended
170,171,31,-1,extended
171,172,31,0,extended
172,173,31,1,extended
173,174,31,2,extended
174,175,31,3,main
175,176,32,-4,main
176,177,32,-3,extended
