,id,atomic_number,n,s,screening
0,1,1,1,s,0.0
1,2,2,1,s,0.3125
2,3,3,1,s,0.3094000000000001
3,4,3,2,s,1.7208
4,5,4,1,s,0.3151999999999999
5,6,4,2,s,2.088
6,7,5,1,s,0.3205
7,8,5,2,p,2.5786
8,9,5,2,s,2.4238
9,10,6,1,s,0.32730000000000015
10,11,6,2,p,2.8642
11,12,6,2,s,2.7834
12,13,7,1,s,0.3349000000000002
13,14,7,2,p,3.166
14,15,7,2,s,3.1526
15,16,8,1,s,0.3421000000000003
16,17,8,2,p,3.5468
17,18,8,2,s,3.5084
18,19,9,1,s,0.3498999999999999
19,20,9,2,p,3.9000000000000004
20,21,9,2,s,3.8724
21,22,10,1,s,0.3579000000000008
22,23,10,2,p,4.2416
23,24,10,2,s,4.2416
24,25,11,1,s,0.3741000000000003
25,26,11,2,p,4.1982
26,27,11,2,s,4.4286
27,28,11,3,s,8.4926
28,29,12,1,s,0.3910999999999998
29,30,12,2,p,4.1742
30,31,12,2,s,4.608
31,32,12,3,s,8.692499999999999
32,33,13,1,s,0.4090000000000007
33,34,13,2,p,4.0366
34,35,13,2,s,4.7864
35,36,13,3,p,8.9344
36,37,13,3,s,8.8828
37,38,14,1,s,0.42549999999999955
38,39,14,2,p,4.055
39,40,14,2,s,4.98
40,41,14,3,p,9.7148
41,42,14,3,s,9.0968
42,43,15,1,s,0.4421999999999997
43,44,15,2,p,4.0388
44,45,15,2,s,5.175000000000001
45,46,15,3,p,10.1136
46,47,15,3,s,9.3582
47,48,16,1,s,0.4590999999999994
48,49,16,2,p,4.023
49,50,16,2,s,5.3712
50,51,16,3,p,10.5181
51,52,16,3,s,9.633099999999999
52,53,17,1,s,0.47609999999999886
53,54,17,2,p,4.0068
54,55,17,2,s,5.569599999999999
55,56,17,3,p,10.8839
56,57,17,3,s,9.9317
57,58,18,1,s,0.4924999999999997
58,59,18,2,p,3.9917999999999996
59,60,18,2,s,5.7696000000000005
60,61,18,3,p,11.235899999999999
61,62,18,3,s,10.2432
62,63,19,1,s,0.5105000000000004
63,64,19,2,p,3.9727999999999994
64,65,19,2,s,5.9938
65,66,19,3,p,11.2744
66,67,19,3,s,10.3201
67,68,19,4,s,15.5048
68,69,20,1,s,0.527000000000001
69,70,20,2,p,3.9586000000000006
70,71,20,2,s,6.223599999999999
71,72,20,3,p,11.3417
72,73,20,3,s,10.3985
73,74,20,4,s,15.602
74,75,21,1,s,0.5433999999999983
75,76,21,2,p,3.9453999999999994
76,77,21,2,s,6.426399999999999
77,78,21,3,d,13.8801
78,79,21,3,p,11.5938
79,80,21,3,s,10.6602
80,81,21,4,s,16.3676
81,82,22,1,s,0.5591000000000008
82,83,22,2,p,3.9351999999999983
83,84,22,2,s,6.6234
84,85,22,3,d,13.8586
85,86,22,3,p,11.8963
86,87,22,3,s,10.966899999999999
87,88,22,4,s,17.1832
88,89,23,1,s,0.5744000000000007
89,90,23,2,p,3.927199999999999
90,91,23,2,s,6.8186
91,92,23,3,d,14.0171
92,93,23,3,p,12.215
93,94,23,3,s,11.290700000000001
94,95,23,4,s,18.0188
95,96,24,1,s,0.5862000000000016
96,97,24,2,p,3.924800000000001
97,98,24,2,s,7.016200000000001
98,99,24,3,d,14.2434
99,100,24,3,p,12.533999999999999
100,101,24,3,s,11.6322
101,102,24,4,s,18.866799999999998
102,103,25,1,s,0.6042999999999985
103,104,25,2,p,3.9160000000000004
104,105,25,2,s,7.206199999999999
105,106,25,3,d,14.4718
106,107,25,3,p,12.890799999999999
107,108,25,3,s,11.9821
108,109,25,4,s,19.7168
109,110,26,1,s,0.6189999999999998
110,111,26,2,p,3.911200000000001
111,112,26,2,s,7.401
112,113,26,3,d,14.8202
113,114,26,3,p,13.222100000000001
114,115,26,3,s,12.3239
115,116,26,4,s,20.566
116,117,27,1,s,0.6331999999999987
117,118,27,2,p,3.9075999999999986
118,119,27,2,s,7.594999999999999
119,120,27,3,d,15.1446
120,121,27,3,p,13.5654
121,122,27,3,s,12.677700000000002
122,123,27,4,s,21.4236
123,124,28,1,s,0.6474000000000011
124,125,28,2,p,3.9048000000000016
125,126,28,2,s,7.787400000000002
126,127,28,3,d,15.470500000000001
127,128,28,3,p,13.915
128,129,28,3,s,13.039
129,130,28,4,s,22.2892
130,131,29,1,s,0.6614000000000004
131,132,29,2,p,3.9029999999999987
132,133,29,2,s,7.9802
133,134,29,3,d,15.7994
134,135,29,3,p,14.269400000000001
135,136,29,3,s,13.4057
136,137,29,4,s,23.157600000000002
137,138,30,1,s,0.6754999999999995
138,139,30,2,p,3.902000000000001
139,140,30,2,s,8.172
140,141,30,3,d,16.1217
141,142,30,3,p,14.630700000000001
142,143,30,3,s,13.7808
143,144,30,4,s,24.0348
144,145,31,1,s,0.6905999999999999
145,146,31,2,p,3.9091999999999985
146,147,31,2,s,8.401
147,148,31,3,d,15.906699999999999
148,149,31,3,p,14.796399999999998
149,150,31,3,s,14.003799999999998
150,151,31,4,p,24.7784
151,152,31,4,s,23.9332
152,153,32,1,s,0.7062999999999988
153,154,32,2,p,3.9177999999999997
154,155,32,2,s,8.635200000000001
155,156,32,3,d,15.7487
156,157,32,3,p,14.9864
157,158,32,3,s,14.2103
158,159,32,4,p,25.2196
159,160,32,4,s,23.956400000000002
160,161,33,1,s,0.7216999999999985
161,162,33,2,p,3.926400000000001
162,163,33,2,s,8.873000000000001
163,164,33,3,d,15.6216
164,165,33,3,p,15.150299999999998
165,166,33,3,s,14.404499999999999
166,167,33,4,p,25.5508
167,168,33,4,s,24.055999999999997
168,169,34,1,s,0.7378
169,170,34,2,p,3.934799999999999
170,171,34,2,s,9.1116
171,172,34,3,d,15.523
172,173,34,3,p,15.294999999999998
173,174,34,3,s,14.596599999999999
174,175,34,4,p,25.7128
175,176,34,4,s,24.2424
176,177,35,1,s,0.7528999999999968
177,178,35,2,p,3.9436
178,179,35,2,s,9.3566
179,180,35,3,d,15.4409
180,181,35,3,p,15.429200000000002
181,182,35,3,s,14.781500000000001
182,183,35,4,p,25.972
183,184,35,4,s,24.447200000000002
184,185,36,1,s,0.7683999999999997
185,186,36,2,p,3.953000000000003
186,187,36,2,s,9.602
187,188,36,3,d,15.374099999999999
188,189,36,3,p,15.5658
189,190,36,3,s,14.967299999999998
190,191,36,4,p,26.230800000000002
191,192,36,4,s,24.6844
192,193,37,1,s,0.7922000000000011
193,194,37,2,p,3.961199999999998
194,195,37,2,s,9.8432
195,196,37,3,d,15.320799999999998
196,197,37,3,p,15.6967
197,198,37,3,s,15.1573
198,199,37,4,p,26.1192
199,200,37,4,s,24.612000000000002
200,201,37,5,s,32.0155
201,202,38,1,s,0.8089000000000013
202,203,38,2,p,3.9696
203,204,38,2,s,10.098199999999999
204,205,38,3,d,15.273800000000001
205,206,38,3,p,15.8324
206,207,38,3,s,15.336200000000002
207,208,38,4,p,26.067999999999998
208,209,38,4,s,24.5556
209,210,38,5,s,31.9295
210,211,39,1,s,0.8243999999999971
211,212,39,2,p,3.9968000000000004
212,213,39,2,s,10.3778
213,214,39,3,d,13.602899999999998
214,215,39,3,p,15.907499999999999
215,216,39,3,s,15.4485
216,217,39,4,d,23.041600000000003
217,218,39,4,p,26.2544
218,219,39,4,s,24.7364
219,220,39,5,s,32.744
220,221,40,1,s,0.8410000000000011
221,222,40,2,p,4.007199999999997
222,223,40,2,s,10.6262
223,224,40,3,d,14.433100000000003
224,225,40,3,p,16.1545
225,226,40,3,s,15.6385
226,227,40,4,d,26.9284
227,228,40,4,p,26.54
228,229,40,4,s,25.098399999999998
229,230,40,5,s,33.554500000000004
230,231,41,1,s,0.8577000000000012
231,232,41,2,p,4.017800000000001
232,233,41,2,s,10.8748
233,234,41,3,d,14.753
234,235,41,3,p,16.3844
235,236,41,3,s,15.828500000000002
236,237,41,4,d,29.7624
237,238,41,4,p,26.915599999999998
238,239,41,4,s,25.7172
239,240,41,5,s,35.079
240,241,42,1,s,0.8744000000000014
241,242,42,2,p,4.028199999999998
242,243,42,2,s,11.1232
243,244,42,3,d,14.7717
244,245,42,3,p,16.526400000000002
245,246,42,3,s,16.018499999999996
246,247,42,4,d,30.607599999999998
247,248,42,4,p,27.0232
248,249,42,4,s,25.9036
249,250,42,5,s,35.894
250,251,43,1,s,0.8909999999999982
251,252,43,2,p,4.059199999999997
252,253,43,2,s,11.3718
253,254,43,3,d,14.646999999999998
254,255,43,3,p,16.615899999999996
255,256,43,3,s,16.208799999999997
256,257,43,4,d,30.118000000000002
257,258,43,4,p,27.1888
258,259,43,4,s,25.8016
259,260,43,5,s,35.7735
