,unstable_Element_1,unstable_Element_2,unstable_Element_3,unstable_Element_4,unstable_Element_5,unstable_Element_6,unstable_Element_7,unstable_ion
0,0.42468417,0.42468417,0.15648787,0.17255755,0.17255755,0.17255755,0.17255755,0.42468417
1,0.42468417,0.42468417,0.15648787,0.17255755,0.17255755,0.17255755,0.17255755,0.28466654
2,0.42468417,0.42468417,0.15648787,0.17255755,0.17255755,0.17255755,0.17255755,0.28220642
3,0.42468417,0.42468417,0.15648787,0.17255755,0.17255755,0.17255755,0.17255755,0.3616813
4,0.42468417,0.42468417,0.15648787,0.17255755,0.17255755,0.17255755,0.17255755,0.23554452
5,0.42468417,0.42468417,0.15648787,0.17255755,0.17255755,0.17255755,0.17255755,0.27205002
6,0.42468417,0.42468417,0.15648787,0.17255755,0.17255755,0.17255755,0.17255755,0.28138033
7,0.42468417,0.42468417,0.15648787,0.17255755,0.17255755,0.17255755,0.17255755,0.17255755
8,0.3616813,0.3616813,0.15648787,0.17255755,0.17255755,0.17255755,0.17255755,0.42468417
9,0.3616813,0.3616813,0.15648787,0.17255755,0.17255755,0.17255755,0.17255755,0.28466654
10,0.3616813,0.3616813,0.15648787,0.17255755,0.17255755,0.17255755,0.17255755,0.28220642
11,0.3616813,0.3616813,0.15648787,0.17255755,0.17255755,0.17255755,0.17255755,0.3616813
12,0.3616813,0.3616813,0.15648787,0.17255755,0.17255755,0.17255755,0.17255755,0.23554452
13,0.3616813,0.3616813,0.15648787,0.17255755,0.17255755,0.17255755,0.17255755,0.27205002
14,0.3616813,0.3616813,0.15648787,0.17255755,0.17255755,0.17255755,0.17255755,0.28138033
15,0.3616813,0.3616813,0.15648787,0.17255755,0.17255755,0.17255755,0.17255755,0.17255755
16,0.28220642,0.28220642,0.15648787,0.17255755,0.17255755,0.17255755,0.17255755,0.42468417
17,0.28220642,0.28220642,0.15648787,0.17255755,0.17255755,0.17255755,0.17255755,0.28466654
18,0.28220642,0.28220642,0.15648787,0.17255755,0.17255755,0.17255755,0.17255755,0.28220642
19,0.28220642,0.28220642,0.15648787,0.17255755,0.17255755,0.17255755,0.17255755,0.3616813
20,0.28220642,0.28220642,0.15648787,0.17255755,0.17255755,0.17255755,0.17255755,0.23554452
21,0.28220642,0.28220642,0.15648787,0.17255755,0.17255755,0.17255755,0.17255755,0.27205002
22,0.28220642,0.28220642,0.15648787,0.17255755,0.17255755,0.17255755,0.17255755,0.28138033
