Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7
Li,Li,Ge,F,F,F,F
Li,Li,Ge,F,F,F,F
Li,Li,Ge,F,F,F,F
Li,Li,Ge,F,F,F,F
Li,Li,Ge,F,F,F,F
Li,Li,Ge,F,F,F,F
Li,Li,Ge,F,F,F,F
Li,Li,Ge,F,F,F,F
Na,Na,Ge,F,F,F,F
Na,Na,Ge,F,F,F,F
Na,Na,Ge,F,F,F,F
Na,Na,Ge,F,F,F,F
Na,Na,Ge,F,F,F,F
Na,Na,Ge,F,F,F,F
Na,Na,Ge,F,F,F,F
Na,Na,Ge,F,F,F,F
K,K,Ge,F,F,F,F
K,K,Ge,F,F,F,F
K,K,Ge,F,F,F,F
K,K,Ge,F,F,F,F
K,K,Ge,F,F,F,F
K,K,Ge,F,F,F,F
K,K,Ge,F,F,F,F
K,K,Ge,F,F,F,F
Rb,Rb,Ge,F,F,F,F
Rb,Rb,Ge,F,F,F,F
Rb,Rb,Ge,F,F,F,F
Rb,Rb,Ge,F,F,F,F
Rb,Rb,Ge,F,F,F,F
Rb,Rb,Ge,F,F,F,F
Rb,Rb,Ge,F,F,F,F
Rb,Rb,Ge,F,F,F,F
Cs,Cs,Ge,F,F,F,F
Cs,Cs,Ge,F,F,F,F
Cs,Cs,Ge,F,F,F,F
Cs,Cs,Ge,F,F,F,F
Cs,Cs,Ge,F,F,F,F
Cs,Cs,Ge,F,F,F,F
Cs,Cs,Ge,F,F,F,F
Cs,Cs,Ge,F,F,F,F
Li,Li,Sn,F,F,F,F
Li,Li,Sn,F,F,F,F
Li,Li,Sn,F,F,F,F
Li,Li,Sn,F,F,F,F
Li,Li,Sn,F,F,F,F
Li,Li,Sn,F,F,F,F
Li,Li,Sn,F,F,F,F
Li,Li,Sn,F,F,F,F
Na,Na,Sn,F,F,F,F
Na,Na,Sn,F,F,F,F
Na,Na,Sn,F,F,F,F
Na,Na,Sn,F,F,F,F
Na,Na,Sn,F,F,F,F
Na,Na,Sn,F,F,F,F
Na,Na,Sn,F,F,F,F
Na,Na,Sn,F,F,F,F
K,K,Sn,F,F,F,F
K,K,Sn,F,F,F,F
K,K,Sn,F,F,F,F
K,K,Sn,F,F,F,F
K,K,Sn,F,F,F,F
K,K,Sn,F,F,F,F
K,K,Sn,F,F,F,F
K,K,Sn,F,F,F,F
Rb,Rb,Sn,F,F,F,F
Rb,Rb,Sn,F,F,F,F
Rb,Rb,Sn,F,F,F,F
Rb,Rb,Sn,F,F,F,F
Rb,Rb,Sn,F,F,F,F
Rb,Rb,Sn,F,F,F,F
Rb,Rb,Sn,F,F,F,F
Rb,Rb,Sn,F,F,F,F
Cs,Cs,Sn,F,F,F,F
Cs,Cs,Sn,F,F,F,F
Cs,Cs,Sn,F,F,F,F
Cs,Cs,Sn,F,F,F,F
Cs,Cs,Sn,F,F,F,F
Cs,Cs,Sn,F,F,F,F
Cs,Cs,Sn,F,F,F,F
Cs,Cs,Sn,F,F,F,F
Li,Li,Pb,F,F,F,F
Li,Li,Pb,F,F,F,F
Li,Li,Pb,F,F,F,F
Li,Li,Pb,F,F,F,F
Li,Li,Pb,F,F,F,F
Li,Li,Pb,F,F,F,F
Li,Li,Pb,F,F,F,F
Li,Li,Pb,F,F,F,F
Na,Na,Pb,F,F,F,F
Na,Na,Pb,F,F,F,F
Na,Na,Pb,F,F,F,F
Na,Na,Pb,F,F,F,F
Na,Na,Pb,F,F,F,F
Na,Na,Pb,F,F,F,F
Na,Na,Pb,F,F,F,F
Na,Na,Pb,F,F,F,F
K,K,Pb,F,F,F,F
K,K,Pb,F,F,F,F
