Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7
76.0,76.0,73,133.0,133.0,133.0,133.0
76.0,76.0,73,133.0,133.0,133.0,133.0
76.0,76.0,73,133.0,133.0,133.0,133.0
76.0,76.0,73,133.0,133.0,133.0,133.0
76.0,76.0,73,133.0,133.0,133.0,133.0
76.0,76.0,73,133.0,133.0,133.0,133.0
76.0,76.0,73,133.0,133.0,133.0,133.0
76.0,76.0,73,133.0,133.0,133.0,133.0
102.0,102.0,73,133.0,133.0,133.0,133.0
102.0,102.0,73,133.0,133.0,133.0,133.0
102.0,102.0,73,133.0,133.0,133.0,133.0
102.0,102.0,73,133.0,133.0,133.0,133.0
102.0,102.0,73,133.0,133.0,133.0,133.0
102.0,102.0,73,133.0,133.0,133.0,133.0
102.0,102.0,73,133.0,133.0,133.0,133.0
102.0,102.0,73,133.0,133.0,133.0,133.0
138.0,138.0,73,133.0,133.0,133.0,133.0
138.0,138.0,73,133.0,133.0,133.0,133.0
138.0,138.0,73,133.0,133.0,133.0,133.0
138.0,138.0,73,133.0,133.0,133.0,133.0
138.0,138.0,73,133.0,133.0,133.0,133.0
138.0,138.0,73,133.0,133.0,133.0,133.0
138.0,138.0,73,133.0,133.0,133.0,133.0
138.0,138.0,73,133.0,133.0,133.0,133.0
152.0,152.0,73,133.0,133.0,133.0,133.0
152.0,152.0,73,133.0,133.0,133.0,133.0
152.0,152.0,73,133.0,133.0,133.0,133.0
152.0,152.0,73,133.0,133.0,133.0,133.0
152.0,152.0,73,133.0,133.0,133.0,133.0
152.0,152.0,73,133.0,133.0,133.0,133.0
152.0,152.0,73,133.0,133.0,133.0,133.0
152.0,152.0,73,133.0,133.0,133.0,133.0
167.0,167.0,73,133.0,133.0,133.0,133.0
167.0,167.0,73,133.0,133.0,133.0,133.0
167.0,167.0,73,133.0,133.0,133.0,133.0
167.0,167.0,73,133.0,133.0,133.0,133.0
167.0,167.0,73,133.0,133.0,133.0,133.0
167.0,167.0,73,133.0,133.0,133.0,133.0
167.0,167.0,73,133.0,133.0,133.0,133.0
167.0,167.0,73,133.0,133.0,133.0,133.0
76.0,76.0,112,133.0,133.0,133.0,133.0
76.0,76.0,112,133.0,133.0,133.0,133.0
76.0,76.0,112,133.0,133.0,133.0,133.0
76.0,76.0,112,133.0,133.0,133.0,133.0
76.0,76.0,112,133.0,133.0,133.0,133.0
76.0,76.0,112,133.0,133.0,133.0,133.0
76.0,76.0,112,133.0,133.0,133.0,133.0
76.0,76.0,112,133.0,133.0,133.0,133.0
102.0,102.0,112,133.0,133.0,133.0,133.0
102.0,102.0,112,133.0,133.0,133.0,133.0
102.0,102.0,112,133.0,133.0,133.0,133.0
102.0,102.0,112,133.0,133.0,133.0,133.0
102.0,102.0,112,133.0,133.0,133.0,133.0
102.0,102.0,112,133.0,133.0,133.0,133.0
102.0,102.0,112,133.0,133.0,133.0,133.0
102.0,102.0,112,133.0,133.0,133.0,133.0
138.0,138.0,112,133.0,133.0,133.0,133.0
138.0,138.0,112,133.0,133.0,133.0,133.0
138.0,138.0,112,133.0,133.0,133.0,133.0
138.0,138.0,112,133.0,133.0,133.0,133.0
138.0,138.0,112,133.0,133.0,133.0,133.0
138.0,138.0,112,133.0,133.0,133.0,133.0
138.0,138.0,112,133.0,133.0,133.0,133.0
138.0,138.0,112,133.0,133.0,133.0,133.0
152.0,152.0,112,133.0,133.0,133.0,133.0
152.0,152.0,112,133.0,133.0,133.0,133.0
152.0,152.0,112,133.0,133.0,133.0,133.0
152.0,152.0,112,133.0,133.0,133.0,133.0
152.0,152.0,112,133.0,133.0,133.0,133.0
152.0,152.0,112,133.0,133.0,133.0,133.0
152.0,152.0,112,133.0,133.0,133.0,133.0
152.0,152.0,112,133.0,133.0,133.0,133.0
167.0,167.0,112,133.0,133.0,133.0,133.0
167.0,167.0,112,133.0,133.0,133.0,133.0
167.0,167.0,112,133.0,133.0,133.0,133.0
167.0,167.0,112,133.0,133.0,133.0,133.0
167.0,167.0,112,133.0,133.0,133.0,133.0
167.0,167.0,112,133.0,133.0,133.0,133.0
167.0,167.0,112,133.0,133.0,133.0,133.0
167.0,167.0,112,133.0,133.0,133.0,133.0
76.0,76.0,119,133.0,133.0,133.0,133.0
76.0,76.0,119,133.0,133.0,133.0,133.0
76.0,76.0,119,133.0,133.0,133.0,133.0
76.0,76.0,119,133.0,133.0,133.0,133.0
76.0,76.0,119,133.0,133.0,133.0,133.0
76.0,76.0,119,133.0,133.0,133.0,133.0
76.0,76.0,119,133.0,133.0,133.0,133.0
76.0,76.0,119,133.0,133.0,133.0,133.0
102.0,102.0,119,133.0,133.0,133.0,133.0
102.0,102.0,119,133.0,133.0,133.0,133.0
102.0,102.0,119,133.0,133.0,133.0,133.0
102.0,102.0,119,133.0,133.0,133.0,133.0
102.0,102.0,119,133.0,133.0,133.0,133.0
102.0,102.0,119,133.0,133.0,133.0,133.0
102.0,102.0,119,133.0,133.0,133.0,133.0
102.0,102.0,119,133.0,133.0,133.0,133.0
138.0,138.0,119,133.0,133.0,133.0,133.0
138.0,138.0,119,133.0,133.0,133.0,133.0
138.0,138.0,119,133.0,133.0,133.0,133.0
138.0,138.0,119,133.0,133.0,133.0,133.0
138.0,138.0,119,133.0,133.0,133.0,133.0
138.0,138.0,119,133.0,133.0,133.0,133.0
138.0,138.0,119,133.0,133.0,133.0,133.0
138.0,138.0,119,133.0,133.0,133.0,133.0
152.0,152.0,119,133.0,133.0,133.0,133.0
152.0,152.0,119,133.0,133.0,133.0,133.0
152.0,152.0,119,133.0,133.0,133.0,133.0
152.0,152.0,119,133.0,133.0,133.0,133.0
152.0,152.0,119,133.0,133.0,133.0,133.0
152.0,152.0,119,133.0,133.0,133.0,133.0
152.0,152.0,119,133.0,133.0,133.0,133.0
152.0,152.0,119,133.0,133.0,133.0,133.0
167.0,167.0,119,133.0,133.0,133.0,133.0
167.0,167.0,119,133.0,133.0,133.0,133.0
167.0,167.0,119,133.0,133.0,133.0,133.0
167.0,167.0,119,133.0,133.0,133.0,133.0
167.0,167.0,119,133.0,133.0,133.0,133.0
167.0,167.0,119,133.0,133.0,133.0,133.0
167.0,167.0,119,133.0,133.0,133.0,133.0
167.0,167.0,119,133.0,133.0,133.0,133.0
76.0,76.0,73,181.0,181.0,181.0,181.0
76.0,76.0,73,181.0,181.0,181.0,181.0
76.0,76.0,73,181.0,181.0,181.0,181.0
76.0,76.0,73,181.0,181.0,181.0,181.0
76.0,76.0,73,181.0,181.0,181.0,181.0
76.0,76.0,73,181.0,181.0,181.0,181.0
76.0,76.0,73,181.0,181.0,181.0,181.0
76.0,76.0,73,181.0,181.0,181.0,181.0
102.0,102.0,73,181.0,181.0,181.0,181.0
102.0,102.0,73,181.0,181.0,181.0,181.0
102.0,102.0,73,181.0,181.0,181.0,181.0
102.0,102.0,73,181.0,181.0,181.0,181.0
102.0,102.0,73,181.0,181.0,181.0,181.0
102.0,102.0,73,181.0,181.0,181.0,181.0
102.0,102.0,73,181.0,181.0,181.0,181.0
102.0,102.0,73,181.0,181.0,181.0,181.0
138.0,138.0,73,181.0,181.0,181.0,181.0
138.0,138.0,73,181.0,181.0,181.0,181.0
138.0,138.0,73,181.0,181.0,181.0,181.0
138.0,138.0,73,181.0,181.0,181.0,181.0
138.0,138.0,73,181.0,181.0,181.0,181.0
138.0,138.0,73,181.0,181.0,181.0,181.0
138.0,138.0,73,181.0,181.0,181.0,181.0
138.0,138.0,73,181.0,181.0,181.0,181.0
152.0,152.0,73,181.0,181.0,181.0,181.0
152.0,152.0,73,181.0,181.0,181.0,181.0
152.0,152.0,73,181.0,181.0,181.0,181.0
152.0,152.0,73,181.0,181.0,181.0,181.0
152.0,152.0,73,181.0,181.0,181.0,181.0
152.0,152.0,73,181.0,181.0,181.0,181.0
152.0,152.0,73,181.0,181.0,181.0,181.0
152.0,152.0,73,181.0,181.0,181.0,181.0
167.0,167.0,73,181.0,181.0,181.0,181.0
167.0,167.0,73,181.0,181.0,181.0,181.0
167.0,167.0,73,181.0,181.0,181.0,181.0
167.0,167.0,73,181.0,181.0,181.0,181.0
167.0,167.0,73,181.0,181.0,181.0,181.0
167.0,167.0,73,181.0,181.0,181.0,181.0
167.0,167.0,73,181.0,181.0,181.0,181.0
167.0,167.0,73,181.0,181.0,181.0,181.0
76.0,76.0,112,181.0,181.0,181.0,181.0
76.0,76.0,112,181.0,181.0,181.0,181.0
76.0,76.0,112,181.0,181.0,181.0,181.0
76.0,76.0,112,181.0,181.0,181.0,181.0
76.0,76.0,112,181.0,181.0,181.0,181.0
76.0,76.0,112,181.0,181.0,181.0,181.0
76.0,76.0,112,181.0,181.0,181.0,181.0
76.0,76.0,112,181.0,181.0,181.0,181.0
102.0,102.0,112,181.0,181.0,181.0,181.0
102.0,102.0,112,181.0,181.0,181.0,181.0
102.0,102.0,112,181.0,181.0,181.0,181.0
102.0,102.0,112,181.0,181.0,181.0,181.0
102.0,102.0,112,181.0,181.0,181.0,181.0
102.0,102.0,112,181.0,181.0,181.0,181.0
102.0,102.0,112,181.0,181.0,181.0,181.0
102.0,102.0,112,181.0,181.0,181.0,181.0
138.0,138.0,112,181.0,181.0,181.0,181.0
138.0,138.0,112,181.0,181.0,181.0,181.0
138.0,138.0,112,181.0,181.0,181.0,181.0
138.0,138.0,112,181.0,181.0,181.0,181.0
138.0,138.0,112,181.0,181.0,181.0,181.0
138.0,138.0,112,181.0,181.0,181.0,181.0
138.0,138.0,112,181.0,181.0,181.0,181.0
138.0,138.0,112,181.0,181.0,181.0,181.0
152.0,152.0,112,181.0,181.0,181.0,181.0
152.0,152.0,112,181.0,181.0,181.0,181.0
152.0,152.0,112,181.0,181.0,181.0,181.0
152.0,152.0,112,181.0,181.0,181.0,181.0
152.0,152.0,112,181.0,181.0,181.0,181.0
152.0,152.0,112,181.0,181.0,181.0,181.0
152.0,152.0,112,181.0,181.0,181.0,181.0
152.0,152.0,112,181.0,181.0,181.0,181.0
167.0,167.0,112,181.0,181.0,181.0,181.0
167.0,167.0,112,181.0,181.0,181.0,181.0
167.0,167.0,112,181.0,181.0,181.0,181.0
167.0,167.0,112,181.0,181.0,181.0,181.0
167.0,167.0,112,181.0,181.0,181.0,181.0
167.0,167.0,112,181.0,181.0,181.0,181.0
167.0,167.0,112,181.0,181.0,181.0,181.0
167.0,167.0,112,181.0,181.0,181.0,181.0
76.0,76.0,119,181.0,181.0,181.0,181.0
76.0,76.0,119,181.0,181.0,181.0,181.0
76.0,76.0,119,181.0,181.0,181.0,181.0
76.0,76.0,119,181.0,181.0,181.0,181.0
76.0,76.0,119,181.0,181.0,181.0,181.0
76.0,76.0,119,181.0,181.0,181.0,181.0
76.0,76.0,119,181.0,181.0,181.0,181.0
76.0,76.0,119,181.0,181.0,181.0,181.0
102.0,102.0,119,181.0,181.0,181.0,181.0
102.0,102.0,119,181.0,181.0,181.0,181.0
102.0,102.0,119,181.0,181.0,181.0,181.0
102.0,102.0,119,181.0,181.0,181.0,181.0
102.0,102.0,119,181.0,181.0,181.0,181.0
102.0,102.0,119,181.0,181.0,181.0,181.0
102.0,102.0,119,181.0,181.0,181.0,181.0
102.0,102.0,119,181.0,181.0,181.0,181.0
138.0,138.0,119,181.0,181.0,181.0,181.0
138.0,138.0,119,181.0,181.0,181.0,181.0
138.0,138.0,119,181.0,181.0,181.0,181.0
138.0,138.0,119,181.0,181.0,181.0,181.0
138.0,138.0,119,181.0,181.0,181.0,181.0
138.0,138.0,119,181.0,181.0,181.0,181.0
138.0,138.0,119,181.0,181.0,181.0,181.0
138.0,138.0,119,181.0,181.0,181.0,181.0
152.0,152.0,119,181.0,181.0,181.0,181.0
152.0,152.0,119,181.0,181.0,181.0,181.0
152.0,152.0,119,181.0,181.0,181.0,181.0
152.0,152.0,119,181.0,181.0,181.0,181.0
152.0,152.0,119,181.0,181.0,181.0,181.0
152.0,152.0,119,181.0,181.0,181.0,181.0
152.0,152.0,119,181.0,181.0,181.0,181.0
152.0,152.0,119,181.0,181.0,181.0,181.0
167.0,167.0,119,181.0,181.0,181.0,181.0
167.0,167.0,119,181.0,181.0,181.0,181.0
167.0,167.0,119,181.0,181.0,181.0,181.0
167.0,167.0,119,181.0,181.0,181.0,181.0
167.0,167.0,119,181.0,181.0,181.0,181.0
167.0,167.0,119,181.0,181.0,181.0,181.0
167.0,167.0,119,181.0,181.0,181.0,181.0
167.0,167.0,119,181.0,181.0,181.0,181.0
76.0,76.0,73,196.0,196.0,196.0,196.0
76.0,76.0,73,196.0,196.0,196.0,196.0
76.0,76.0,73,196.0,196.0,196.0,196.0
76.0,76.0,73,196.0,196.0,196.0,196.0
76.0,76.0,73,196.0,196.0,196.0,196.0
76.0,76.0,73,196.0,196.0,196.0,196.0
76.0,76.0,73,196.0,196.0,196.0,196.0
76.0,76.0,73,196.0,196.0,196.0,196.0
102.0,102.0,73,196.0,196.0,196.0,196.0
102.0,102.0,73,196.0,196.0,196.0,196.0
102.0,102.0,73,196.0,196.0,196.0,196.0
102.0,102.0,73,196.0,196.0,196.0,196.0
102.0,102.0,73,196.0,196.0,196.0,196.0
102.0,102.0,73,196.0,196.0,196.0,196.0
102.0,102.0,73,196.0,196.0,196.0,196.0
102.0,102.0,73,196.0,196.0,196.0,196.0
138.0,138.0,73,196.0,196.0,196.0,196.0
138.0,138.0,73,196.0,196.0,196.0,196.0
138.0,138.0,73,196.0,196.0,196.0,196.0
138.0,138.0,73,196.0,196.0,196.0,196.0
138.0,138.0,73,196.0,196.0,196.0,196.0
138.0,138.0,73,196.0,196.0,196.0,196.0
138.0,138.0,73,196.0,196.0,196.0,196.0
138.0,138.0,73,196.0,196.0,196.0,196.0
152.0,152.0,73,196.0,196.0,196.0,196.0
152.0,152.0,73,196.0,196.0,196.0,196.0
152.0,152.0,73,196.0,196.0,196.0,196.0
152.0,152.0,73,196.0,196.0,196.0,196.0
152.0,152.0,73,196.0,196.0,196.0,196.0
152.0,152.0,73,196.0,196.0,196.0,196.0
152.0,152.0,73,196.0,196.0,196.0,196.0
152.0,152.0,73,196.0,196.0,196.0,196.0
167.0,167.0,73,196.0,196.0,196.0,196.0
167.0,167.0,73,196.0,196.0,196.0,196.0
167.0,167.0,73,196.0,196.0,196.0,196.0
167.0,167.0,73,196.0,196.0,196.0,196.0
167.0,167.0,73,196.0,196.0,196.0,196.0
167.0,167.0,73,196.0,196.0,196.0,196.0
167.0,167.0,73,196.0,196.0,196.0,196.0
167.0,167.0,73,196.0,196.0,196.0,196.0
76.0,76.0,112,196.0,196.0,196.0,196.0
76.0,76.0,112,196.0,196.0,196.0,196.0
76.0,76.0,112,196.0,196.0,196.0,196.0
76.0,76.0,112,196.0,196.0,196.0,196.0
76.0,76.0,112,196.0,196.0,196.0,196.0
76.0,76.0,112,196.0,196.0,196.0,196.0
76.0,76.0,112,196.0,196.0,196.0,196.0
76.0,76.0,112,196.0,196.0,196.0,196.0
102.0,102.0,112,196.0,196.0,196.0,196.0
102.0,102.0,112,196.0,196.0,196.0,196.0
102.0,102.0,112,196.0,196.0,196.0,196.0
102.0,102.0,112,196.0,196.0,196.0,196.0
