,rechargeable_A1,rechargeable_A2,rechargeable_B,rechargeable_X1,rechargeable_X2,rechargeable_X3,rechargeable_X4
0,0.57163334,0.57163334,0.26438892,0.22771172,0.22771172,0.22771172,0.22771172
1,0.57163334,0.57163334,0.26438892,0.22771172,0.22771172,0.22771172,0.22771172
2,0.57163334,0.57163334,0.26438892,0.22771172,0.22771172,0.22771172,0.22771172
3,0.57163334,0.57163334,0.26438892,0.22771172,0.22771172,0.22771172,0.22771172
4,0.57163334,0.57163334,0.26438892,0.22771172,0.22771172,0.22771172,0.22771172
5,0.57163334,0.57163334,0.26438892,0.22771172,0.22771172,0.22771172,0.22771172
6,0.57163334,0.57163334,0.26438892,0.22771172,0.22771172,0.22771172,0.22771172
7,0.57163334,0.57163334,0.26438892,0.22771172,0.22771172,0.22771172,0.22771172
8,0.51970124,0.51970124,0.26438892,0.22771172,0.22771172,0.22771172,0.22771172
9,0.51970124,0.51970124,0.26438892,0.22771172,0.22771172,0.22771172,0.22771172
10,0.51970124,0.51970124,0.26438892,0.22771172,0.22771172,0.22771172,0.22771172
11,0.51970124,0.51970124,0.26438892,0.22771172,0.22771172,0.22771172,0.22771172
12,0.51970124,0.51970124,0.26438892,0.22771172,0.22771172,0.22771172,0.22771172
13,0.51970124,0.51970124,0.26438892,0.22771172,0.22771172,0.22771172,0.22771172
14,0.51970124,0.51970124,0.26438892,0.22771172,0.22771172,0.22771172,0.22771172
15,0.51970124,0.51970124,0.26438892,0.22771172,0.22771172,0.22771172,0.22771172
16,0.2053389,0.2053389,0.26438892,0.22771172,0.22771172,0.22771172,0.22771172
17,0.2053389,0.2053389,0.26438892,0.22771172,0.22771172,0.22771172,0.22771172
18,0.2053389,0.2053389,0.26438892,0.22771172,0.22771172,0.22771172,0.22771172
19,0.2053389,0.2053389,0.26438892,0.22771172,0.22771172,0.22771172,0.22771172
20,0.2053389,0.2053389,0.26438892,0.22771172,0.22771172,0.22771172,0.22771172
21,0.2053389,0.2053389,0.26438892,0.22771172,0.22771172,0.22771172,0.22771172
22,0.2053389,0.2053389,0.26438892,0.22771172,0.22771172,0.22771172,0.22771172
23,0.2053389,0.2053389,0.26438892,0.22771172,0.22771172,0.22771172,0.22771172
24,0.3491499,0.3491499,0.26438892,0.22771172,0.22771172,0.22771172,0.22771172
25,0.3491499,0.3491499,0.26438892,0.22771172,0.22771172,0.22771172,0.22771172
26,0.3491499,0.3491499,0.26438892,0.22771172,0.22771172,0.22771172,0.22771172
27,0.3491499,0.3491499,0.26438892,0.22771172,0.22771172,0.22771172,0.22771172
28,0.3491499,0.3491499,0.26438892,0.22771172,0.22771172,0.22771172,0.22771172
29,0.3491499,0.3491499,0.26438892,0.22771172,0.22771172,0.22771172,0.22771172
30,0.3491499,0.3491499,0.26438892,0.22771172,0.22771172,0.22771172,0.22771172
31,0.3491499,0.3491499,0.26438892,0.22771172,0.22771172,0.22771172,0.22771172
32,0.47297877,0.47297877,0.26438892,0.22771172,0.22771172,0.22771172,0.22771172
33,0.47297877,0.47297877,0.26438892,0.22771172,0.22771172,0.22771172,0.22771172
34,0.47297877,0.47297877,0.26438892,0.22771172,0.22771172,0.22771172,0.22771172
35,0.47297877,0.47297877,0.26438892,0.22771172,0.22771172,0.22771172,0.22771172
36,0.47297877,0.47297877,0.26438892,0.22771172,0.22771172,0.22771172,0.22771172
37,0.47297877,0.47297877,0.26438892,0.22771172,0.22771172,0.22771172,0.22771172
38,0.47297877,0.47297877,0.26438892,0.22771172,0.22771172,0.22771172,0.22771172
39,0.47297877,0.47297877,0.26438892,0.22771172,0.22771172,0.22771172,0.22771172
40,0.57163334,0.57163334,0.36311576,0.22771172,0.22771172,0.22771172,0.22771172
41,0.57163334,0.57163334,0.36311576,0.22771172,0.22771172,0.22771172,0.22771172
42,0.57163334,0.57163334,0.36311576,0.22771172,0.22771172,0.22771172,0.22771172
43,0.57163334,0.57163334,0.36311576,0.22771172,0.22771172,0.22771172,0.22771172
44,0.57163334,0.57163334,0.36311576,0.22771172,0.22771172,0.22771172,0.22771172
45,0.57163334,0.57163334,0.36311576,0.22771172,0.22771172,0.22771172,0.22771172
46,0.57163334,0.57163334,0.36311576,0.22771172,0.22771172,0.22771172,0.22771172
47,0.57163334,0.57163334,0.36311576,0.22771172,0.22771172,0.22771172,0.22771172
48,0.51970124,0.51970124,0.36311576,0.22771172,0.22771172,0.22771172,0.22771172
49,0.51970124,0.51970124,0.36311576,0.22771172,0.22771172,0.22771172,0.22771172
50,0.51970124,0.51970124,0.36311576,0.22771172,0.22771172,0.22771172,0.22771172
51,0.51970124,0.51970124,0.36311576,0.22771172,0.22771172,0.22771172,0.22771172
52,0.51970124,0.51970124,0.36311576,0.22771172,0.22771172,0.22771172,0.22771172
53,0.51970124,0.51970124,0.36311576,0.22771172,0.22771172,0.22771172,0.22771172
54,0.51970124,0.51970124,0.36311576,0.22771172,0.22771172,0.22771172,0.22771172
55,0.51970124,0.51970124,0.36311576,0.22771172,0.22771172,0.22771172,0.22771172
56,0.2053389,0.2053389,0.36311576,0.22771172,0.22771172,0.22771172,0.22771172
57,0.2053389,0.2053389,0.36311576,0.22771172,0.22771172,0.22771172,0.22771172
58,0.2053389,0.2053389,0.36311576,0.22771172,0.22771172,0.22771172,0.22771172
59,0.2053389,0.2053389,0.36311576,0.22771172,0.22771172,0.22771172,0.22771172
60,0.2053389,0.2053389,0.36311576,0.22771172,0.22771172,0.22771172,0.22771172
61,0.2053389,0.2053389,0.36311576,0.22771172,0.22771172,0.22771172,0.22771172
62,0.2053389,0.2053389,0.36311576,0.22771172,0.22771172,0.22771172,0.22771172
63,0.2053389,0.2053389,0.36311576,0.22771172,0.22771172,0.22771172,0.22771172
64,0.3491499,0.3491499,0.36311576,0.22771172,0.22771172,0.22771172,0.22771172
65,0.3491499,0.3491499,0.36311576,0.22771172,0.22771172,0.22771172,0.22771172
66,0.3491499,0.3491499,0.36311576,0.22771172,0.22771172,0.22771172,0.22771172
67,0.3491499,0.3491499,0.36311576,0.22771172,0.22771172,0.22771172,0.22771172
68,0.3491499,0.3491499,0.36311576,0.22771172,0.22771172,0.22771172,0.22771172
69,0.3491499,0.3491499,0.36311576,0.22771172,0.22771172,0.22771172,0.22771172
70,0.3491499,0.3491499,0.36311576,0.22771172,0.22771172,0.22771172,0.22771172
71,0.3491499,0.3491499,0.36311576,0.22771172,0.22771172,0.22771172,0.22771172
72,0.47297877,0.47297877,0.36311576,0.22771172,0.22771172,0.22771172,0.22771172
73,0.47297877,0.47297877,0.36311576,0.22771172,0.22771172,0.22771172,0.22771172
74,0.47297877,0.47297877,0.36311576,0.22771172,0.22771172,0.22771172,0.22771172
75,0.47297877,0.47297877,0.36311576,0.22771172,0.22771172,0.22771172,0.22771172
76,0.47297877,0.47297877,0.36311576,0.22771172,0.22771172,0.22771172,0.22771172
77,0.47297877,0.47297877,0.36311576,0.22771172,0.22771172,0.22771172,0.22771172
78,0.47297877,0.47297877,0.36311576,0.22771172,0.22771172,0.22771172,0.22771172
79,0.47297877,0.47297877,0.36311576,0.22771172,0.22771172,0.22771172,0.22771172
80,0.57163334,0.57163334,0.44348866,0.22771172,0.22771172,0.22771172,0.22771172
81,0.57163334,0.57163334,0.44348866,0.22771172,0.22771172,0.22771172,0.22771172
