,A1 NumberofProtons,A2 NumberofProtons,B NumberofProtons,X1 NumberofProtons,X2 NumberofProtons,X3 NumberofProtons,X4 NumberofProtons,Ion NumberofProtons,A1 NumberofNeutrons,A2 NumberofNeutrons,B NumberofNeutrons,X1 NumberofNeutrons,X2 NumberofNeutrons,X3 NumberofNeutrons,X4 NumberofNeutrons,Ion NumberofNeutrons,A1 Number of Shells,A2 Number of Shells,B Number of Shells,X1 Number of Shells,X2 Number of Shells,X3 Number of Shells,X4 Number of Shells,Ion Number of Shells,A1 Specific Heat,A2 Specific Heat,B Specific Heat,X1 Specific Heat,X2 Specific Heat,X3 Specific Heat,X4 Specific Heat,Ion Specific Heat,A1 Density,A2 Density,B Density,X1 Density,X2 Density,X3 Density,X4 Density,Ion Density,A1 AtomicRadius,A2 AtomicRadius,B AtomicRadius,X1 AtomicRadius,X2 AtomicRadius,X3 AtomicRadius,X4 AtomicRadius,Ion AtomicRadius,A1 Firstlonization,A2 Firstlonization,B Firstlonization,X1 Firstlonization,X2 Firstlonization,X3 Firstlonization,X4 Firstlonization,Ion Firstlonization,A1 AtomicMass,A2  AtomicMass,B  AtomicMass,X1 AtomicMass,X2 AtomicMass,X3 AtomicMass,X4 AtomicMass,Ion AtomicMass,A1 Melting Point,A2 Melting Point,B Melting Point,X1 Melting Point,X2 Melting Point,X3 Melting Point,X4 Melting Point,Ion Melting Point,Adsorption energy(ev)
A1 NumberofProtons,1.0,0.9598977172284651,0.06006709426425328,0.08460013279250901,0.08325243934646452,0.11334494302838052,0.04971250276709277,-1.2393376049729137e-16,0.9950645332122947,0.9553262123751428,0.059653628499239504,0.08741309959430703,0.08661850859731661,0.1196931617035533,0.05216531401996805,-2.218684740315652e-16,0.9785855658855178,0.9395557259650776,0.06136198921342782,0.07820247708885576,0.07588782553344076,0.10021035851290111,0.04433876082350526,-3.179105808949465e-16,-0.7746077051576414,-0.7374432838196994,-0.06128149792579905,-0.0747017825715876,-0.07023832959714935,-0.09582968944041309,-0.046535146475154894,9.674321393678403e-17,0.9722203070015024,0.9371937569901361,0.05958908092143034,0.08184040417317194,0.08183862784535327,0.1110510494333397,0.046106771970004304,-2.1473257775049075e-16,0.9471220189964622,0.9077932237514622,0.060834189324982205,0.06782124977870353,0.06369719215573462,0.08078756900875239,0.03708681262189138,-4.1648466758247774e-17,-0.9143189119865793,-0.8752968356949975,-0.050691425373359106,-0.05946903612275491,-0.054651311112736654,-0.06523034295364799,-0.02955186430779489,3.2103374805843003e-16,0.9984241714047078,0.9584850088010252,0.05979928379451394,0.08639223951174226,0.0854112444714246,0.11736623937463783,0.05122946932014193,-2.2321183153883876e-16,-0.8533679144476842,-0.8172540268813757,-0.050545533253913824,0.08630476929042129,0.08119204735645236,0.10253635824072403,0.04608557115242079,-1.9023859245401825e-16,0.12439852540078414
A2 NumberofProtons,0.9598977172284651,1.0,0.07041360860542137,0.08954803043120194,0.08777914549082094,0.11215417050609827,0.04406234747749844,-3.317441155427015e-17,0.9512881268504565,0.9953927718196622,0.06921422602294663,0.08914145691609031,0.08808381750400315,0.11532349294863226,0.043952357762229825,-2.220973144029429e-16,0.9475554830828603,0.97924394237552,0.07576124578985156,0.08851236374824968,0.08554901836851955,0.10452986495059555,0.04334563064400172,-3.4426973331516914e-16,-0.7562504742296591,-0.7683416678462,-0.07516409011876923,-0.09234609395405256,-0.08678598457863894,-0.10701519536235524,-0.05107994887319466,3.738022193489655e-17,0.9242621985454981,0.972919965762798,0.06903472162240867,0.08069493684756462,0.08069255139725748,0.10458122928495127,0.03674410765690862,-1.6668509930573665e-16,0.9262930288414356,0.9473398818089064,0.07956556571039552,0.08615971307082435,0.081054553769566,0.09352024241344659,0.043512978508507945,1.208909487510605e-16,-0.8984876404304047,-0.91369134821493,-0.07676889033956542,-0.08110435522176788,-0.075219391101904,-0.08192787387841391,-0.0398758929445196,1.394767258172834e-16,0.9561763847317243,0.9985255566886675,0.06962634872887066,0.08924838218987734,0.08794888969946765,0.11411182911716916,0.04391392199002536,-1.9297890287887555e-16,-0.8331642782616605,-0.8513083709700006,-0.07666655055673564,0.09638728960715424,0.08992048109926093,0.10724172187335751,0.0452925081707881,-2.390628822555244e-16,0.13370350674377257
B NumberofProtons,0.06006709426425328,0.07041360860542137,1.0,0.12474380606697355,0.1345058318613806,0.1269454989052582,0.15309553437556844,-1.0338980473838651e-17,0.05628529702598895,0.07363811521628888,0.9995525218609941,0.12389168906367935,0.1297248429036935,0.1249810983866886,0.15838990804194136,-9.416883148046145e-17,0.06585644065837648,0.06074256504034683,0.9870706831527126,0.12435171990378587,0.14052474412129998,0.12886193210454883,0.14117126763025326,-2.548368994644612e-17,-0.059604516554189114,-0.02775292042023074,-0.9902584206812466,-0.101056239301901,-0.12898027740587978,-0.09378241935354059,-0.1207217334831527,3.283327840494849e-17,0.05333260029130438,0.06950315940366228,0.9994130066232575,0.12922238810115916,0.12923548410991997,0.13798472576003715,0.1560490620498968,-3.0606894743591293e-17,0.07000836179513983,0.05852947642042811,0.9384540084494917,0.1142373938987543,0.14067251546941284,0.11799315316187756,0.11671786756209508,9.313962963703611e-17,-0.07139229771099938,-0.0511347785315969,-0.6877118757158477,-0.11121085440825404,-0.14088633858819521,-0.11798096957905772,-0.10067721510256301,-5.851861718995894e-17,0.0580210518424725,0.07241175378296143,0.9998037630008072,0.12442979135837266,0.13160411929060958,0.12603936736152643,0.15659544943157078,-7.692412336999487e-17,-0.0647603165962549,-0.03837085710136568,-0.6846645670417267,0.11911413212694426,0.149381680369867,0.12358154567105616,0.1410697800952933,3.0722395461743445e-17,0.0037400444602255284
X1 NumberofProtons,0.08460013279250901,0.08954803043120194,0.12474380606697355,1.0,0.9981521282732884,0.9439909844489318,0.8062319473492892,1.4934706671028332e-16,0.08835576014028633,0.09556574913603248,0.12347668838238389,0.9963182751319922,0.9952125130330681,0.939836017264339,0.7982098709772744,-1.337692815557185e-16,0.07509396651930386,0.07586998161281203,0.12962167528719218,0.989394356663992,0.9860281780576261,0.9362291432308978,0.807829115125477,-3.3346717777063445e-17,-0.04468637121851822,-0.030367852475249153,-0.12916716096513098,-0.9054487305190384,-0.8944820311471114,-0.858821144346521,-0.7493921521261923,-1.1067544330205863e-16,0.0800536487626201,0.0788776523069802,0.1232832950794221,0.9764755166998055,0.9764733462248558,0.9240530360655476,0.7799574057031788,2.796960189802076e-16,0.07095732208665276,0.07448218432903042,0.1310533758605,0.9286618649885131,0.9204306133823364,0.8816356413246169,0.771773533652363,1.5635683014387915e-16,-0.06395655553352547,-0.06438588261900637,-0.11518631295911745,-0.8870110236646415,-0.8765147948463659,-0.8426921963643537,-0.7403736851108295,1.3627998318439754e-18,0.08671439727353066,0.09285693204140699,0.1239171267128051,0.9984431071083324,0.9970967426381452,0.9420471709616738,0.8015810189369602,2.2626709784164798e-17,-0.0531934523499884,-0.0430075321145831,-0.11492258527745323,0.9800765772688261,0.9646617473920209,0.933023002273702,0.806118399533872,1.6521771819947813e-16,0.16976040977951398
X2 NumberofProtons,0.08325243934646452,0.08777914549082094,0.1345058318613806,0.9981521282732884,1.0,0.9521062282342924,0.8204267952488776,1.9706118867695313e-16,0.08606984380435713,0.092917869659877,0.1333296605885331,0.9951700572313472,0.996275665855294,0.9476312079463899,0.8126016020093987,5.301185180434345e-17,0.07590659456426488,0.07619309811097491,0.13874674221347755,0.9863944173883483,0.9891511880103406,0.944821183371478,0.8214280643602181,1.1674697114421168e-16,-0.04786680999901673,-0.03309492505229249,-0.138390401900115,-0.9009180283629361,-0.9008153346455288,-0.8646308120416845,-0.7624296916315899,-2.268972025829365e-16,0.07670482570420165,0.07507396124775245,0.13314875362492135,0.975969790734463,0.9759725514166064,0.9331036031060171,0.7935708067869556,4.83314775998339e-16,0.07350975130888392,0.07659561205685825,0.13911397361087507,0.9239692909863102,0.9258672145799606,0.8897939894209629,0.7841088667587753,1.0114636252509011e-16,-0.06760503462574645,-0.0676024174241194,-0.11958646061813177,-0.8816383763137072,-0.8825508276208112,-0.8512094210577789,-0.7515388614401219,-5.140576166439495e-17,0.08481359022260317,0.09056690134848258,0.13374036043167375,0.9970492409590284,0.998420551470167,0.9499875139692223,0.8159027333966565,1.1363444661685865e-16,-0.056132131323053544,-0.04547347808455459,-0.11928382532638004,0.9768552594289983,0.9733611525833341,0.9411278641982769,0.8198644261592845,2.955626533153395e-16,0.1699406653282489
X3 NumberofProtons,0.11334494302838052,0.11215417050609827,0.1269454989052582,0.9439909844489318,0.9521062282342924,1.0,0.8526600892883265,1.249809463518096e-16,0.11109662984012515,0.11215276526718872,0.12399966269294435,0.9390011170014749,0.9438449757733322,0.9966239560755852,0.845042433568408,-3.5694073277583233e-17,0.11532961963818036,0.11039346834767891,0.14078501280013886,0.9366374867072044,0.9498487107947106,0.98992942863129,0.8525185182361597,-6.338582348860384e-17,-0.09073069574602756,-0.07307319891143642,-0.1391572079588582,-0.8560516406244121,-0.8747720105531229,-0.9097404851500267,-0.804182638973245,-1.2682219469454636e-16,0.09969825996130283,0.09284476837307963,0.12356220404321511,0.921918463200955,0.9219295434996541,0.978269230561163,0.8178130807769043,2.0061635644549155e-16,0.11969082065807891,0.11777947757968532,0.1524926243680048,0.8819521400499373,0.901375275401742,0.9304501728147981,0.8159949909532191,-2.479857710274916e-17,-0.11763371726666559,-0.11318876986544114,-0.15741948017127091,-0.844923475972845,-0.865694740673767,-0.8874304998330447,-0.7796573751949568,2.5996647300442414e-16,0.11210555594287444,0.11209436674507064,0.12500728340475897,0.9415848740333761,0.9475549780127271,0.9985676525668766,0.8481625896619636,2.4637778699913792e-17,-0.10149286483796685,-0.08740272396324007,-0.15731027273854048,0.946463177666798,0.9639108383312285,0.9871342654943184,0.8533516701834968,8.333377384419205e-17,0.17767171764670764
X4 NumberofProtons,0.04971250276709277,0.04406234747749844,0.15309553437556844,0.8062319473492892,0.8204267952488776,0.8526600892883265,1.0,1.8981915996934832e-16,0.047671405133093044,0.044844921883560034,0.15175292810947513,0.8051873224284464,0.8136772361173789,0.8497158839695733,0.9968161906028804,-6.926703310966959e-17,0.049570232512118964,0.03901089505716286,0.15794335771984136,0.7945469243101839,0.8178339195200877,0.8446025703735327,0.9899609272704535,5.401764921782408e-17,-0.04329505781290967,-0.018139485338816153,-0.15753503931629384,-0.7160497885850726,-0.7532475859629435,-0.7547437184681625,-0.9020964995278223,-1.2712268129289115e-16,0.05933770412753382,0.04726186488543305,0.15154645482310575,0.7945008072935521,0.794520001736129,0.8465800013490768,0.9786524348053321,2.9391451500088634e-16,0.04549631179135976,0.03866037358444818,0.15838535162797654,0.738985099044169,0.7753528496059678,0.7884210599677534,0.9261648729673192,-8.085116473988254e-17,-0.04441380085080883,-0.034318436713730874,-0.1362083497871048,-0.7040777908570073,-0.7440689315836697,-0.754554086868696,-0.8779859485290435,1.7265985511357682e-16,0.04895769000649136,0.04480679790705008,0.15222169992595538,0.8062898495596941,0.8167356037462569,0.8516052560635651,0.9986378099240991,4.460583563137199e-17,-0.047765335464280814,-0.026397632941114513,-0.13586426086544534,0.8033695670547328,0.8416451646716834,0.8383039364467797,0.986972594101158,5.541991153837551e-17,0.1675899767940577
Ion NumberofProtons,-1.2393376049729137e-16,-3.317441155427015e-17,-1.0338980473838651e-17,1.4934706671028332e-16,1.9706118867695313e-16,1.249809463518096e-16,1.8981915996934832e-16,1.0,-4.764096909783739e-17,3.735259177363926e-16,2.1814952701269542e-16,3.716040219932323e-16,4.670356935946911e-16,-1.9253966984869567e-16,1.3782960472809435e-16,0.9915750195898918,1.251753114594699e-16,-4.3238546949310987e-16,2.751776846327895e-16,-4.657700750740731e-16,-6.513885635803855e-16,-2.635301949419545e-16,4.539002164047222e-16,0.8816384096281521,-5.867419130202638e-17,-3.408528893306653e-17,4.777005239964115e-16,3.124524504672147e-16,2.9296737294573316e-17,2.5376744068608677e-16,8.336210009607552e-16,-0.7264504387896964,1.2621993914733129e-16,4.2739379035247946e-16,5.414003058469634e-16,8.643438349038114e-17,8.310393250811094e-17,9.260873107805526e-17,7.810188423957695e-17,0.7934369695062409,2.845197461849031e-16,1.30398002064171e-16,9.081864701100665e-16,-2.086440740006148e-16,2.5976718000722355e-17,-5.867957117839138e-16,-1.457723547170218e-16,0.11031904836829445,-5.531076059794708e-16,-1.7040505881746008e-15,1.822178852111261e-15,-2.7881897431055026e-16,-1.3170496758023472e-16,-1.19969966827257e-16,8.8954481630073e-16,-0.05247667341984193,-2.5822980485695234e-18,1.8610380700641618e-16,5.936198552817106e-16,8.784080559858257e-17,-6.15140951986692e-17,1.5016047904684781e-16,5.178323344807868e-16,0.9975750439638131,4.936960770840088e-16,-8.730700801473257e-17,9.291610165492933e-16,-1.3850536922319952e-16,-1.3289695006434562e-16,-5.472111194389114e-17,5.4021784557436114e-17,0.34534523110824883,-0.10095181719455544
A1 NumberofNeutrons,0.9950645332122947,0.9512881268504565,0.05628529702598895,0.08835576014028633,0.08606984380435713,0.11109662984012515,0.047671405133093044,-4.764096909783739e-17,1.0,0.9551507930226284,0.05585374796742397,0.09107448520508019,0.08971883548819186,0.1178024176624122,0.05051313190586398,-2.3327988434460104e-16,0.9535318514722733,0.913652995747388,0.057735055125475464,0.08206266550318331,0.07819115794543532,0.0973920752991134,0.04166280854997004,-2.0172536641187356e-16,-0.7151113917068888,-0.6812210699836888,-0.05762859607321794,-0.07800792334939778,-0.07075762110341079,-0.09182576712878646,-0.04189828391846856,8.786365151453183e-17,0.9687715234067534,0.9297024324436116,0.05578685481252174,0.08561389159400554,0.08561086799455578,0.1097958139441065,0.04544431807048712,-1.5379439377460906e-16,0.918092446561695,0.878433190244017,0.057513498232787334,0.07155053451773087,0.06483745983648918,0.07702370066904717,0.03312949110811459,1.7660779458565623e-16,-0.8741084527547338,-0.8362088097090193,-0.04857059676256136,-0.06318461638820219,-0.055446386188767856,-0.061211432009945846,-0.025331405112548878,7.458149247748887e-17,0.9990538778708535,0.9546202461899321,0.056005132019710434,0.09009394767075125,0.08842335429600932,0.11535424957333953,0.049451971814523404,-2.0270993139322268e-16,-0.8002228430472094,-0.7664912354953618,-0.04843812937037681,0.08947825683585772,0.0812997863327381,0.0995695479785739,0.043140066051139014,-1.0085101383375284e-16,0.12211043229115415
A2 NumberofNeutrons,0.9553262123751428,0.9953927718196622,0.07363811521628888,0.09556574913603248,0.092917869659877,0.11215276526718872,0.044844921883560034,3.735259177363926e-16,0.9551507930226284,1.0,0.07239778869370761,0.0949606403874144,0.09337700104555063,0.11552487095721313,0.04495454523470682,1.6692679025183353e-16,0.9258390623328434,0.9554991235988105,0.07915572753694579,0.09474303174264893,0.09032171778467125,0.10416140438296252,0.04371872713835151,7.886974774805174e-18,-0.7047606149286224,-0.7105805645763988,-0.07854106120778503,-0.09961221599069452,-0.09145227211538917,-0.10708797928024445,-0.051252996060550476,-1.8940646106630726e-16,0.9204868755802215,0.9700283005125024,0.07221209531155681,0.08558316917151879,0.08557960686273304,0.10441114437577169,0.03767325801729015,5.640857432752758e-16,0.9015598850572129,0.9193268141967479,0.08304774187924761,0.09277165206782827,0.08524423954365454,0.0928478546106411,0.043308067668762856,-2.481926806735971e-17,-0.8641900728597527,-0.8748317933039375,-0.07994512274200148,-0.08751803436052322,-0.07889589134897632,-0.08089592666701728,-0.039283079138792164,-4.4673775706038416e-17,0.9563558584261314,0.9991190823408952,0.07282406241254218,0.09513091926968477,0.0931850395175859,0.11423357195047569,0.044836614952313496,2.0663148534281175e-16,-0.7872439775486086,-0.7998619181982399,-0.07983675292639009,0.10220264358930788,0.09284380466790239,0.10700718188689701,0.04570147363915294,3.6415149267678283e-16,0.13315864039945693
