,Adsorption energy(ev)
0,-7.004905301
1,0.395232218
2,-6.580689236
3,-5.557394705
4,2.60843733
5,-4.458869904
6,-2.617333558
7,-13.35827855
8,-6.304996168
9,0.779810172
10,-4.859987159
11,-4.392485732
12,2.445059067
13,-4.034477
14,-1.905821399
15,-11.40650088
16,-5.17872263
17,1.015365728
18,-4.279829728
19,-3.49526924
20,3.473451874
21,-5.440871128
22,-3.421779538
23,-8.81777966
24,-5.704848985
25,0.635692636
26,-3.757852566
27,-3.568199095
28,2.687744372
29,-5.57150012
30,-2.414699298
31,-8.249667964
32,-5.009409295
33,-0.791493568
34,-4.085265312
35,-3.565520716
36,1.699125694
37,-5.540833414
38,-3.383696489
39,-7.281970438
40,-5.823138684
41,3.960145741
42,-6.456937371
43,-5.465505127
44,4.019632806
45,-3.93656148
46,-1.165239062
47,-12.05045103
48,-4.837620745
49,2.712325345
50,-4.7944616
51,-3.706057036
52,3.564649558
53,-2.902772482
54,0.979513292
55,-10.73726054
56,-4.835109209
57,1.993860755
58,-4.0592526
59,-3.130610528
60,1.743814447
61,-5.048862204
62,0.819711006
63,-7.969858795
64,-4.946536375
65,1.486081694
66,-3.832383375
67,-3.136727376
68,1.686716454
69,-4.83766668
70,-2.535528963
71,-7.371474181
72,-5.45288103
73,1.685016226
74,-3.932141448
75,-3.026246548
76,0.728120344
77,-4.830825656
78,-0.377144758
79,-6.990481547
80,-6.554787557
81,1.915913626
82,-6.311196207
83,-4.949128579
84,5.509316862
85,-4.518664855
86,-1.565420384
87,-10.28486764
88,-5.3735389
89,3.55720975
90,-4.80816415
91,-3.86949971
92,5.47817885
93,-4.94571979
94,1.23410665
95,-9.54072205
96,-4.206627874
97,3.358963631
98,-3.582942889
99,-1.539424059
100,4.511224494
101,-5.108576069
102,1.051586031
103,-7.901793629
104,-4.177363034
105,2.711606316
106,-3.432426714
107,-2.158653524
108,3.871614902
109,-5.440170134
110,0.157720926
111,-7.102517924
112,-4.156004827
113,2.023505357
114,-3.406367253
115,-2.342525463
116,1.990576679
117,-4.928682183
118,0.133223657
119,-6.119350423
120,-1.832823251
121,3.777824511
122,-4.126512849
123,-2.909551746
124,3.340346276
125,-2.173177879
126,0.736065132
127,-9.31851394
128,-3.42729406
129,3.320645807
130,-3.148156847
131,-1.638127123
132,2.743092896
133,-2.166247802
134,1.335308003
135,-6.828724471
136,-3.065609443
137,2.939546259
138,-2.328286464
139,-1.588413507
140,1.604891496
141,-3.078479652
142,1.047394725
143,-5.213970046
144,-3.194760603
145,2.467942862
146,-2.477235817
147,-1.430853602
148,0.916937753
149,-3.469620368
150,0.647958628
151,-4.935473795
152,-3.46912126
153,1.810990162
154,-2.696562842
155,-1.730756807
156,-0.18753179
157,-4.141104151
158,-0.024211503
159,-4.50841377
160,-3.570627906
161,4.102531588
162,-4.083767235
163,-2.903680973
164,3.74102164
165,-3.452336443
166,0.8978442
167,-6.737654772
168,-3.558440376
169,3.073435172
170,-2.712853055
171,-1.082114588
172,2.897858813
173,-3.333193544
174,1.44977902
175,-7.033810301
176,-2.785538001
177,2.789252478
178,-2.005222748
179,-1.426904805
180,1.809931352
181,-3.170026684
182,0.894924069
183,-5.069294203
184,-3.106747692
185,2.474567052
186,-2.267498176
187,-1.543364145
188,1.130804147
189,-3.659855029
190,0.500923551
191,-4.555662785
192,-3.395961453
193,1.787664027
194,-2.523215937
195,-1.573896919
196,0.082758158
197,-4.300815756
198,-0.097658479
199,-3.962963901
200,-1.978120767
201,5.543178348
202,-1.4576378
203,-0.404929894
204,7.616963496
205,-0.967100768
206,3.664241832
207,-6.75585978
208,-3.011189235
209,2.722065432
210,-3.294370308
211,-1.850283128
212,4.651654694
213,-3.481745878
214,0.468407502
215,-6.276497898
216,-2.910459046
217,2.936111627
218,-2.114829393
219,-1.347507933
220,3.924587789
221,-3.353913902
222,-0.990926443
223,-4.543557333
224,-3.363021842
225,2.22468734
226,-2.448464564
227,-1.57032086
228,3.241874057
229,-4.034188503
230,0.27227112
231,-4.304684295
232,-3.431793228
233,1.63223874
234,-2.636412113
235,-1.69388896
236,2.234309434
237,-4.645400221
238,-0.40386581
239,-3.801940759
240,-2.413294925
241,3.869963956
242,-3.590281653
243,-2.148620555
244,2.994034966
245,-2.28355137
246,0.845324813
247,-8.084184434
248,-2.69097583
249,3.04515175
250,-2.444645671
251,-1.13538474
252,2.379115725
253,-2.804836729
254,1.206259149
255,-6.027392996
256,-2.883519491
257,2.42553591
258,-2.511643159
259,-1.197362063
260,1.205142169
261,-3.323796391
262,0.626367868
263,-4.606477943
264,-3.276503915
265,1.902425152
266,-2.399062965
267,-1.739525095
268,0.427206009
269,-4.042427897
270,0.178235606
271,-4.251472895
272,-3.491388277
273,0.953049684
274,-2.890156005
275,-1.885142082
276,-0.716067942
277,-4.818146053
278,-0.488243183
279,-3.878946863
280,-3.323534529
281,3.081298746
282,-3.609509759
283,-1.592874363
284,3.04119922
285,-2.675458383
286,0.487566449
287,-7.95174036
288,-2.839699997
289,2.558381046
290,-2.698761058
291,-1.233050877
292,2.309209146
293,-3.269812888
294,0.817946482
295,-5.461986229
296,-3.072908978
297,2.046885603
298,-2.563643288
299,-1.682443258
300,1.142216712
301,-3.924250679
302,0.265304223
303,-4.370440536
304,-3.283149653
305,1.654439228
306,-2.697407787
307,-1.687915478
308,0.364659654
309,-4.396521985
310,-0.142344015
311,-4.003351832
312,-3.618727929
313,1.01529827
314,-2.994156912
315,-1.863758247
316,-0.754693335
317,-5.17328642
318,-0.76016936
319,-3.52769741
320,-2.629859272
321,2.793518701
322,-3.396844849
323,-2.932110251
324,0.568969699
325,-3.481208078
326,0.41862778
327,-7.577180309
328,-3.208354722
329,2.339983328
330,-3.090886542
331,-2.235478592
332,3.194554868
333,-3.763210792
334,-1.367225082
335,-5.921768822
336,-3.251266291
337,1.961799659
338,-2.697098285
339,-1.937367321
340,2.155314893
341,-4.163995735
342,-0.081841731
343,-4.255445634
344,-3.422556462
345,1.50145417
346,-2.839820998
347,-2.024826475
348,1.449149644
349,-4.922604798
350,-0.49769957
351,-3.763873228
352,-3.585963918
353,0.712497018
354,-3.10960854
355,-1.988023562
356,0.267880575
357,-5.670890481
358,-1.042678632
359,-3.320683492
360,-2.896874273
361,1.946509322
362,-3.263341069
363,-2.519109838
364,2.153486384
365,-3.5020574
366,-0.311828017
367,-6.673732386
368,-3.339728773
369,1.283746535
370,-2.911618234
371,-2.244245986
372,1.308457481
373,-4.087381641
374,-0.045381935
375,-4.868616741
376,-3.570042727
377,0.615274524
378,-3.000425173
379,-2.169208992
380,-0.063778507
381,-4.819501567
382,-0.690465708
383,-4.088727741
384,-3.6995217
385,0.499425599
386,-3.156836351
387,-1.991794827
388,-0.617390147
389,-5.108031851
390,-0.97442747
391,-3.602593513
392,-3.995653647
393,-0.083450109
394,-3.257371416
395,-2.272015647
396,-1.674917321
397,-3.89216521
398,-1.578579333
399,-3.219533915
400,-3.043420917
401,1.348589968
402,-3.508765594
403,-1.509997419
404,1.590966762
405,-4.046300787
406,0.110027942
407,-6.766782712
408,-3.755186833
409,1.123357933
410,-3.202380854
411,-1.867441781
412,0.7145222
413,-4.426068347
414,-0.511066085
415,-4.883217029
416,-3.794548876
417,0.310069093
418,-3.20444936
419,-2.397775014
420,-0.646758806
421,-5.28423727
422,-1.068761305
423,-3.846102305
424,-3.778757961
425,0.083589941
426,-3.126879175
427,-2.208251047
428,-1.133500626
429,-5.615487243
430,-1.411099095
431,-3.323739068
432,-4.064306744
433,-0.606153225
434,-3.382505205
435,-2.638980799
436,-2.188401622
437,-6.258671298
438,-2.045388142
439,-2.926091521
440,-3.316989417
441,0.416587415
442,-3.95060446
443,-3.288874495
444,1.872285546
445,-4.633142635
446,-0.904787285
447,-5.775736413
448,-3.6735151
449,0.81813289
450,-3.25716876
451,-2.08767269
452,-1.84506027
453,-4.98395128
454,-0.79706633
455,-4.42943892
456,-3.93326822
457,0.28093726
458,-3.24094263
