,A1 NumberofProtons,X3 NumberofProtons,X4 NumberofProtons,Ion NumberofProtons,A1 NumberofNeutrons,X4 NumberofNeutrons,Ion NumberofNeutrons,A1 Number of Shells,X3 Number of Shells,A1 Specific Heat,A2 Specific Heat,X3 Specific Heat,X4 Specific Heat,Ion Specific Heat,A2 Density,X2 Density,Ion Density,A1 AtomicRadius,X4 AtomicRadius,Ion AtomicRadius,A1 Firstlonization,A2 Firstlonization,X3 Firstlonization,X4 Firstlonization,Ion Firstlonization,A2  AtomicMass,B  AtomicMass,X4 AtomicMass,Ion AtomicMass,A1 Melting Point,A2 Melting Point,X1 Melting Point,X3 Melting Point,Ion Melting Point,Without ion Final Energy(ev),With ion Final Energy(ev),Ion Energy(ev),8,16,52,Adsorption energy(ev)
0,3,9,9,3,4,10,4,2,2,3.582,3.582,0.824,0.824,3.582,0.534,0.0017,0.534,2.1,0.57,2.1,5.3917,5.3917,17.4228,17.4228,5.3917,6.941,72.64,18.998,6.941,453.85,453.85,53.63,53.63,453.85,-5587.936867,-5794.989672,-200.0479,0.571428571,0.0,0.0,-7.004905301
1,3,9,9,30,4,10,35,2,2,3.582,3.582,0.824,0.824,0.388,0.534,0.0017,7.13,2.1,0.57,1.5,5.3917,5.3917,17.4228,17.4228,9.3942,6.941,72.64,18.998,65.38,453.85,453.85,53.63,53.63,692.88,-5587.936867,-7623.125935,-2035.5843,0.571428571,0.0,0.0,0.395232218
2,3,9,9,19,4,10,20,2,2,3.582,3.582,0.824,0.824,0.757,0.534,0.0017,0.862,2.1,0.57,2.8,5.3917,5.3917,17.4228,17.4228,4.3407,6.941,72.64,18.998,39.098,453.85,453.85,53.63,53.63,336.5,-5587.936867,-6384.870656,-790.3531,0.571428571,0.0,0.0,-6.580689236
3,3,9,9,11,4,10,12,2,2,3.582,3.582,0.824,0.824,1.228,0.534,0.0017,0.971,2.1,0.57,2.2,5.3917,5.3917,17.4228,17.4228,5.1391,6.941,72.64,18.998,22.99,453.85,453.85,53.63,53.63,371.15,-5587.936867,-6897.675262,-1304.181,0.571428571,0.0,0.0,-5.557394705
4,3,9,9,13,4,10,14,2,2,3.582,3.582,0.824,0.824,0.897,0.534,0.0017,2.7,2.1,0.57,1.8,5.3917,5.3917,17.4228,17.4228,5.9858,6.941,72.64,18.998,26.982,453.85,453.85,53.63,53.63,933.4,-5587.936867,-5692.45863,-107.1302,0.571428571,0.0,0.0,2.60843733
5,3,9,9,20,4,10,20,2,2,3.582,3.582,0.824,0.824,0.647,0.534,0.0017,1.54,2.1,0.57,2.2,5.3917,5.3917,17.4228,17.4228,6.1132,6.941,72.64,18.998,40.078,453.85,453.85,53.63,53.63,1112.15,-5587.936867,-6594.735537,-1002.3398,0.571428571,0.0,0.0,-4.458869904
6,3,9,9,12,4,10,12,2,2,3.582,3.582,0.824,0.824,1.023,0.534,0.0017,1.74,2.1,0.57,1.7,5.3917,5.3917,17.4228,17.4228,7.6462,6.941,72.64,18.998,24.305,453.85,453.85,53.63,53.63,923.15,-5587.936867,-7278.8457,-1688.2915,0.571428571,0.0,0.0,-2.617333558
7,3,9,9,9,4,10,10,2,2,3.582,3.582,0.824,0.824,0.824,0.534,0.0017,0.0017,2.1,0.57,0.57,5.3917,5.3917,17.4228,17.4228,17.4228,6.941,72.64,18.998,18.998,453.85,453.85,53.63,53.63,53.63,-5587.936867,-6258.054445,-656.7593,0.571428571,0.0,0.0,-13.35827855
8,11,9,9,3,12,10,4,3,2,1.228,1.228,0.824,0.824,3.582,0.971,0.0017,0.534,2.2,0.57,2.1,5.1391,5.1391,17.4228,17.4228,5.3917,22.99,72.64,18.998,6.941,371.15,371.15,53.63,53.63,453.85,-7794.302965,-8000.655861,-200.0479,0.571428571,0.0,0.0,-6.304996168
9,11,9,9,30,12,10,35,3,2,1.228,1.228,0.824,0.824,0.388,0.971,0.0017,7.13,2.2,0.57,1.5,5.1391,5.1391,17.4228,17.4228,9.3942,22.99,72.64,18.998,65.38,371.15,371.15,53.63,53.63,692.88,-7794.302965,-9829.107455,-2035.5843,0.571428571,0.0,0.0,0.779810172
10,11,9,9,19,12,10,20,3,2,1.228,1.228,0.824,0.824,0.757,0.971,0.0017,0.862,2.2,0.57,2.8,5.1391,5.1391,17.4228,17.4228,4.3407,22.99,72.64,18.998,39.098,371.15,371.15,53.63,53.63,336.5,-7794.302965,-8589.516052,-790.3531,0.571428571,0.0,0.0,-4.859987159
11,11,9,9,11,12,10,12,3,2,1.228,1.228,0.824,0.824,1.228,0.971,0.0017,0.971,2.2,0.57,2.2,5.1391,5.1391,17.4228,17.4228,5.1391,22.99,72.64,18.998,22.99,371.15,371.15,53.63,53.63,371.15,-7794.302965,-9102.876451,-1304.181,0.571428571,0.0,0.0,-4.392485732
12,11,9,9,13,12,10,14,3,2,1.228,1.228,0.824,0.824,0.897,0.971,0.0017,2.7,2.2,0.57,1.8,5.1391,5.1391,17.4228,17.4228,5.9858,22.99,72.64,18.998,26.982,371.15,371.15,53.63,53.63,933.4,-7794.302965,-7898.988106,-107.1302,0.571428571,0.0,0.0,2.445059067
13,11,9,9,20,12,10,20,3,2,1.228,1.228,0.824,0.824,0.647,0.971,0.0017,1.54,2.2,0.57,2.2,5.1391,5.1391,17.4228,17.4228,6.1132,22.99,72.64,18.998,40.078,371.15,371.15,53.63,53.63,1112.15,-7794.302965,-8800.677242,-1002.3398,0.571428571,0.0,0.0,-4.034477
14,11,9,9,12,12,10,12,3,2,1.228,1.228,0.824,0.824,1.023,0.971,0.0017,1.74,2.2,0.57,1.7,5.1391,5.1391,17.4228,17.4228,7.6462,22.99,72.64,18.998,24.305,371.15,371.15,53.63,53.63,923.15,-7794.302965,-9484.500286,-1688.2915,0.571428571,0.0,0.0,-1.905821399
15,11,9,9,9,12,10,10,3,2,1.228,1.228,0.824,0.824,0.824,0.971,0.0017,0.0017,2.2,0.57,0.57,5.1391,5.1391,17.4228,17.4228,17.4228,22.99,72.64,18.998,18.998,371.15,371.15,53.63,53.63,53.63,-7794.302965,-8462.468766,-656.7593,0.571428571,0.0,0.0,-11.40650088
16,19,9,9,3,20,10,4,4,2,0.757,0.757,0.824,0.824,3.582,0.862,0.0017,0.534,2.8,0.57,2.1,4.3407,4.3407,17.4228,17.4228,5.3917,39.098,72.64,18.998,6.941,336.5,336.5,53.63,53.63,453.85,-6768.966846,-6974.193469,-200.0479,0.571428571,0.0,0.0,-5.17872263
17,19,9,9,30,20,10,35,4,2,0.757,0.757,0.824,0.824,0.388,0.862,0.0017,7.13,2.8,0.57,1.5,4.3407,4.3407,17.4228,17.4228,9.3942,39.098,72.64,18.998,65.38,336.5,336.5,53.63,53.63,692.88,-6768.966846,-8803.53578,-2035.5843,0.571428571,0.0,0.0,1.015365728
18,19,9,9,19,20,10,20,4,2,0.757,0.757,0.824,0.824,0.757,0.862,0.0017,0.862,2.8,0.57,2.8,4.3407,4.3407,17.4228,17.4228,4.3407,39.098,72.64,18.998,39.098,336.5,336.5,53.63,53.63,336.5,-6768.966846,-7563.599776,-790.3531,0.571428571,0.0,0.0,-4.279829728
19,19,9,9,11,20,10,12,4,2,0.757,0.757,0.824,0.824,1.228,0.862,0.0017,0.971,2.8,0.57,2.2,4.3407,4.3407,17.4228,17.4228,5.1391,39.098,72.64,18.998,22.99,336.5,336.5,53.63,53.63,371.15,-6768.966846,-8076.643115,-1304.181,0.571428571,0.0,0.0,-3.49526924
20,19,9,9,13,20,10,14,4,2,0.757,0.757,0.824,0.824,0.897,0.862,0.0017,2.7,2.8,0.57,1.8,4.3407,4.3407,17.4228,17.4228,5.9858,39.098,72.64,18.998,26.982,336.5,336.5,53.63,53.63,933.4,-6768.966846,-6872.623594,-107.1302,0.571428571,0.0,0.0,3.473451874
21,19,9,9,20,20,10,20,4,2,0.757,0.757,0.824,0.824,0.647,0.862,0.0017,1.54,2.8,0.57,2.2,4.3407,4.3407,17.4228,17.4228,6.1132,39.098,72.64,18.998,40.078,336.5,336.5,53.63,53.63,1112.15,-6768.966846,-7776.747517,-1002.3398,0.571428571,0.0,0.0,-5.440871128
22,19,9,9,12,20,10,12,4,2,0.757,0.757,0.824,0.824,1.023,0.862,0.0017,1.74,2.8,0.57,1.7,4.3407,4.3407,17.4228,17.4228,7.6462,39.098,72.64,18.998,24.305,336.5,336.5,53.63,53.63,923.15,-6768.966846,-8460.680126,-1688.2915,0.571428571,0.0,0.0,-3.421779538
23,19,9,9,9,20,10,10,4,2,0.757,0.757,0.824,0.824,0.824,0.862,0.0017,0.0017,2.8,0.57,0.57,4.3407,4.3407,17.4228,17.4228,17.4228,39.098,72.64,18.998,18.998,336.5,336.5,53.63,53.63,53.63,-6768.966846,-7434.543926,-656.7593,0.571428571,0.0,0.0,-8.81777966
24,37,9,9,3,48,10,4,5,2,0.363,0.363,0.824,0.824,3.582,1.53,0.0017,0.534,3.0,0.57,2.1,4.1771,4.1771,17.4228,17.4228,5.3917,85.468,72.64,18.998,6.941,312.79,312.79,53.63,53.63,453.85,-6567.604186,-6773.356935,-200.0479,0.571428571,0.0,0.0,-5.704848985
25,37,9,9,30,48,10,35,5,2,0.363,0.363,0.824,0.824,0.388,1.53,0.0017,7.13,3.0,0.57,1.5,4.1771,4.1771,17.4228,17.4228,9.3942,85.468,72.64,18.998,65.38,312.79,312.79,53.63,53.63,692.88,-6567.604186,-8602.552793,-2035.5843,0.571428571,0.0,0.0,0.635692636
26,37,9,9,19,48,10,20,5,2,0.363,0.363,0.824,0.824,0.757,1.53,0.0017,0.862,3.0,0.57,2.8,4.1771,4.1771,17.4228,17.4228,4.3407,85.468,72.64,18.998,39.098,312.79,312.79,53.63,53.63,336.5,-6567.604186,-7361.715139,-790.3531,0.571428571,0.0,0.0,-3.757852566
27,37,9,9,11,48,10,12,5,2,0.363,0.363,0.824,0.824,1.228,1.53,0.0017,0.971,3.0,0.57,2.2,4.1771,4.1771,17.4228,17.4228,5.1391,85.468,72.64,18.998,22.99,312.79,312.79,53.63,53.63,371.15,-6567.604186,-7875.353385,-1304.181,0.571428571,0.0,0.0,-3.568199095
28,37,9,9,13,48,10,14,5,2,0.363,0.363,0.824,0.824,0.897,1.53,0.0017,2.7,3.0,0.57,1.8,4.1771,4.1771,17.4228,17.4228,5.9858,85.468,72.64,18.998,26.982,312.79,312.79,53.63,53.63,933.4,-6567.604186,-6672.046642,-107.1302,0.571428571,0.0,0.0,2.687744372
29,37,9,9,20,48,10,20,5,2,0.363,0.363,0.824,0.824,0.647,1.53,0.0017,1.54,3.0,0.57,2.2,4.1771,4.1771,17.4228,17.4228,6.1132,85.468,72.64,18.998,40.078,312.79,312.79,53.63,53.63,1112.15,-6567.604186,-7575.515486,-1002.3398,0.571428571,0.0,0.0,-5.57150012
30,37,9,9,12,48,10,12,5,2,0.363,0.363,0.824,0.824,1.023,1.53,0.0017,1.74,3.0,0.57,1.7,4.1771,4.1771,17.4228,17.4228,7.6462,85.468,72.64,18.998,24.305,312.79,312.79,53.63,53.63,923.15,-6567.604186,-8258.310385,-1688.2915,0.571428571,0.0,0.0,-2.414699298
31,37,9,9,9,48,10,10,5,2,0.363,0.363,0.824,0.824,0.824,1.53,0.0017,0.0017,3.0,0.57,0.57,4.1771,4.1771,17.4228,17.4228,17.4228,85.468,72.64,18.998,18.998,312.79,312.79,53.63,53.63,53.63,-6567.604186,-7232.613154,-656.7593,0.571428571,0.0,0.0,-8.249667964
32,55,9,9,3,78,10,4,6,2,0.242,0.242,0.824,0.824,3.582,1.87,0.0017,0.534,3.3,0.57,2.1,3.8939,3.8939,17.4228,17.4228,5.3917,132.905,72.64,18.998,6.941,301.7,301.7,53.63,53.63,453.85,-6737.099574,-6942.156883,-200.0479,0.571428571,0.0,0.0,-5.009409295
33,55,9,9,30,78,10,35,6,2,0.242,0.242,0.824,0.824,0.388,1.87,0.0017,7.13,3.3,0.57,1.5,3.8939,3.8939,17.4228,17.4228,9.3942,132.905,72.64,18.998,65.38,301.7,301.7,53.63,53.63,692.88,-6737.099574,-8773.475368,-2035.5843,0.571428571,0.0,0.0,-0.791493568
34,55,9,9,19,78,10,20,6,2,0.242,0.242,0.824,0.824,0.757,1.87,0.0017,0.862,3.3,0.57,2.8,3.8939,3.8939,17.4228,17.4228,4.3407,132.905,72.64,18.998,39.098,301.7,301.7,53.63,53.63,336.5,-6737.099574,-7531.537939,-790.3531,0.571428571,0.0,0.0,-4.085265312
35,55,9,9,11,78,10,12,6,2,0.242,0.242,0.824,0.824,1.228,1.87,0.0017,0.971,3.3,0.57,2.2,3.8939,3.8939,17.4228,17.4228,5.1391,132.905,72.64,18.998,22.99,301.7,301.7,53.63,53.63,371.15,-6737.099574,-8044.846095,-1304.181,0.571428571,0.0,0.0,-3.565520716
36,55,9,9,13,78,10,14,6,2,0.242,0.242,0.824,0.824,0.897,1.87,0.0017,2.7,3.3,0.57,1.8,3.8939,3.8939,17.4228,17.4228,5.9858,132.905,72.64,18.998,26.982,301.7,301.7,53.63,53.63,933.4,-6737.099574,-6842.530648,-107.1302,0.571428571,0.0,0.0,1.699125694
37,55,9,9,20,78,10,20,6,2,0.242,0.242,0.824,0.824,0.647,1.87,0.0017,1.54,3.3,0.57,2.2,3.8939,3.8939,17.4228,17.4228,6.1132,132.905,72.64,18.998,40.078,301.7,301.7,53.63,53.63,1112.15,-6737.099574,-7744.980207,-1002.3398,0.571428571,0.0,0.0,-5.540833414
38,55,9,9,12,78,10,12,6,2,0.242,0.242,0.824,0.824,1.023,1.87,0.0017,1.74,3.3,0.57,1.7,3.8939,3.8939,17.4228,17.4228,7.6462,132.905,72.64,18.998,24.305,301.7,301.7,53.63,53.63,923.15,-6737.099574,-8428.774771,-1688.2915,0.571428571,0.0,0.0,-3.383696489
39,55,9,9,9,78,10,10,6,2,0.242,0.242,0.824,0.824,0.824,1.87,0.0017,0.0017,3.3,0.57,0.57,3.8939,3.8939,17.4228,17.4228,17.4228,132.905,72.64,18.998,18.998,301.7,301.7,53.63,53.63,53.63,-6737.099574,-7401.140844,-656.7593,0.571428571,0.0,0.0,-7.281970438
40,3,9,9,3,4,10,4,2,2,3.582,3.582,0.824,0.824,3.582,0.534,0.0017,0.534,2.1,0.57,2.1,5.3917,5.3917,17.4228,17.4228,5.3917,6.941,118.71,18.998,6.941,453.85,453.85,53.63,53.63,453.85,-5099.530655,-5305.401694,-200.0479,0.571428571,0.0,0.0,-5.823138684
41,3,9,9,30,4,10,35,2,2,3.582,3.582,0.824,0.824,0.388,0.534,0.0017,7.13,2.1,0.57,1.5,5.3917,5.3917,17.4228,17.4228,9.3942,6.941,118.71,18.998,65.38,453.85,453.85,53.63,53.63,692.88,-5099.530655,-7131.15481,-2035.5843,0.571428571,0.0,0.0,3.960145741
42,3,9,9,19,4,10,20,2,2,3.582,3.582,0.824,0.824,0.757,0.534,0.0017,0.862,2.1,0.57,2.8,5.3917,5.3917,17.4228,17.4228,4.3407,6.941,118.71,18.998,39.098,453.85,453.85,53.63,53.63,336.5,-5099.530655,-5896.340693,-790.3531,0.571428571,0.0,0.0,-6.456937371
43,3,9,9,11,4,10,12,2,2,3.582,3.582,0.824,0.824,1.228,0.534,0.0017,0.971,2.1,0.57,2.2,5.3917,5.3917,17.4228,17.4228,5.1391,6.941,118.71,18.998,22.99,453.85,453.85,53.63,53.63,371.15,-5099.530655,-6409.177161,-1304.181,0.571428571,0.0,0.0,-5.465505127
44,3,9,9,13,4,10,14,2,2,3.582,3.582,0.824,0.824,0.897,0.534,0.0017,2.7,2.1,0.57,1.8,5.3917,5.3917,17.4228,17.4228,5.9858,6.941,118.71,18.998,26.982,453.85,453.85,53.63,53.63,933.4,-5099.530655,-5202.641223,-107.1302,0.571428571,0.0,0.0,4.019632806
45,3,9,9,20,4,10,20,2,2,3.582,3.582,0.824,0.824,0.647,0.534,0.0017,1.54,2.1,0.57,2.2,5.3917,5.3917,17.4228,17.4228,6.1132,6.941,118.71,18.998,40.078,453.85,453.85,53.63,53.63,1112.15,-5099.530655,-6105.807017,-1002.3398,0.571428571,0.0,0.0,-3.93656148
46,3,9,9,12,4,10,12,2,2,3.582,3.582,0.824,0.824,1.023,0.534,0.0017,1.74,2.1,0.57,1.7,5.3917,5.3917,17.4228,17.4228,7.6462,6.941,118.71,18.998,24.305,453.85,453.85,53.63,53.63,923.15,-5099.530655,-6788.987394,-1688.2915,0.571428571,0.0,0.0,-1.165239062
47,3,9,9,9,4,10,10,2,2,3.582,3.582,0.824,0.824,0.824,0.534,0.0017,0.0017,2.1,0.57,0.57,5.3917,5.3917,17.4228,17.4228,17.4228,6.941,118.71,18.998,18.998,453.85,453.85,53.63,53.63,53.63,-5099.530655,-5768.340406,-656.7593,0.571428571,0.0,0.0,-12.05045103
48,11,9,9,3,12,10,4,3,2,1.228,1.228,0.824,0.824,3.582,0.971,0.0017,0.534,2.2,0.57,2.1,5.1391,5.1391,17.4228,17.4228,5.3917,22.99,118.71,18.998,6.941,371.15,371.15,53.63,53.63,453.85,-7305.485436,-7510.370957,-200.0479,0.571428571,0.0,0.0,-4.837620745
49,11,9,9,30,12,10,35,3,2,1.228,1.228,0.824,0.824,0.388,0.971,0.0017,7.13,2.2,0.57,1.5,5.1391,5.1391,17.4228,17.4228,9.3942,22.99,118.71,18.998,65.38,371.15,371.15,53.63,53.63,692.88,-7305.485436,-9338.357411,-2035.5843,0.571428571,0.0,0.0,2.712325345
50,11,9,9,19,12,10,20,3,2,1.228,1.228,0.824,0.824,0.757,0.971,0.0017,0.862,2.2,0.57,2.8,5.1391,5.1391,17.4228,17.4228,4.3407,22.99,118.71,18.998,39.098,371.15,371.15,53.63,53.63,336.5,-7305.485436,-8100.632998,-790.3531,0.571428571,0.0,0.0,-4.7944616
51,11,9,9,11,12,10,12,3,2,1.228,1.228,0.824,0.824,1.228,0.971,0.0017,0.971,2.2,0.57,2.2,5.1391,5.1391,17.4228,17.4228,5.1391,22.99,118.71,18.998,22.99,371.15,371.15,53.63,53.63,371.15,-7305.485436,-8613.372493,-1304.181,0.571428571,0.0,0.0,-3.706057036
52,11,9,9,13,12,10,14,3,2,1.228,1.228,0.824,0.824,0.897,0.971,0.0017,2.7,2.2,0.57,1.8,5.1391,5.1391,17.4228,17.4228,5.9858,22.99,118.71,18.998,26.982,371.15,371.15,53.63,53.63,933.4,-7305.485436,-7409.050987,-107.1302,0.571428571,0.0,0.0,3.564649558
