,A1 NumberofProtons,A2 NumberofProtons,B NumberofProtons,X1 NumberofProtons,X2 NumberofProtons,X3 NumberofProtons,X4 NumberofProtons,Ion NumberofProtons,A1 NumberofNeutrons,A2 NumberofNeutrons,B NumberofNeutrons,X1 NumberofNeutrons,X2 NumberofNeutrons,X3 NumberofNeutrons,X4 NumberofNeutrons,Ion NumberofNeutrons,A1 Number of Shells,A2 Number of Shells,B Number of Shells,X1 Number of Shells,X2 Number of Shells,X3 Number of Shells,X4 Number of Shells,Ion Number of Shells,A1 Specific Heat,A2 Specific Heat,B Specific Heat,X1 Specific Heat,X2 Specific Heat,X3 Specific Heat,X4 Specific Heat,Ion Specific Heat,A1 Density,A2 Density,B Density,X1 Density,X2 Density,X3 Density,X4 Density,Ion Density,A1 AtomicRadius,A2 AtomicRadius,B AtomicRadius,X1 AtomicRadius,X2 AtomicRadius,X3 AtomicRadius,X4 AtomicRadius,Ion AtomicRadius,A1 Firstlonization,A2 Firstlonization,B Firstlonization,X1 Firstlonization,X2 Firstlonization,X3 Firstlonization,X4 Firstlonization,Ion Firstlonization,A1 AtomicMass,A2  AtomicMass,B  AtomicMass,X1 AtomicMass,X2 AtomicMass,X3 AtomicMass,X4 AtomicMass,Ion AtomicMass,A1 Melting Point,A2 Melting Point,B Melting Point,X1 Melting Point,X2 Melting Point,X3 Melting Point,X4 Melting Point,Ion Melting Point,Without ion Final Energy(ev),With ion Final Energy(ev),Ion Energy(ev),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,Adsorption energy(ev)
A1 NumberofProtons,1.0,0.9598977172284654,0.06006709426425329,0.08460013279250927,0.08325243934646484,0.11334494302838088,0.049712502767093214,3.090460185428641e-17,0.995064533212295,0.9553262123751419,0.05965362849923961,0.08741309959430744,0.08661850859731689,0.11969316170355337,0.052165314019968295,2.19781936658228e-17,0.9785855658855189,0.9395557259650783,0.061361989213427955,0.07820247708885585,0.07588782553344081,0.10021035851290129,0.04433876082350585,5.130097393414788e-17,-0.7746077051576432,-0.7374432838197005,-0.061281497925799,-0.07470178257158772,-0.07023832959714979,-0.09582968944041359,-0.046535146475155165,-3.89872735598697e-17,0.9722203070015045,0.9371937569901357,0.059589080921430525,0.08184040417317225,0.08183862784535352,0.11105104943333993,0.04610677197000466,-5.756905569718253e-19,0.9471220189964639,0.9077932237514627,0.06083418932498265,0.06782124977870387,0.06369719215573491,0.08078756900875268,0.037086812621891944,2.0824233379123908e-17,-0.9143189119865802,-0.8752968356949977,-0.05069142537335843,-0.05946903612275553,-0.054651311112737126,-0.06523034295364857,-0.02955186430779538,2.2930982004173594e-17,0.9984241714047078,0.9584850088010238,0.059799283794514255,0.08639223951174262,0.08541124447142498,0.11736623937463823,0.05122946932014233,4.6790614653494245e-17,-0.8533679144476848,-0.8172540268813767,-0.050545533253913824,0.0863047692904218,0.08119204735645287,0.10253635824072442,0.04608557115242129,1.0675259144901754e-16,-0.11913689028546649,-0.11225984383991397,-1.88181067030444e-17,,,-0.5826160988270437,,,,,,-0.022751535069644568,,-0.3665742439988347,,,,,,-0.04261102200651578,,-0.16545116697494744,,,,,,,,,,,,,-0.054550886119315564,,,-0.04627347715233628,,0.34949996837531383,,,,,,,,,,,,,0.0024560820199455878,,,0.11483280433109956,,0.7855373427500026,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05157772241885729,,,,,,,,,,,,,,,,,,,,,,-0.04688257675686143
A2 NumberofProtons,0.9598977172284654,1.0,0.07041360860542137,0.08954803043120206,0.08777914549082112,0.11215417050609855,0.04406234747749862,5.720260683890506e-17,0.9512881268504554,0.9953927718196605,0.06921422602294659,0.08914145691609064,0.08808381750400346,0.11532349294863231,0.043952357762229985,5.689192290124653e-17,0.9475554830828602,0.9792439423755208,0.07576124578985188,0.08851236374824975,0.08554901836851969,0.10452986495059553,0.04334563064400212,-8.941078534489409e-17,-0.7562504742296596,-0.768341667846199,-0.07516409011876905,-0.09234609395405255,-0.08678598457863929,-0.10701519536235544,-0.051079948873194704,4.7438035887718294e-17,0.9242621985454984,0.972919965762798,0.0690347216224089,0.08069493684756483,0.08069255139725769,0.10458122928495135,0.036744107656908734,-7.357916098385655e-18,0.9262930288414362,0.9473398818089066,0.07956556571039572,0.0861597130708246,0.08105455376956615,0.09352024241344675,0.043512978508508236,-1.4623905090854099e-18,-0.8984876404304029,-0.9136913482149307,-0.07676889033956621,-0.08110435522176816,-0.07521939110190408,-0.08192787387841412,-0.039875892944519625,1.5029819592379679e-18,0.956176384731725,0.9985255566886673,0.0696263487288708,0.08924838218987763,0.08794888969946787,0.11411182911716942,0.04391392199002552,2.0107996626809373e-17,-0.8331642782616612,-0.8513083709700008,-0.0766665505567357,0.09638728960715427,0.08992048109926117,0.10724172187335766,0.045292508170788316,3.072384134053176e-17,-0.10439165622113626,-0.09837218551464355,1.9822641348043537e-17,,,-0.5878761813447028,,,,,,-0.05106956040485894,,-0.38232506898641533,,,,,,-0.01411399570468154,,-0.13381825734428238,,,,,,,,,,,,,-0.07915742504213572,,,-0.03353049129507387,,0.3388167502039108,,,,,,,,,,,,,0.026419783952365983,,,0.10167569240246714,,0.7854849208744418,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05198731680949445,,,,,,,,,,,,,,,,,,,,,,-0.04500320454801655
B NumberofProtons,0.06006709426425329,0.07041360860542137,1.0,0.12474380606697362,0.1345058318613809,0.12694549890525839,0.15309553437556866,1.3098370532734783e-16,0.056285297025988876,0.0736381152162889,0.9995525218609947,0.12389168906367967,0.12972484290369396,0.12498109838668886,0.15838990804194159,1.1259584758822212e-16,0.06585644065837636,0.060742565040346905,0.9870706831527135,0.12435171990378607,0.14052474412130014,0.12886193210454902,0.1411712676302535,-3.621955527185774e-16,-0.05960451655418904,-0.027752920420230722,-0.990258420681247,-0.1010562393019011,-0.1289802774058799,-0.09378241935354066,-0.12072173348315282,7.799688038479888e-17,0.05333260029130444,0.06950315940366261,0.9994130066232573,0.1292223881011593,0.1292354841099202,0.13798472576003737,0.15604906204989683,-4.1638129724093995e-17,0.0700083617951394,0.058529476420427794,0.9384540084494926,0.11423739389875448,0.14067251546941284,0.11799315316187788,0.11671786756209543,5.810243405423602e-17,-0.07139229771099861,-0.05113477853159613,-0.6877118757158495,-0.11121085440825411,-0.14088633858819524,-0.11798096957905775,-0.10067721510256296,-6.231149052634522e-18,0.058021051842472436,0.07241175378296134,0.9998037630008079,0.12442979135837291,0.1316041192906099,0.1260393673615263,0.1565954494315708,1.668862337518534e-17,-0.06476031659625471,-0.03837085710136553,-0.6846645670417278,0.11911413212694433,0.14938168036986707,0.12358154567105606,0.14106978009529345,6.872114774337356e-18,-0.7531599187259558,-0.7091817730438218,7.963734939898811e-17,,,-0.028097424564802943,,,,,,-0.09258579516277246,,-0.04199175539355161,,,,,,-0.07751826178480202,,-0.01099922002675282,,,,,,,,,,,,,-0.7711966938907592,,,0.076320520862037,,0.03519897143283001,,,,,,,,,,,,,-0.17109677410984173,,,0.0965440552474869,,0.04711658873389962,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9349833817517597,,,,,,,,,,,,,,,,,,,,,,0.010725142864002491
X1 NumberofProtons,0.08460013279250927,0.08954803043120206,0.12474380606697362,1.0,0.9981521282732867,0.9439909844489297,0.8062319473492888,9.514286661602162e-17,0.08835576014028633,0.09556574913603248,0.12347668838238397,0.9963182751319908,0.9952125130330669,0.9398360172643373,0.7982098709772735,3.3093559226125057e-16,0.0750939665193042,0.07586998161281208,0.12962167528719176,0.9893943566639911,0.9860281780576264,0.9362291432308971,0.8078291151254765,-1.6532609755057097e-15,-0.044686371218518164,-0.03036785247524903,-0.12916716096513137,-0.9054487305190384,-0.8944820311471113,-0.8588211443465217,-0.7493921521261927,1.0017339393762969e-16,0.08005364876262129,0.07887765230698086,0.12328329507942196,0.9764755166998031,0.9764733462248557,0.9240530360655448,0.7799574057031767,-9.398042839587244e-17,0.07095732208665201,0.07448218432902892,0.13105337586050247,0.9286618649885134,0.9204306133823359,0.8816356413246165,0.7717735336523636,1.0994702897043092e-16,-0.06395655553352286,-0.06438588261900367,-0.11518631295911903,-0.8870110236646409,-0.8765147948463654,-0.8426921963643524,-0.7403736851108284,-2.6540526725161415e-16,0.08671439727353072,0.09285693204140684,0.12391712671280512,0.9984431071083331,0.997096742638144,0.9420471709616728,0.8015810189369602,2.427452451844636e-16,-0.053193452349987076,-0.043007532114581554,-0.11492258527745353,0.9800765772688267,0.9646617473920225,0.9330230022737008,0.8061183995338718,4.0897739781993893e-16,-0.20593106565198005,-0.1939566415244003,1.9131200358028758e-17,,,-0.01902624030478358,,,,,,-0.6697371392581234,,-0.0355285915895447,,,,,,-0.35844124410267636,,-0.029454043592472758,,,,,,,,,,,,,-0.12198083273699827,,,0.2468178419527786,,-0.026792052674082988,,,,,,,,,,,,,0.018554342468514964,,,0.8048330323997662,,0.11377447988537401,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10227024774945166,,,,,,,,,,,,,,,,,,,,,,-0.02772964119294713
X2 NumberofProtons,0.08325243934646484,0.08777914549082112,0.1345058318613809,0.9981521282732867,1.0,0.9521062282342936,0.8204267952488777,1.0171185119604175e-16,0.08606984380435716,0.09291786965987724,0.13332966058853313,0.9951700572313469,0.9962756658552936,0.947631207946389,0.8126016020093987,3.4067910644850187e-16,0.07590659456426524,0.07619309811097505,0.1387467422134775,0.9863944173883484,0.9891511880103421,0.9448211833714797,0.8214280643602181,-1.6740992914447972e-15,-0.0478668099990166,-0.03309492505229237,-0.13839040190011537,-0.9009180283629374,-0.9008153346455301,-0.8646308120416857,-0.7624296916315905,1.0649631931817499e-16,0.07670482570420296,0.07507396124775322,0.1331487536249214,0.9759697907344626,0.9759725514166062,0.9331036031060155,0.7935708067869559,-9.824389138283991e-17,0.07350975130888313,0.07659561205685675,0.13911397361087768,0.9239692909863101,0.925867214579961,0.8897939894209622,0.7841088667587752,1.044808579929503e-16,-0.06760503462574383,-0.0676024174241167,-0.11958646061813369,-0.8816383763137076,-0.8825508276208108,-0.8512094210577785,-0.7515388614401205,-2.5839962863302547e-16,0.08481359022260315,0.09056690134848262,0.13374036043167403,0.997049240959028,0.9984205514701672,0.9499875139692219,0.8159027333966564,2.4475111579015723e-16,-0.05613213132305219,-0.04547347808455299,-0.1192838253263804,0.9768552594289986,0.9733611525833346,0.9411278641982778,0.8198644261592845,4.0780487200516166e-16,-0.21560010053506462,-0.20305928712409746,2.506486932836975e-17,,,-0.022653397754234167,,,,,,-0.6736266719871797,,-0.03925287024656077,,,,,,-0.3607077349561346,,-0.015835328780702068,,,,,,,,,,,,,-0.12748078820727468,,,0.24816605426626487,,-0.030464914221211396,,,,,,,,,,,,,0.013744624544043075,,,0.8097845536151862,,0.11106334317052441,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1125277876882723,,,,,,,,,,,,,,,,,,,,,,-0.026492723504537533
X3 NumberofProtons,0.11334494302838088,0.11215417050609855,0.12694549890525839,0.9439909844489297,0.9521062282342936,1.0,0.8526600892883263,1.7418469340663722e-16,0.11109662984012528,0.1121527652671888,0.12399966269294439,0.9390011170014737,0.9438449757733316,0.9966239560755852,0.8450424335684079,3.941472667855171e-16,0.11532961963818067,0.11039346834767916,0.140785012800139,0.9366374867072044,0.9498487107947108,0.9899294286312906,0.852518518236159,-1.7849447894390845e-15,-0.09073069574602759,-0.07307319891143636,-0.1391572079588585,-0.856051640624413,-0.8747720105531229,-0.9097404851500267,-0.8041826389732457,1.6676067589669634e-16,0.09969825996130424,0.09284476837308055,0.12356220404321519,0.9219184632009528,0.9219295434996533,0.9782692305611624,0.8178130807769034,-1.217468996213669e-16,0.11969082065807805,0.11777947757968386,0.1524926243680071,0.8819521400499373,0.9013752754017422,0.9304501728147988,0.8159949909532187,2.9650472622852267e-17,-0.11763371726666329,-0.11318876986543842,-0.15741948017127474,-0.8449234759728441,-0.865694740673767,-0.8874304998330449,-0.779657375194956,-1.9081938044058757e-16,0.11210555594287454,0.11209436674507058,0.1250072834047594,0.9415848740333762,0.9475549780127274,0.9985676525668757,0.8481625896619637,2.2557966212258737e-16,-0.10149286483796549,-0.08740272396323814,-0.15731027273854106,0.9464631776667977,0.9639108383312294,0.987134265494318,0.8533516701834963,3.7152974172202305e-16,-0.18362789198864488,-0.17294495092481363,9.566143718363059e-17,,,-0.05872555161723327,,,,,,-0.6807366260738514,,-0.07482771899615193,,,,,,-0.3398128875560458,,0.028786971423461538,,,,,,,,,,,,,-0.15938427383281548,,,0.23603968298504416,,-8.612506178913029e-17,,,,,,,,,,,,,0.07343866247976782,,,0.8081476471681786,,0.10737160305421996,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08443482584572268,,,,,,,,,,,,,,,,,,,,,,-0.021430745458903146
X4 NumberofProtons,0.049712502767093214,0.04406234747749862,0.15309553437556866,0.8062319473492888,0.8204267952488777,0.8526600892883263,1.0,2.208804770552417e-16,0.047671405133093155,0.04484492188356019,0.15175292810947502,0.8051873224284462,0.81367723611738,0.8497158839695715,0.9968161906028806,4.704068841953392e-16,0.04957023251211904,0.039010895057163104,0.1579433577198419,0.7945469243101851,0.8178339195200888,0.8446025703735337,0.9899609272704538,-2.032254550887902e-15,-0.04329505781290969,-0.018139485338816156,-0.15753503931629448,-0.7160497885850738,-0.7532475859629436,-0.754743718468163,-0.9020964995278222,2.5680192136351733e-16,0.05933770412753515,0.04726186488543403,0.15154645482310583,0.7945008072935514,0.7945200017361279,0.8465800013490759,0.978652434805331,-1.3703409863385372e-16,0.04549631179135852,0.038660373584446524,0.15838535162797882,0.7389850990441681,0.7753528496059683,0.7884210599677528,0.9261648729673211,-6.565765727198517e-17,-0.044413800850806276,-0.03431843671372782,-0.1362083497871108,-0.7040777908570072,-0.7440689315836686,-0.7545540868686961,-0.8779859485290432,-1.6730606115656677e-16,0.04895769000649138,0.04480679790705014,0.15222169992595574,0.8062898495596955,0.8167356037462574,0.8516052560635656,0.9986378099240991,1.800336615013498e-16,-0.04776533546427923,-0.026397632941112505,-0.13586426086544584,0.8033695670547331,0.8416451646716828,0.838303936446778,0.9869725941011576,3.135468869018003e-16,-0.2161761949871056,-0.20354265930056517,1.4977989058268144e-16,,,-0.01563544855289487,,,,,,-0.6050560891737131,,-0.031842925711383294,,,,,,-0.36109527990956836,,-0.04612288376114163,,,,,,,,,,,,,-0.14518213918397926,,,0.2409127445971979,,0.09304998650991042,,,,,,,,,,,,,0.01577201310276466,,,0.7469133049841656,,0.0007335327423528463,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1280339610021449,,,,,,,,,,,,,,,,,,,,,,0.009602166156117748
Ion NumberofProtons,3.090460185428641e-17,5.720260683890506e-17,1.3098370532734783e-16,9.514286661602162e-17,1.0171185119604175e-16,1.7418469340663722e-16,2.208804770552417e-16,1.0,2.939316671403269e-17,5.5143603503630727e-17,1.3859689434165178e-16,7.472343463280097e-17,8.069140863887916e-17,1.5738624564004342e-16,1.9598362399875192e-16,0.9915750195898945,4.1380268251064436e-17,6.418625398389361e-17,1.396278879113111e-16,1.1252024445210497e-16,1.2349653997971591e-16,1.9159967661630483e-16,2.5521556231933394e-16,0.8816384096281511,-4.807217158656117e-17,-6.198696350216962e-17,-1.4465260292207768e-16,-1.3034569026868388e-16,-1.5192375091615237e-16,-2.152863123853278e-16,-3.0313490944027465e-16,-0.7264504387896975,2.7265032172308703e-17,5.47940756862153e-17,1.3687330883349675e-16,6.925270076815526e-17,6.942860184221926e-17,1.4318471705426256e-16,1.7040411106816782e-16,0.7934369695062414,4.774949180240036e-17,7.554023231360967e-17,1.2710069649190376e-16,1.5250145917714565e-16,1.737326531501847e-16,2.3106981396672253e-16,3.134105626415971e-16,0.11031904836829452,-6.166614947211381e-17,-8.605676939908863e-17,-1.8770171976908556e-17,-1.687086462348296e-16,-1.8984468672476587e-16,-2.4228417438562147e-16,-3.354141757833611e-16,-0.05247667341984201,3.5248368362973984e-17,5.942173185666811e-17,1.4049072211093808e-16,8.670920101760244e-17,8.864848823087666e-17,1.6721166897524442e-16,2.0542790964267002e-16,0.9975750439638144,-4.98503447860017e-17,-8.182343977735404e-17,-8.210706969507177e-17,1.2731398234535813e-16,1.5163387471004548e-16,1.9944901836101e-16,2.6062122585773843e-16,0.34534523110824944,-7.621813155077743e-17,-0.21283259851776712,-0.6334405832984118,,,-4.919066522715885e-17,,,,,,-2.644396606142418e-16,,-3.5308637003543454e-17,,,,,,1.1431667040003931e-16,,3.067298096382009e-17,,,,,,,,,,,,,-9.802589411099045e-17,,,8.985366608889577e-17,,3.25925880032709e-17,,,,,,,,,,,,,-3.9706217909956325e-17,,,5.734984572359923e-17,,1.5582693471381404e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,1.394722612299306e-16,,,,,,,,,,,,,,,,,,,,,,0.4043027540965576
A1 NumberofNeutrons,0.995064533212295,0.9512881268504554,0.056285297025988876,0.08835576014028633,0.08606984380435716,0.11109662984012528,0.047671405133093155,2.939316671403269e-17,1.0,0.9551507930226273,0.05585374796742401,0.09107448520508028,0.0897188354881918,0.11780241766241202,0.05051313190586398,1.764058629548018e-17,0.9535318514722725,0.9136529957473881,0.05773505512547542,0.08206266550318309,0.07819115794543509,0.09739207529911324,0.041662808549970266,5.117198880942052e-17,-0.7151113917068873,-0.681221069983687,-0.05762859607321777,-0.07800792334939749,-0.07075762110341084,-0.09182576712878655,-0.041898283918468435,-2.6738684291906443e-17,0.9687715234067532,0.9297024324436124,0.05578685481252187,0.08561389159400565,0.08561086799455571,0.10979581394410656,0.04544431807048726,2.792634906413132e-18,0.9180924465616954,0.8784331902440171,0.05751349823278759,0.0715505345177309,0.06483745983648916,0.077023700669047,0.03312949110811482,2.2333670521532402e-17,-0.8741084527547327,-0.8362088097090206,-0.04857059676256044,-0.06318461638820236,-0.05544638618876791,-0.06121143200994611,-0.025331405112548975,1.6950339199429287e-17,0.9990538778708518,0.9546202461899296,0.05600513201971051,0.09009394767075131,0.0884233542960094,0.11535424957333969,0.049451971814523564,4.833224722353498e-17,-0.8002228430472111,-0.7664912354953624,-0.048438129370376656,0.08947825683585767,0.08129978633273818,0.0995695479785739,0.043140066051139146,1.1223231947016384e-16,-0.10048372505405564,-0.09470763760436007,-1.829093782236713e-17,,,-0.5167577486250602,,,,,,-0.020960119335892348,,-0.3670428868738744,,,,,,-0.046651243972637965,,-0.23430492465963787,,,,,,,,,,,,,-0.05205523996182693,,,-0.044027672544902446,,0.31633301434524685,,,,,,,,,,,,,0.003754501036093326,,,0.11482136373215024,,0.82336673733501,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04780731319292181,,,,,,,,,,,,,,,,,,,,,,-0.054338568051925024
A2 NumberofNeutrons,0.9553262123751419,0.9953927718196605,0.0736381152162889,0.09556574913603248,0.09291786965987724,0.1121527652671888,0.04484492188356019,5.5143603503630727e-17,0.9551507930226273,1.0,0.07239778869370767,0.09496064038741471,0.09337700104555093,0.11552487095721321,0.04495454523470694,4.9212351353838215e-17,0.9258390623328427,0.9554991235988112,0.07915572753694619,0.09474303174264885,0.09032171778467117,0.10416140438296255,0.043718727138351884,-8.62309242045365e-17,-0.7047606149286219,-0.7105805645763974,-0.07854106120778491,-0.09961221599069436,-0.09145227211538927,-0.10708797928024463,-0.0512529960605504,5.067549159714201e-17,0.9204868755802205,0.9700283005125018,0.07221209531155708,0.08558316917151894,0.08557960686273315,0.10441114437577184,0.03767325801729037,-9.05418952789102e-18,0.9015598850572142,0.9193268141967473,0.08304774187924777,0.0927716520678283,0.08524423954365465,0.09284785461064099,0.04330806766876312,-3.353955144237797e-19,-0.8641900728597512,-0.8748317933039372,-0.07994512274200197,-0.08751803436052333,-0.07889589134897622,-0.08089592666701738,-0.0392830791387921,4.1364607135220737e-19,0.9563558584261304,0.9991190823408919,0.07282406241254213,0.09513091926968481,0.09318503951758603,0.11423357195047594,0.04483661495231374,2.2096430513537655e-17,-0.7872439775486081,-0.7998619181982398,-0.0798367529263901,0.10220264358930788,0.09284380466790247,0.10700718188689697,0.045701473639153015,3.271191374893133e-17,-0.0918200186560095,-0.08654560343212431,1.868104485454033e-17,,,-0.5251687944814097,,,,,,-0.05234391595687821,,-0.38374093241280705,,,,,,-0.014538472749760363,,-0.201056543746712,,,,,,,,,,,,,-0.08248481468100725,,,-0.036173486031732115,,0.3080770262061051,,,,,,,,,,,,,0.027169162948893887,,,0.10614589973583052,,0.8233653490086025,,,,,,,,,,,,,,,,,,,,,,,,,,,0.054533787501736736,,,,,,,,,,,,,,,,,,,,,,-0.05188768011472129
