A1 NumberofProtons,A2 NumberofProtons,B NumberofProtons,X1 NumberofProtons,X2 NumberofProtons,X3 NumberofProtons,X4 NumberofProtons,Ion NumberofProtons,A1 NumberofNeutrons,A2 NumberofNeutrons,B NumberofNeutrons,X1 NumberofNeutrons,X2 NumberofNeutrons,X3 NumberofNeutrons,X4 NumberofNeutrons,Ion NumberofNeutrons,A1 Number of Shells,A2 Number of Shells,B Number of Shells,X1 Number of Shells,X2 Number of Shells,X3 Number of Shells,X4 Number of Shells,Ion Number of Shells,A1 Specific Heat,A2 Specific Heat,B Specific Heat,X1 Specific Heat,X2 Specific Heat,X3 Specific Heat,X4 Specific Heat,Ion Specific Heat,A1 Density,A2 Density,B Density,X1 Density,X2 Density,X3 Density,X4 Density,Ion Density,A1 AtomicRadius,A2 AtomicRadius,B AtomicRadius,X1 AtomicRadius,X2 AtomicRadius,X3 AtomicRadius,X4 AtomicRadius,Ion AtomicRadius,A1 Firstlonization,A2 Firstlonization,B Firstlonization,X1 Firstlonization,X2 Firstlonization,X3 Firstlonization,X4 Firstlonization,Ion Firstlonization,A1 AtomicMass,A2  AtomicMass,B  AtomicMass,X1 AtomicMass,X2 AtomicMass,X3 AtomicMass,X4 AtomicMass,Ion AtomicMass,A1 Melting Point,A2 Melting Point,B Melting Point,X1 Melting Point,X2 Melting Point,X3 Melting Point,X4 Melting Point,Ion Melting Point,Without ion Final Energy(ev),With ion Final Energy(ev),Ion Energy(ev),Adsorption energy(ev)
3,3,32,9,9,9,9,9,4,4,41,10,10,10,10,10,2,2,4,2,2,2,2,2,3.582,3.582,0.32,0.824,0.824,0.824,0.824,0.824,0.534,0.534,5.32,0.0017,0.0017,0.0017,0.0017,0.0017,2.1,2.1,1.5,0.57,0.57,0.57,0.57,0.57,5.3917,5.3917,7.8994,17.4228,17.4228,17.4228,17.4228,17.4228,6.941,6.941,72.64,18.998,18.998,18.998,18.998,18.998,453.85,453.85,1211.45,53.63,53.63,53.63,53.63,53.63,-5587.936867,-6258.054445,-656.7593,0
3,3,32,9,9,9,18,9,4,4,41,10,10,10,18,10,2,2,4,2,2,2,3,2,3.582,3.582,0.32,0.824,0.824,0.824,0.479,0.824,0.534,0.534,5.32,0.0017,0.0017,0.0017,0.00321,0.0017,2.1,2.1,1.5,0.57,0.57,0.57,0.97,0.57,5.3917,5.3917,7.8994,17.4228,17.4228,17.4228,12.9676,17.4228,6.941,6.941,72.64,18.998,18.998,18.998,35.453,18.998,453.85,453.85,1211.45,53.63,53.63,53.63,172.31,53.63,-5350.647037,-6020.002539,-656.7593,0
3,3,50,9,9,9,9,9,4,4,69,10,10,10,10,10,2,2,5,2,2,2,2,2,3.582,3.582,0.228,0.824,0.824,0.824,0.824,0.824,0.534,0.534,7.29,0.0017,0.0017,0.0017,0.0017,0.0017,2.1,2.1,1.7,0.57,0.57,0.57,0.57,0.57,5.3917,5.3917,7.3439,17.4228,17.4228,17.4228,17.4228,17.4228,6.941,6.941,118.71,18.998,18.998,18.998,18.998,18.998,453.85,453.85,505.21,53.63,53.63,53.63,53.63,53.63,-5099.530655,-5768.340406,-656.7593,0
11,11,32,9,9,9,9,9,12,12,41,10,10,10,10,10,3,3,4,2,2,2,2,2,1.228,1.228,0.32,0.824,0.824,0.824,0.824,0.824,0.971,0.971,5.32,0.0017,0.0017,0.0017,0.0017,0.0017,2.2,2.2,1.5,0.57,0.57,0.57,0.57,0.57,5.1391,5.1391,7.8994,17.4228,17.4228,17.4228,17.4228,17.4228,22.99,22.99,72.64,18.998,18.998,18.998,18.998,18.998,371.15,371.15,1211.45,53.63,53.63,53.63,53.63,53.63,-7794.302965,-8462.468766,-656.7593,0
11,11,50,9,9,9,9,9,12,12,69,10,10,10,10,10,3,3,5,2,2,2,2,2,1.228,1.228,0.228,0.824,0.824,0.824,0.824,0.824,0.971,0.971,7.29,0.0017,0.0017,0.0017,0.0017,0.0017,2.2,2.2,1.7,0.57,0.57,0.57,0.57,0.57,5.1391,5.1391,7.3439,17.4228,17.4228,17.4228,17.4228,17.4228,22.99,22.99,118.71,18.998,18.998,18.998,18.998,18.998,371.15,371.15,505.21,53.63,53.63,53.63,53.63,53.63,-7305.485436,-7972.981997,-656.7593,0
3,11,32,9,9,9,9,9,4,12,41,10,10,10,10,10,2,3,4,2,2,2,2,2,3.582,1.228,0.32,0.824,0.824,0.824,0.824,0.824,0.534,0.971,5.32,0.0017,0.0017,0.0017,0.0017,0.0017,2.1,2.2,1.5,0.57,0.57,0.57,0.57,0.57,5.3917,5.1391,7.8994,17.4228,17.4228,17.4228,17.4228,17.4228,6.941,22.99,72.64,18.998,18.998,18.998,18.998,18.998,453.85,371.15,1211.45,53.63,53.63,53.63,53.63,53.63,-6691.40951,-7358.858349,-656.7593,0
3,3,82,9,9,9,9,9,4,4,125,10,10,10,10,10,2,2,6,2,2,2,2,2,3.582,3.582,0.129,0.824,0.824,0.824,0.824,0.824,0.534,0.534,11.3,0.0017,0.0017,0.0017,0.0017,0.0017,2.1,2.1,1.8,0.57,0.57,0.57,0.57,0.57,5.3917,5.3917,7.4167,17.4228,17.4228,17.4228,17.4228,17.4228,6.941,6.941,207.2,18.998,18.998,18.998,18.998,18.998,453.85,453.85,600.75,53.63,53.63,53.63,53.63,53.63,-8480.280947,-9147.325114,-656.7593,0
11,11,82,9,9,9,9,9,12,12,125,10,10,10,10,10,3,3,6,2,2,2,2,2,1.228,1.228,0.129,0.824,0.824,0.824,0.824,0.824,0.971,0.971,11.3,0.0017,0.0017,0.0017,0.0017,0.0017,2.2,2.2,1.8,0.57,0.57,0.57,0.57,0.57,5.1391,5.1391,7.4167,17.4228,17.4228,17.4228,17.4228,17.4228,22.99,22.99,207.2,18.998,18.998,18.998,18.998,18.998,371.15,371.15,600.75,53.63,53.63,53.63,53.63,53.63,-10686.34741,-11352.64743,-656.7593,0
3,3,32,18,18,18,18,9,4,4,41,18,18,18,18,10,2,2,4,3,3,3,3,2,3.582,3.582,0.32,0.479,0.479,0.479,0.479,0.824,0.534,0.534,5.32,0.00321,0.00321,0.00321,0.00321,0.0017,2.1,2.1,1.5,0.97,0.97,0.97,0.97,0.57,5.3917,5.3917,7.8994,12.9676,12.9676,12.9676,12.9676,17.4228,6.941,6.941,72.64,35.453,35.453,35.453,35.453,18.998,453.85,453.85,1211.45,172.31,172.31,172.31,172.31,53.63,-4638.725673,-5304.803487,-656.7593,0
19,19,32,9,9,9,9,9,20,20,41,10,10,10,10,10,4,4,4,2,2,2,2,2,0.757,0.757,0.32,0.824,0.824,0.824,0.824,0.824,0.862,0.862,5.32,0.0017,0.0017,0.0017,0.0017,0.0017,2.8,2.8,1.5,0.57,0.57,0.57,0.57,0.57,4.3407,4.3407,7.8994,17.4228,17.4228,17.4228,17.4228,17.4228,39.098,39.098,72.64,18.998,18.998,18.998,18.998,18.998,336.5,336.5,1211.45,53.63,53.63,53.63,53.63,53.63,-6768.966846,-7434.543926,-656.7593,0
3,3,50,18,18,18,35,9,4,4,69,18,18,18,45,10,2,2,5,3,3,3,4,2,3.582,3.582,0.228,0.479,0.479,0.479,0.474,0.824,0.534,0.534,7.29,0.00321,0.00321,0.00321,3.12,0.0017,2.1,2.1,1.7,0.97,0.97,0.97,1.1,0.57,5.3917,5.3917,7.3439,12.9676,12.9676,12.9676,11.8138,17.4228,6.941,6.941,118.71,35.453,35.453,35.453,79.904,18.998,453.85,453.85,505.21,172.31,172.31,172.31,266.05,53.63,-4190.742257,-4855.795244,-656.7593,0
37,37,32,9,9,9,9,9,48,48,41,10,10,10,10,10,5,5,4,2,2,2,2,2,0.363,0.363,0.32,0.824,0.824,0.824,0.824,0.824,1.53,1.53,5.32,0.0017,0.0017,0.0017,0.0017,0.0017,3,3,1.5,0.57,0.57,0.57,0.57,0.57,4.1771,4.1771,7.8994,17.4228,17.4228,17.4228,17.4228,17.4228,85.468,85.468,72.64,18.998,18.998,18.998,18.998,18.998,312.79,312.79,1211.45,53.63,53.63,53.63,53.63,53.63,-6567.604186,-7232.613154,-656.7593,0
3,3,32,35,35,35,35,9,4,4,41,45,45,45,45,10,2,2,4,4,4,4,4,2,3.582,3.582,0.32,0.474,0.474,0.474,0.474,0.824,0.534,0.534,5.32,3.12,3.12,3.12,3.12,0.0017,2.1,2.1,1.5,1.1,1.1,1.1,1.1,0.57,5.3917,5.3917,7.8994,11.8138,11.8138,11.8138,11.8138,17.4228,6.941,6.941,72.64,79.904,79.904,79.904,79.904,18.998,453.85,453.85,1211.45,266.05,266.05,266.05,266.05,53.63,-4802.114496,-5466.957981,-656.7593,0
19,19,50,9,9,9,9,9,20,20,69,10,10,10,10,10,4,4,5,2,2,2,2,2,0.757,0.757,0.228,0.824,0.824,0.824,0.824,0.824,0.862,0.862,7.29,0.0017,0.0017,0.0017,0.0017,0.0017,2.8,2.8,1.7,0.57,0.57,0.57,0.57,0.57,4.3407,4.3407,7.3439,17.4228,17.4228,17.4228,17.4228,17.4228,39.098,39.098,118.71,18.998,18.998,18.998,18.998,18.998,336.5,336.5,505.21,53.63,53.63,53.63,53.63,53.63,-6280.142927,-6944.872086,-656.7593,0
3,3,50,35,35,35,35,9,4,4,69,45,45,45,45,10,2,2,5,4,4,4,4,2,3.582,3.582,0.228,0.474,0.474,0.474,0.474,0.824,0.534,0.534,7.29,3.12,3.12,3.12,3.12,0.0017,2.1,2.1,1.7,1.1,1.1,1.1,1.1,0.57,5.3917,5.3917,7.3439,11.8138,11.8138,11.8138,11.8138,17.4228,6.941,6.941,118.71,79.904,79.904,79.904,79.904,18.998,453.85,453.85,505.21,266.05,266.05,266.05,266.05,53.63,-4313.218895,-4977.929935,-656.7593,0
19,19,82,9,9,9,9,9,20,20,125,10,10,10,10,10,4,4,6,2,2,2,2,2,0.757,0.757,0.129,0.824,0.824,0.824,0.824,0.824,0.862,0.862,11.3,0.0017,0.0017,0.0017,0.0017,0.0017,2.8,2.8,1.8,0.57,0.57,0.57,0.57,0.57,4.3407,4.3407,7.4167,17.4228,17.4228,17.4228,17.4228,17.4228,39.098,39.098,207.2,18.998,18.998,18.998,18.998,18.998,336.5,336.5,600.75,53.63,53.63,53.63,53.63,53.63,-9661.038478,-10325.69957,-656.7593,0
3,3,82,35,35,35,35,9,4,4,125,45,45,45,45,10,2,2,6,4,4,4,4,2,3.582,3.582,0.129,0.474,0.474,0.474,0.474,0.824,0.534,0.534,11.3,3.12,3.12,3.12,3.12,0.0017,2.1,2.1,1.8,1.1,1.1,1.1,1.1,0.57,5.3917,5.3917,7.4167,11.8138,11.8138,11.8138,11.8138,17.4228,6.941,6.941,207.2,79.904,79.904,79.904,79.904,18.998,453.85,453.85,600.75,266.05,266.05,266.05,266.05,53.63,-7694.23077,-8358.56725,-656.7593,0
37,37,50,9,9,9,9,9,48,48,69,10,10,10,10,10,5,5,5,2,2,2,2,2,0.363,0.363,0.228,0.824,0.824,0.824,0.824,0.824,1.53,1.53,7.29,0.0017,0.0017,0.0017,0.0017,0.0017,3,3,1.7,0.57,0.57,0.57,0.57,0.57,4.1771,4.1771,7.3439,17.4228,17.4228,17.4228,17.4228,17.4228,85.468,85.468,118.71,18.998,18.998,18.998,18.998,18.998,312.79,312.79,505.21,53.63,53.63,53.63,53.63,53.63,-6078.786385,-6742.91716,-656.7593,0
55,55,32,9,9,9,9,9,78,78,41,10,10,10,10,10,6,6,4,2,2,2,2,2,0.242,0.242,0.32,0.824,0.824,0.824,0.824,0.824,1.87,1.87,5.32,0.0017,0.0017,0.0017,0.0017,0.0017,3.3,3.3,1.5,0.57,0.57,0.57,0.57,0.57,3.8939,3.8939,7.8994,17.4228,17.4228,17.4228,17.4228,17.4228,132.905,132.905,72.64,18.998,18.998,18.998,18.998,18.998,301.7,301.7,1211.45,53.63,53.63,53.63,53.63,53.63,-6737.099574,-7401.140844,-656.7593,0
