A1 NumberofProtons,B NumberofProtons,X1 NumberofProtons,X4 NumberofProtons,Ion NumberofProtons,Ion Number of Shells,Ion Specific Heat,Ion Density,Ion AtomicRadius,B Firstlonization,Ion Melting Point,Ion Energy(ev),Adsorption energy(ev)
3,82,18,18,13,3,0.897,2.7,1.8,7.4167,933.4,-107.1302,0
11,32,9,18,13,3,0.897,2.7,1.8,7.8994,933.4,-107.1302,0
3,82,18,18,30,4,0.388,7.13,1.5,7.4167,692.88,-2035.5843,0
3,82,9,9,13,3,0.897,2.7,1.8,7.4167,933.4,-107.1302,0
11,82,9,9,13,3,0.897,2.7,1.8,7.4167,933.4,-107.1302,0
11,32,9,18,30,4,0.388,7.13,1.5,7.8994,692.88,-2035.5843,0
19,32,9,18,13,3,0.897,2.7,1.8,7.8994,933.4,-107.1302,0
11,82,18,18,13,3,0.897,2.7,1.8,7.4167,933.4,-107.1302,0
19,82,9,9,13,3,0.897,2.7,1.8,7.4167,933.4,-107.1302,0
37,32,9,35,30,4,0.388,7.13,1.5,7.8994,692.88,-2035.5843,0
37,32,9,35,13,3,0.897,2.7,1.8,7.8994,933.4,-107.1302,0
3,50,18,18,30,4,0.388,7.13,1.5,7.3439,692.88,-2035.5843,0
3,50,9,9,13,3,0.897,2.7,1.8,7.3439,933.4,-107.1302,0
3,50,9,9,30,4,0.388,7.13,1.5,7.3439,692.88,-2035.5843,0
19,82,18,18,13,3,0.897,2.7,1.8,7.4167,933.4,-107.1302,0
37,82,9,9,13,3,0.897,2.7,1.8,7.4167,933.4,-107.1302,0
3,32,35,35,30,4,0.388,7.13,1.5,7.8994,692.88,-2035.5843,0
3,50,18,35,30,4,0.388,7.13,1.5,7.3439,692.88,-2035.5843,0
3,32,18,18,30,4,0.388,7.13,1.5,7.8994,692.88,-2035.5843,0
37,82,9,53,13,3,0.897,2.7,1.8,7.4167,933.4,-107.1302,0
3,50,18,18,13,3,0.897,2.7,1.8,7.3439,933.4,-107.1302,0
19,32,9,18,30,4,0.388,7.13,1.5,7.8994,692.88,-2035.5843,0
3,82,18,18,12,3,1.023,1.74,1.7,7.4167,923.15,-1688.2915,0
3,32,9,18,30,4,0.388,7.13,1.5,7.8994,692.88,-2035.5843,0
11,50,9,9,13,3,0.897,2.7,1.8,7.3439,933.4,-107.1302,0
11,82,9,9,30,4,0.388,7.13,1.5,7.4167,692.88,-2035.5843,0
3,50,18,35,13,3,0.897,2.7,1.8,7.3439,933.4,-107.1302,0
19,32,9,9,13,3,0.897,2.7,1.8,7.8994,933.4,-107.1302,0
19,82,9,9,30,4,0.388,7.13,1.5,7.4167,692.88,-2035.5843,0
3,32,18,18,13,3,0.897,2.7,1.8,7.8994,933.4,-107.1302,0
